time (ms),grandi (cai),time (ms),grandi (cass),time (ms),grandi (cad)
-10,8.81E-05,-10,0.00011147,-10,0.000189268
-9.9,8.81E-05,-9.9,0.00011147,-9.9,0.000189268
-9.8,8.81E-05,-9.8,0.00011147,-9.8,0.000189268
-9.7,8.81E-05,-9.7,0.00011147,-9.7,0.000189268
-9.6,8.81E-05,-9.6,0.00011147,-9.6,0.000189268
-9.5,8.81E-05,-9.5,0.00011147,-9.5,0.000189268
-9.4,8.81E-05,-9.4,0.00011147,-9.4,0.000189268
-9.3,8.81E-05,-9.3,0.00011147,-9.3,0.000189268
-9.2,8.81E-05,-9.2,0.00011147,-9.2,0.000189268
-9.1,8.81E-05,-9.1,0.00011147,-9.1,0.000189268
-9,8.81E-05,-9,0.00011147,-9,0.000189268
-8.9,8.81E-05,-8.9,0.00011147,-8.9,0.000189268
-8.8,8.81E-05,-8.8,0.00011147,-8.8,0.000189268
-8.7,8.81E-05,-8.7,0.00011147,-8.7,0.000189268
-8.6,8.81E-05,-8.6,0.00011147,-8.6,0.000189268
-8.5,8.81E-05,-8.5,0.00011147,-8.5,0.000189268
-8.4,8.81E-05,-8.4,0.00011147,-8.4,0.000189268
-8.3,8.81E-05,-8.3,0.00011147,-8.3,0.000189268
-8.2,8.81E-05,-8.2,0.00011147,-8.2,0.000189268
-8.1,8.81E-05,-8.1,0.00011147,-8.1,0.000189268
-8,8.81E-05,-8,0.00011147,-8,0.000189268
-7.9,8.81E-05,-7.9,0.00011147,-7.9,0.000189268
-7.8,8.81E-05,-7.8,0.00011147,-7.8,0.000189268
-7.7,8.81E-05,-7.7,0.00011147,-7.7,0.000189268
-7.6,8.81E-05,-7.6,0.00011147,-7.6,0.000189268
-7.5,8.81E-05,-7.5,0.00011147,-7.5,0.000189268
-7.4,8.81E-05,-7.4,0.00011147,-7.4,0.000189268
-7.3,8.81E-05,-7.3,0.00011147,-7.3,0.000189268
-7.2,8.81E-05,-7.2,0.00011147,-7.2,0.000189268
-7.1,8.81E-05,-7.1,0.00011147,-7.1,0.000189268
-7,8.81E-05,-7,0.00011147,-7,0.000189268
-6.9,8.81E-05,-6.9,0.00011147,-6.9,0.000189268
-6.8,8.81E-05,-6.8,0.00011147,-6.8,0.000189268
-6.7,8.81E-05,-6.7,0.00011147,-6.7,0.000189268
-6.6,8.81E-05,-6.6,0.00011147,-6.6,0.000189268
-6.5,8.81E-05,-6.5,0.00011147,-6.5,0.000189268
-6.4,8.81E-05,-6.4,0.00011147,-6.4,0.000189268
-6.3,8.81E-05,-6.3,0.00011147,-6.3,0.000189268
-6.2,8.81E-05,-6.2,0.00011147,-6.2,0.000189268
-6.1,8.81E-05,-6.1,0.00011147,-6.1,0.000189268
-6,8.81E-05,-6,0.00011147,-6,0.000189268
-5.9,8.81E-05,-5.9,0.00011147,-5.9,0.000189268
-5.8,8.81E-05,-5.8,0.00011147,-5.8,0.000189268
-5.7,8.81E-05,-5.7,0.00011147,-5.7,0.000189268
-5.6,8.81E-05,-5.6,0.00011147,-5.6,0.000189268
-5.5,8.81E-05,-5.5,0.00011147,-5.5,0.000189268
-5.4,8.81E-05,-5.4,0.00011147,-5.4,0.000189268
-5.3,8.81E-05,-5.3,0.00011147,-5.3,0.000189268
-5.2,8.81E-05,-5.2,0.00011147,-5.2,0.000189268
-5.1,8.81E-05,-5.1,0.00011147,-5.1,0.000189268
-5,8.81E-05,-5,0.00011147,-5,0.000189268
-4.9,8.81E-05,-4.9,0.00011147,-4.9,0.000189268
-4.8,8.81E-05,-4.8,0.00011147,-4.8,0.000189268
-4.7,8.81E-05,-4.7,0.00011147,-4.7,0.000189268
-4.6,8.81E-05,-4.6,0.00011147,-4.6,0.000189268
-4.5,8.81E-05,-4.5,0.00011147,-4.5,0.000189268
-4.4,8.81E-05,-4.4,0.00011147,-4.4,0.000189268
-4.3,8.81E-05,-4.3,0.00011147,-4.3,0.000189268
-4.2,8.81E-05,-4.2,0.00011147,-4.2,0.000189268
-4.1,8.81E-05,-4.1,0.00011147,-4.1,0.000189268
-4,8.81E-05,-4,0.00011147,-4,0.000189268
-3.9,8.81E-05,-3.9,0.00011147,-3.9,0.000189268
-3.8,8.81E-05,-3.8,0.00011147,-3.8,0.000189268
-3.7,8.81E-05,-3.7,0.00011147,-3.7,0.000189268
-3.6,8.81E-05,-3.6,0.00011147,-3.6,0.000189268
-3.5,8.81E-05,-3.5,0.00011147,-3.5,0.000189268
-3.4,8.81E-05,-3.4,0.00011147,-3.4,0.000189268
-3.3,8.81E-05,-3.3,0.00011147,-3.3,0.000189268
-3.2,8.81E-05,-3.2,0.00011147,-3.2,0.000189268
-3.1,8.81E-05,-3.1,0.00011147,-3.1,0.000189268
-3,8.81E-05,-3,0.00011147,-3,0.000189268
-2.9,8.81E-05,-2.9,0.00011147,-2.9,0.000189268
