Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1
-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994,-88.01,0.99994
-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851,-86.01,0.999851
-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717,-84.01,0.999717
-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518,-82.01,0.999518
-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221,-80.01,0.999221
-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778,-78.01,0.998778
-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119,-76.01,0.998119
-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136,-74.01,0.997136
-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673,-72.01,0.995673
