Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.998864,-90.01,0.998864,-90.01,0.998863,-90.01,0.99886,-90.01,0.99885,-90.01,0.998821,-90.01,0.998721,-90.01,0.998435,-90.01,0.997434,-90.01,0.994586,-90.01,0.984744,-90.01,0.957666,-90.01,0.873553,-90.01,0.698117,-90.01,0.409164,-90.01,0.186034,-90.01,0.0619573,-90.01,0.019232
-88.01,0.998921,-88.01,0.99892,-88.01,0.998919,-88.01,0.998916,-88.01,0.998906,-88.01,0.998878,-88.01,0.998778,-88.01,0.998491,-88.01,0.997491,-88.01,0.994642,-88.01,0.9848,-88.01,0.95772,-88.01,0.873602,-88.01,0.698156,-88.01,0.409187,-88.01,0.186045,-88.01,0.0619609,-88.01,0.0192331
-86.01,0.998983,-86.01,0.998983,-86.01,0.998982,-86.01,0.998979,-86.01,0.998969,-86.01,0.99894,-86.01,0.99884,-86.01,0.998554,-86.01,0.997553,-86.01,0.994705,-86.01,0.984862,-86.01,0.95778,-86.01,0.873657,-86.01,0.6982,-86.01,0.409212,-86.01,0.186056,-86.01,0.0619647,-86.01,0.0192343
-84.01,0.999052,-84.01,0.999052,-84.01,0.999051,-84.01,0.999048,-84.01,0.999038,-84.01,0.999009,-84.01,0.998909,-84.01,0.998623,-84.01,0.997622,-84.01,0.994773,-84.01,0.98493,-84.01,0.957846,-84.01,0.873717,-84.01,0.698248,-84.01,0.409241,-84.01,0.186069,-84.01,0.061969,-84.01,0.0192356
-82.01,0.999128,-82.01,0.999128,-82.01,0.999127,-82.01,0.999124,-82.01,0.999114,-82.01,0.999085,-82.01,0.998985,-82.01,0.998699,-82.01,0.997698,-82.01,0.994849,-82.01,0.985005,-82.01,0.957919,-82.01,0.873784,-82.01,0.698301,-82.01,0.409272,-82.01,0.186083,-82.01,0.0619737,-82.01,0.0192371
-80.01,0.999212,-80.01,0.999211,-80.01,0.99921,-80.01,0.999207,-80.01,0.999197,-80.01,0.999169,-80.01,0.999068,-80.01,0.998782,-80.01,0.997781,-80.01,0.994932,-80.01,0.985087,-80.01,0.957999,-80.01,0.873857,-80.01,0.69836,-80.01,0.409306,-80.01,0.186099,-80.01,0.0619789,-80.01,0.0192387
-78.01,0.999303,-78.01,0.999302,-78.01,0.999301,-78.01,0.999299,-78.01,0.999289,-78.01,0.99926,-78.01,0.99916,-78.01,0.998873,-78.01,0.997872,-78.01,0.995023,-78.01,0.985177,-78.01,0.958087,-78.01,0.873936,-78.01,0.698423,-78.01,0.409343,-78.01,0.186116,-78.01,0.0619846,-78.01,0.0192404
-76.01,0.999402,-76.01,0.999402,-76.01,0.999401,-76.01,0.999398,-76.01,0.999388,-76.01,0.999359,-76.01,0.999259,-76.01,0.998972,-76.01,0.997971,-76.01,0.995122,-76.01,0.985275,-76.01,0.958182,-76.01,0.874023,-76.01,0.698493,-76.01,0.409384,-76.01,0.186134,-76.01,0.0619907,-76.01,0.0192423
-74.01,0.999508,-74.01,0.999508,-74.01,0.999507,-74.01,0.999504,-74.01,0.999494,-74.01,0.999466,-74.01,0.999365,-74.01,0.999079,-74.01,0.998078,-74.01,0.995228,-74.01,0.98538,-74.01,0.958284,-74.01,0.874116,-74.01,0.698567,-74.01,0.409428,-74.01,0.186154,-74.01,0.0619973,-74.01,0.0192444
-72.01,0.999621,-72.01,0.999621,-72.01,0.99962,-72.01,0.999617,-72.01,0.999607,-72.01,0.999578,-72.01,0.999478,-72.01,0.999191,-72.01,0.99819,-72.01,0.99534,-72.01,0.985491,-72.01,0.958392,-72.01,0.874215,-72.01,0.698646,-72.01,0.409474,-72.01,0.186175,-72.01,0.0620043,-72.01,0.0192466
-70.01,0.999736,-70.01,0.999736,-70.01,0.999735,-70.01,0.999732,-70.01,0.999722,-70.01,0.999694,-70.01,0.999593,-70.01,0.999307,-70.01,0.998305,-70.01,0.995455,-70.01,0.985605,-70.01,0.958502,-70.01,0.874316,-70.01,0.698726,-70.01,0.409521,-70.01,0.186197,-70.01,0.0620115,-70.01,0.0192488
-68.01,0.999848,-68.01,0.999848,-68.01,0.999847,-68.01,0.999844,-68.01,0.999834,-68.01,0.999805,-68.01,0.999705,-68.01,0.999418,-68.01,0.998417,-68.01,0.995566,-68.01,0.985715,-68.01,0.958609,-68.01,0.874413,-68.01,0.698804,-68.01,0.409567,-68.01,0.186217,-68.01,0.0620184,-68.01,0.0192509
-66.01,0.999943,-66.01,0.999943,-66.01,0.999942,-66.01,0.999939,-66.01,0.999929,-66.01,0.999901,-66.01,0.9998,-66.01,0.999514,-66.01,0.998512,-66.01,0.995661,-66.01,0.985809,-66.01,0.958701,-66.01,0.874497,-66.01,0.698871,-66.01,0.409606,-66.01,0.186235,-66.01,0.0620243,-66.01,0.0192528
-64.01,1,-64.01,1,-64.01,0.999999,-64.01,0.999996,-64.01,0.999986,-64.01,0.999957,-64.01,0.999857,-64.01,0.99957,-64.01,0.998568,-64.01,0.995717,-64.01,0.985865,-64.01,0.958755,-64.01,0.874546,-64.01,0.698911,-64.01,0.409629,-64.01,0.186246,-64.01,0.0620278,-64.01,0.0192539
-62.01,0.999977,-62.01,0.999977,-62.01,0.999976,-62.01,0.999973,-62.01,0.999963,-62.01,0.999934,-62.01,0.999834,-62.01,0.999547,-62.01,0.998546,-62.01,0.995695,-62.01,0.985842,-62.01,0.958733,-62.01,0.874526,-62.01,0.698895,-62.01,0.40962,-62.01,0.186241,-62.01,0.0620264,-62.01,0.0192534
-60.01,0.999803,-60.01,0.999803,-60.01,0.999802,-60.01,0.999799,-60.01,0.999789,-60.01,0.99976,-60.01,0.99966,-60.01,0.999374,-60.01,0.998372,-60.01,0.995521,-60.01,0.985671,-60.01,0.958567,-60.01,0.874374,-60.01,0.698773,-60.01,0.409548,-60.01,0.186209,-60.01,0.0620156,-60.01,0.0192501
-58.01,0.999351,-58.01,0.999351,-58.01,0.99935,-58.01,0.999347,-58.01,0.999337,-58.01,0.999309,-58.01,0.999208,-58.01,0.998922,-58.01,0.997921,-58.01,0.995072,-58.01,0.985225,-58.01,0.958133,-58.01,0.873979,-58.01,0.698457,-58.01,0.409363,-58.01,0.186125,-58.01,0.0619876,-58.01,0.0192414
