Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.948697,-90.01,0.892468,-90.01,0.841141,-90.01,0.784833,-90.01,0.733298,-90.01,0.676318,-90.01,0.62303,-90.01,0.560583,-90.01,0.49393,-90.01,0.396349,-90.01,0.274072,-90.01,0.133083,-90.01,0.0505981,-90.01,0.014002,-90.01,0.0038445,-90.01,0.000834098,-90.01,0.000176748
-88.01,0.999996,-88.01,0.948693,-88.01,0.892464,-88.01,0.841138,-88.01,0.78483,-88.01,0.733295,-88.01,0.676315,-88.01,0.623028,-88.01,0.560581,-88.01,0.493928,-88.01,0.396347,-88.01,0.274071,-88.01,0.133083,-88.01,0.0505979,-88.01,0.014002,-88.01,0.00384449,-88.01,0.000834094,-88.01,0.000176747
-86.01,0.99999,-86.01,0.948688,-86.01,0.892459,-86.01,0.841133,-86.01,0.784825,-86.01,0.73329,-86.01,0.676311,-86.01,0.623024,-86.01,0.560577,-86.01,0.493925,-86.01,0.396345,-86.01,0.274069,-86.01,0.133082,-86.01,0.0505976,-86.01,0.0140019,-86.01,0.00384447,-86.01,0.000834089,-86.01,0.000176746
-84.01,0.999982,-84.01,0.94868,-84.01,0.892452,-84.01,0.841126,-84.01,0.784819,-84.01,0.733284,-84.01,0.676305,-84.01,0.623019,-84.01,0.560573,-84.01,0.493921,-84.01,0.396342,-84.01,0.274067,-84.01,0.133081,-84.01,0.0505972,-84.01,0.0140018,-84.01,0.00384443,-84.01,0.000834083,-84.01,0.000176745
-82.01,0.99997,-82.01,0.948669,-82.01,0.892441,-82.01,0.841116,-82.01,0.78481,-82.01,0.733276,-82.01,0.676298,-82.01,0.623012,-82.01,0.560566,-82.01,0.493915,-82.01,0.396337,-82.01,0.274064,-82.01,0.133079,-82.01,0.0505966,-82.01,0.0140016,-82.01,0.00384439,-82.01,0.000834073,-82.01,0.000176743
-80.01,0.999954,-80.01,0.948654,-80.01,0.892427,-80.01,0.841103,-80.01,0.784797,-80.01,0.733264,-80.01,0.676287,-80.01,0.623002,-80.01,0.560557,-80.01,0.493907,-80.01,0.396331,-80.01,0.274059,-80.01,0.133077,-80.01,0.0505958,-80.01,0.0140014,-80.01,0.00384433,-80.01,0.00083406,-80.01,0.00017674
-78.01,0.999932,-78.01,0.948632,-78.01,0.892407,-78.01,0.841084,-78.01,0.784779,-78.01,0.733247,-78.01,0.676271,-78.01,0.622988,-78.01,0.560545,-78.01,0.493896,-78.01,0.396322,-78.01,0.274053,-78.01,0.133074,-78.01,0.0505946,-78.01,0.0140011,-78.01,0.00384424,-78.01,0.000834041,-78.01,0.000176736
-76.01,0.9999,-76.01,0.948602,-76.01,0.892378,-76.01,0.841057,-76.01,0.784754,-76.01,0.733224,-76.01,0.67625,-76.01,0.622968,-76.01,0.560527,-76.01,0.49388,-76.01,0.396309,-76.01,0.274044,-76.01,0.13307,-76.01,0.050593,-76.01,0.0140006,-76.01,0.00384412,-76.01,0.000834014,-76.01,0.00017673
-74.01,0.999855,-74.01,0.94856,-74.01,0.892339,-74.01,0.841019,-74.01,0.784719,-74.01,0.733191,-74.01,0.67622,-74.01,0.62294,-74.01,0.560502,-74.01,0.493858,-74.01,0.396292,-74.01,0.274032,-74.01,0.133064,-74.01,0.0505908,-74.01,0.014,-74.01,0.00384395,-74.01,0.000833977,-74.01,0.000176723
-72.01,0.999792,-72.01,0.9485,-72.01,0.892283,-72.01,0.840967,-72.01,0.78467,-72.01,0.733145,-72.01,0.676177,-72.01,0.622901,-72.01,0.560467,-72.01,0.493827,-72.01,0.396267,-72.01,0.274015,-72.01,0.133055,-72.01,0.0505876,-72.01,0.0139991,-72.01,0.00384371,-72.01,0.000833925,-72.01,0.000176711
