Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.948697,-90.01,0.892468,-90.01,0.841141,-90.01,0.784833,-90.01,0.733298,-90.01,0.676318,-90.01,0.62303,-90.01,0.560583,-90.01,0.49393,-90.01,0.396349,-90.01,0.274072,-90.01,0.133083,-90.01,0.0505981,-90.01,0.014002,-90.01,0.0038445,-90.01,0.000834097,-90.01,0.000176748
-88.01,0.999995,-88.01,0.948693,-88.01,0.892463,-88.01,0.841137,-88.01,0.784829,-88.01,0.733294,-88.01,0.676314,-88.01,0.623027,-88.01,0.56058,-88.01,0.493927,-88.01,0.396347,-88.01,0.27407,-88.01,0.133082,-88.01,0.0505978,-88.01,0.014002,-88.01,0.00384448,-88.01,0.000834093,-88.01,0.000176747
-86.01,0.999988,-86.01,0.948686,-86.01,0.892457,-86.01,0.841131,-86.01,0.784823,-86.01,0.733289,-86.01,0.676309,-86.01,0.623023,-86.01,0.560576,-86.01,0.493924,-86.01,0.396344,-86.01,0.274068,-86.01,0.133081,-86.01,0.0505975,-86.01,0.0140019,-86.01,0.00384446,-86.01,0.000834087,-86.01,0.000176746
-84.01,0.999978,-84.01,0.948676,-84.01,0.892448,-84.01,0.841122,-84.01,0.784816,-84.01,0.733281,-84.01,0.676303,-84.01,0.623016,-84.01,0.56057,-84.01,0.493919,-84.01,0.39634,-84.01,0.274066,-84.01,0.13308,-84.01,0.050597,-84.01,0.0140017,-84.01,0.00384442,-84.01,0.000834078,-84.01,0.000176744
-82.01,0.999964,-82.01,0.948663,-82.01,0.892436,-82.01,0.841111,-82.01,0.784805,-82.01,0.733271,-82.01,0.676293,-82.01,0.623008,-82.01,0.560563,-82.01,0.493912,-82.01,0.396335,-82.01,0.274062,-82.01,0.133078,-82.01,0.0505963,-82.01,0.0140015,-82.01,0.00384436,-82.01,0.000834067,-82.01,0.000176741
-80.01,0.999944,-80.01,0.948644,-80.01,0.892418,-80.01,0.841094,-80.01,0.784789,-80.01,0.733257,-80.01,0.67628,-80.01,0.622995,-80.01,0.560552,-80.01,0.493902,-80.01,0.396327,-80.01,0.274056,-80.01,0.133076,-80.01,0.0505953,-80.01,0.0140012,-80.01,0.00384429,-80.01,0.00083405,-80.01,0.000176738
-78.01,0.999917,-78.01,0.948619,-78.01,0.892394,-78.01,0.841071,-78.01,0.784768,-78.01,0.733237,-78.01,0.676261,-78.01,0.622978,-78.01,0.560536,-78.01,0.493889,-78.01,0.396316,-78.01,0.274049,-78.01,0.133072,-78.01,0.0505939,-78.01,0.0140009,-78.01,0.00384418,-78.01,0.000834028,-78.01,0.000176733
-76.01,0.999879,-76.01,0.948582,-76.01,0.89236,-76.01,0.841039,-76.01,0.784738,-76.01,0.733209,-76.01,0.676236,-76.01,0.622955,-76.01,0.560515,-76.01,0.49387,-76.01,0.396301,-76.01,0.274038,-76.01,0.133067,-76.01,0.0505919,-76.01,0.0140003,-76.01,0.00384404,-76.01,0.000833996,-76.01,0.000176726
-74.01,0.999825,-74.01,0.948531,-74.01,0.892312,-74.01,0.840994,-74.01,0.784696,-74.01,0.733169,-74.01,0.676199,-74.01,0.622921,-74.01,0.560485,-74.01,0.493843,-74.01,0.39628,-74.01,0.274024,-74.01,0.13306,-74.01,0.0505892,-74.01,0.0139996,-74.01,0.00384383,-74.01,0.000833951,-74.01,0.000176717
-72.01,0.99975,-72.01,0.94846,-72.01,0.892245,-72.01,0.840931,-72.01,0.784637,-72.01,0.733114,-72.01,0.676149,-72.01,0.622874,-72.01,0.560443,-72.01,0.493806,-72.01,0.39625,-72.01,0.274003,-72.01,0.13305,-72.01,0.0505854,-72.01,0.0139985,-72.01,0.00384354,-72.01,0.000833888,-72.01,0.000176704
-70.01,0.999645,-70.01,0.948361,-70.01,0.892151,-70.01,0.840843,-70.01,0.784555,-70.01,0.733037,-70.01,0.676078,-70.01,0.622809,-70.01,0.560384,-70.01,0.493755,-70.01,0.396208,-70.01,0.273974,-70.01,0.133036,-70.01,0.0505801,-70.01,0.0139971,-70.01,0.00384314,-70.01,0.000833801,-70.01,0.000176685
-68.01,0.999498,-68.01,0.948222,-68.01,0.89202,-68.01,0.840719,-68.01,0.784439,-68.01,0.73293,-68.01,0.675978,-68.01,0.622718,-68.01,0.560302,-68.01,0.493682,-68.01,0.39615,-68.01,0.273934,-68.01,0.133016,-68.01,0.0505727,-68.01,0.013995,-68.01,0.00384257,-68.01,0.000833679,-68.01,0.000176659
