Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,0.999998,-90.01,0.999993,-90.01,0.999976,-90.01,0.999928,-90.01,0.999757,-90.01,0.999269,-90.01,0.997567,-90.01,0.992745,-90.01,0.976339,-90.01,0.933207,-90.01,0.815607,-90.01,0.630758,-90.01,0.448731,-90.01,0.426702,-90.01,0.487143,-90.01,0.433672
-88.01,0.995004,-88.01,0.995001,-88.01,0.995,-88.01,0.994995,-88.01,0.994979,-88.01,0.994921,-88.01,0.994759,-88.01,0.994275,-88.01,0.992587,-88.01,0.987807,-88.01,0.971536,-88.01,0.928747,-88.01,0.812015,-88.01,0.628379,-88.01,0.447355,-88.01,0.427318,-88.01,0.486865,-88.01,0.432471
-86.01,0.988587,-86.01,0.988586,-86.01,0.988584,-86.01,0.98858,-86.01,0.988563,-86.01,0.988515,-86.01,0.988347,-86.01,0.987869,-86.01,0.986199,-86.01,0.981468,-86.01,0.965365,-86.01,0.923019,-86.01,0.807415,-86.01,0.625308,-86.01,0.445541,-86.01,0.425813,-86.01,0.485105,-86.01,0.430919
-84.01,0.980401,-84.01,0.980401,-84.01,0.980399,-84.01,0.980395,-84.01,0.980378,-84.01,0.980331,-84.01,0.980165,-84.01,0.979693,-84.01,0.978046,-84.01,0.973379,-84.01,0.957498,-84.01,0.915703,-84.01,0.801523,-84.01,0.621368,-84.01,0.443201,-84.01,0.423759,-84.01,0.482811,-84.01,0.42892
-82.01,0.970055,-82.01,0.970054,-82.01,0.970053,-82.01,0.970048,-82.01,0.970031,-82.01,0.969984,-82.01,0.969823,-82.01,0.969358,-82.01,0.967739,-82.01,0.963153,-82.01,0.947542,-82.01,0.906438,-82.01,0.794041,-82.01,0.616343,-82.01,0.440211,-82.01,0.421116,-82.01,0.479864,-82.01,0.426341
-80.01,0.957112,-80.01,0.957111,-80.01,0.95711,-80.01,0.957105,-80.01,0.957089,-80.01,0.957044,-80.01,0.956885,-80.01,0.956431,-80.01,0.954846,-80.01,0.950358,-80.01,0.935079,-80.01,0.894833,-80.01,0.784631,-80.01,0.609992,-80.01,0.436403,-80.01,0.417746,-80.01,0.476101,-80.01,0.423048
-78.01,0.94114,-78.01,0.941139,-78.01,0.941138,-78.01,0.941133,-78.01,0.941118,-78.01,0.941073,-78.01,0.940918,-78.01,0.940476,-78.01,0.938932,-78.01,0.93456,-78.01,0.919683,-78.01,0.88047,-78.01,0.77294,-78.01,0.602048,-78.01,0.431604,-78.01,0.413483,-78.01,0.471329,-78.01,0.418873
-76.01,0.921722,-76.01,0.921722,-76.01,0.92172,-76.01,0.921716,-76.01,0.921701,-76.01,0.921658,-76.01,0.921508,-76.01,0.92108,-76.01,0.919586,-76.01,0.915353,-76.01,0.900949,-76.01,0.862963,-76.01,0.758617,-76.01,0.592239,-76.01,0.425627,-76.01,0.40814,-76.01,0.465338,-76.01,0.413627
-74.01,0.898532,-74.01,0.898532,-74.01,0.898531,-74.01,0.898527,-74.01,0.898512,-74.01,0.898471,-74.01,0.898327,-74.01,0.897915,-74.01,0.896479,-74.01,0.892408,-74.01,0.87855,-74.01,0.841987,-74.01,0.741358,-74.01,0.580303,-74.01,0.418276,-74.01,0.401528,-74.01,0.457904,-74.01,0.40711
-72.01,0.871396,-72.01,0.871395,-72.01,0.871394,-72.01,0.87139,-72.01,0.871376,-72.01,0.871337,-72.01,0.871199,-72.01,0.870806,-72.01,0.869435,-72.01,0.865548,-72.01,0.852307,-72.01,0.817348,-72.01,0.72095,-72.01,0.566031,-72.01,0.40936,-72.01,0.393462,-72.01,0.448799,-72.01,0.399124
-70.01,0.840338,-70.01,0.840338,-70.01,0.840337,-70.01,0.840333,-70.01,0.84032,-70.01,0.840283,-70.01,0.840152,-70.01,0.83978,-70.01,0.838479,-70.01,0.834794,-70.01,0.822232,-70.01,0.789045,-70.01,0.697328,-70.01,0.5493,-70.01,0.398761,-70.01,0.383783,-70.01,0.437843,-70.01,0.389495
-68.01,0.805629,-68.01,0.805629,-68.01,0.805627,-68.01,0.805624,-68.01,0.805611,-68.01,0.805576,-68.01,0.805453,-68.01,0.805102,-68.01,0.803876,-68.01,0.800405,-68.01,0.788573,-68.01,0.757279,-68.01,0.670611,-68.01,0.530116,-68.01,0.386399,-68.01,0.372389,-68.01,0.424884,-68.01,0.378097
-66.01,0.767774,-66.01,0.767774,-66.01,0.767772,-66.01,0.767769,-66.01,0.767758,-66.01,0.767725,-66.01,0.76761,-66.01,0.767281,-66.01,0.766134,-66.01,0.762882,-66.01,0.751799,-66.01,0.722475,-66.01,0.641096,-66.01,0.508628,-66.01,0.372303,-66.01,0.359266,-66.01,0.409879,-66.01,0.364878
-64.01,0.727481,-64.01,0.72748,-64.01,0.727479,-64.01,0.727476,-64.01,0.727465,-64.01,0.727435,-64.01,0.727328,-64.01,0.727022,-64.01,0.725954,-64.01,0.722927,-64.01,0.712603,-64.01,0.68527,-64.01,0.60929,-64.01,0.485124,-64.01,0.356604,-64.01,0.34448,-64.01,0.392893,-64.01,0.349886
-62.01,0.685605,-62.01,0.685605,-62.01,0.685604,-62.01,0.685601,-62.01,0.685591,-62.01,0.685563,-62.01,0.685463,-62.01,0.685179,-62.01,0.684188,-62.01,0.681379,-62.01,0.671805,-62.01,0.646439,-62.01,0.575822,-62.01,0.460038,-62.01,0.339521,-62.01,0.328217,-62.01,0.374103,-62.01,0.333274
-60.01,0.643037,-60.01,0.643037,-60.01,0.643036,-60.01,0.643033,-60.01,0.643024,-60.01,0.642998,-60.01,0.642906,-60.01,0.642644,-60.01,0.641728,-60.01,0.639132,-60.01,0.630274,-60.01,0.606806,-60.01,0.541406,-60.01,0.433875,-60.01,0.321387,-60.01,0.310748,-60.01,0.353811,-60.01,0.315306
-58.01,0.600638,-58.01,0.600638,-58.01,0.600637,-58.01,0.600635,-58.01,0.600626,-58.01,0.600602,-58.01,0.600517,-58.01,0.600274,-58.01,0.599428,-58.01,0.597031,-58.01,0.588855,-58.01,0.567185,-58.01,0.506746,-58.01,0.407184,-58.01,0.302556,-58.01,0.292416,-58.01,0.332406,-58.01,0.296319
-56.01,0.559156,-56.01,0.559156,-56.01,0.559155,-56.01,0.559153,-56.01,0.559145,-56.01,0.559124,-56.01,0.559045,-56.01,0.558822,-56.01,0.558041,-56.01,0.555831,-56.01,0.548288,-56.01,0.528294,-56.01,0.472512,-56.01,0.380499,-56.01,0.283424,-56.01,0.273592,-56.01,0.310317,-56.01,0.276689
-54.01,0.519193,-54.01,0.519193,-54.01,0.519192,-54.01,0.51919,-54.01,0.519183,-54.01,0.519162,-54.01,0.519091,-54.01,0.518884,-54.01,0.518165,-54.01,0.516123,-54.01,0.509162,-54.01,0.490709,-54.01,0.439236,-54.01,0.354278,-54.01,0.264339,-54.01,0.254648,-54.01,0.287983,-54.01,0.256815
-52.01,0.481157,-52.01,0.481157,-52.01,0.481156,-52.01,0.481154,-52.01,0.481148,-52.01,0.481129,-52.01,0.481062,-52.01,0.480871,-52.01,0.480206,-52.01,0.478321,-52.01,0.471889,-52.01,0.454846,-52.01,0.407326,-52.01,0.328901,-52.01,0.245632,-52.01,0.235913,-52.01,0.265816,-52.01,0.237058
-50.01,0.445252,-50.01,0.445251,-50.01,0.445251,-50.01,0.445249,-50.01,0.445243,-50.01,0.445225,-50.01,0.445163,-50.01,0.444987,-50.01,0.444374,-50.01,0.442629,-50.01,0.436682,-50.01,0.42093,-50.01,0.377033,-50.01,0.304624,-50.01,0.227538,-50.01,0.217668,-50.01,0.24415,-50.01,0.217728
-48.01,0.411499,-48.01,0.411499,-48.01,0.411498,-48.01,0.411497,-48.01,0.411491,-48.01,0.411475,-48.01,0.411418,-48.01,0.411255,-48.01,0.410685,-48.01,0.409073,-48.01,0.403574,-48.01,0.389013,-48.01,0.348452,-48.01,0.281591,-48.01,0.210225,-48.01,0.200114,-48.01,0.223254,-48.01,0.199065
-46.01,0.379707,-46.01,0.379707,-46.01,0.379706,-46.01,0.379704,-46.01,0.379699,-46.01,0.379684,-46.01,0.379632,-46.01,0.379481,-46.01,0.378955,-46.01,0.37747,-46.01,0.372397,-46.01,0.358962,-46.01,0.321532,-46.01,0.259837,-46.01,0.193782,-46.01,0.183381,-46.01,0.203307,-46.01,0.181236
-44.01,0.349458,-44.01,0.349458,-44.01,0.349456,-44.01,0.349455,-44.01,0.349448,-44.01,0.349438,-44.01,0.349389,-44.01,0.349252,-44.01,0.348772,-44.01,0.347409,-44.01,0.342763,-44.01,0.330443,-44.01,0.296064,-44.01,0.239287,-44.01,0.178223,-44.01,0.167536,-44.01,0.184417,-44.01,0.164344
-42.01,0.320037,-42.01,0.320036,-42.01,0.320036,-42.01,0.320035,-42.01,0.320031,-42.01,0.320018,-42.01,0.319971,-42.01,0.319851,-42.01,0.319418,-42.01,0.318191,-42.01,0.314005,-42.01,0.302879,-42.01,0.271669,-42.01,0.219771,-42.01,0.163507,-42.01,0.152587,-42.01,0.166623,-42.01,0.148429
-40.01,0.290311,-40.01,0.290311,-40.01,0.29031,-40.01,0.290309,-40.01,0.290306,-40.01,0.290295,-40.01,0.290257,-40.01,0.29015,-40.01,0.289775,-40.01,0.288711,-40.01,0.285076,-40.01,0.275358,-40.01,0.247742,-40.01,0.201005,-40.01,0.149536,-40.01,0.138492,-40.01,0.149915,-40.01,0.133487
-38.01,0.25883,-38.01,0.25883,-38.01,0.25883,-38.01,0.258829,-38.01,0.258826,-38.01,0.258817,-38.01,0.258787,-38.01,0.2587,-38.01,0.258397,-38.01,0.257541,-38.01,0.254592,-38.01,0.246635,-38.01,0.223422,-38.01,0.182588,-38.01,0.13616,-38.01,0.125179,-38.01,0.134239,-38.01,0.119478
