Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999994,-90.01,0.999966,-90.01,0.999719,-90.01,0.997726,-90.01,0.976526,-90.01,0.84015,-90.01,0.517884,-90.01,0.411135
-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999903,-88.01,0.999902,-88.01,0.999897,-88.01,0.999869,-88.01,0.999623,-88.01,0.997629,-88.01,0.976431,-88.01,0.840068,-88.01,0.517834,-88.01,0.411095
-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999775,-86.01,0.999774,-86.01,0.999773,-86.01,0.999768,-86.01,0.999741,-86.01,0.999494,-86.01,0.997501,-86.01,0.976305,-86.01,0.83996,-86.01,0.517767,-86.01,0.411042
-84.01,0.999604,-84.01,0.999604,-84.01,0.999604,-84.01,0.999604,-84.01,0.999604,-84.01,0.999604,-84.01,0.999603,-84.01,0.999603,-84.01,0.999603,-84.01,0.999602,-84.01,0.999597,-84.01,0.99957,-84.01,0.999323,-84.01,0.99733,-84.01,0.976138,-84.01,0.839816,-84.01,0.517679,-84.01,0.410972
-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999376,-82.01,0.999375,-82.01,0.999374,-82.01,0.999369,-82.01,0.999342,-82.01,0.999095,-82.01,0.997103,-82.01,0.975916,-82.01,0.839625,-82.01,0.517561,-82.01,0.410879
-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999073,-80.01,0.999072,-80.01,0.999067,-80.01,0.999039,-80.01,0.998793,-80.01,0.996801,-80.01,0.97562,-80.01,0.839371,-80.01,0.517404,-80.01,0.410754
-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.998671,-78.01,0.99867,-78.01,0.998669,-78.01,0.998664,-78.01,0.998637,-78.01,0.99839,-78.01,0.9964,-78.01,0.975227,-78.01,0.839033,-78.01,0.517196,-78.01,0.410589
-76.01,0.998136,-76.01,0.998136,-76.01,0.998136,-76.01,0.998136,-76.01,0.998136,-76.01,0.998136,-76.01,0.998136,-76.01,0.998135,-76.01,0.998135,-76.01,0.998134,-76.01,0.998129,-76.01,0.998102,-76.01,0.997855,-76.01,0.995866,-76.01,0.974705,-76.01,0.838583,-76.01,0.516918,-76.01,0.410369
-74.01,0.997425,-74.01,0.997425,-74.01,0.997425,-74.01,0.997425,-74.01,0.997425,-74.01,0.997425,-74.01,0.997425,-74.01,0.997424,-74.01,0.997424,-74.01,0.997423,-74.01,0.997418,-74.01,0.997391,-74.01,0.997145,-74.01,0.995156,-74.01,0.974011,-74.01,0.837986,-74.01,0.51655,-74.01,0.410076
-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.99648,-72.01,0.996479,-72.01,0.996474,-72.01,0.996447,-72.01,0.996201,-72.01,0.994214,-72.01,0.973088,-72.01,0.837193,-72.01,0.516061,-72.01,0.409688
