Test potential (mV),2020_Aslanidi_2009_atrial,Test potential (mV),2020_Beeler_1977,Test potential (mV),2020_Bondarenko_2004,Test potential (mV),2020_Courtemanche_1998,Test potential (mV),2020_Priebe_1998,Test potential (mV),Corrias 2011,Test potential (mV),Demir 1994,Test potential (mV),Dokos 1996,Test potential (mV),Inada 2009 (atrio-nodal),Test potential (mV),Koivumaki 2011,Test potential (mV),Kurata 2002,Test potential (mV),Lindblad 1996,Test potential (mV),Lovell 2004 (ICaL),Test potential (mV),McAllister 1975 (Model B),Test potential (mV),Nygren 1998,Test potential (mV),Pandit 2001 (epi),Test potential (mV),Ramirez 2000,Test potential (mV),Varela 2016 (right atrium),Test potential (mV),Wang 2008,Test potential (mV),Zhang 2000,Test potential (mV),Pohl 2016 (ICaL)
15.99,-34.01,15.99,-111.708,15.99,-47.01,15.99,-49.01,15.99,-116.349,15.99,-116.29,15.99,-30.41,15.99,-41.2897,15.99,-46.51,15.99,-44.01,15.99,-29.01,15.99,-44.01,15.99,-33.73,15.99,-56.7105,15.99,-44.01,15.99,-49.01,15.99,-49.01,15.99,-44.01,15.99,-47.01,15.99,-30.41,15.99,-41.2897
17.99,-32.01,17.99,-109.708,17.99,-45.01,17.99,-47.01,17.99,-114.349,17.99,-114.29,17.99,-28.41,17.99,-39.2897,17.99,-44.51,17.99,-42.01,17.99,-27.01,17.99,-42.01,17.99,-31.73,17.99,-54.6105,17.99,-42.01,17.99,-47.01,17.99,-47.01,17.99,-42.01,17.99,-45.01,17.99,-28.41,17.99,-39.2897
19.99,-30.01,19.99,-107.708,19.99,-43.01,19.99,-45.01,19.99,-112.349,19.99,-112.29,19.99,-26.41,19.99,-37.2897,19.99,-42.51,19.99,-40.01,19.99,-25.01,19.99,-40.01,19.99,-29.73,19.99,-52.5105,19.99,-40.01,19.99,-45.01,19.99,-45.01,19.99,-40.01,19.99,-43.01,19.99,-26.41,19.99,-37.2897
21.99,-28.01,21.99,-105.708,21.99,-41.01,21.99,-43.01,21.99,-110.349,21.99,-110.29,21.99,-24.41,21.99,-35.2897,21.99,-40.51,21.99,-38.01,21.99,-23.01,21.99,-38.01,21.99,-27.73,21.99,-50.4105,21.99,-38.01,21.99,-43.01,21.99,-43.01,21.99,-38.01,21.99,-41.01,21.99,-24.41,21.99,-35.2897
23.99,-26.01,23.99,-103.708,23.99,-39.01,23.99,-41.01,23.99,-108.349,23.99,-108.29,23.99,-22.41,23.99,-33.2897,23.99,-38.51,23.99,-36.01,23.99,-21.01,23.99,-36.01,23.99,-25.73,23.99,-48.3105,23.99,-36.01,23.99,-41.01,23.99,-41.01,23.99,-36.01,23.99,-39.01,23.99,-22.41,23.99,-33.2897
25.99,-24.01,25.99,-101.708,25.99,-37.01,25.99,-39.01,25.99,-106.349,25.99,-106.29,25.99,-20.41,25.99,-31.2897,25.99,-36.51,25.99,-34.01,25.99,-19.01,25.99,-34.01,25.99,-23.73,25.99,-46.2105,25.99,-34.01,25.99,-39.01,25.99,-39.01,25.99,-34.01,25.99,-37.01,25.99,-20.41,25.99,-31.2897
27.99,-22.01,27.99,-99.7078,27.99,-35.01,27.99,-37.01,27.99,-104.349,27.99,-104.29,27.99,-18.41,27.99,-29.2897,27.99,-34.51,27.99,-32.01,27.99,-17.01,27.99,-32.01,27.99,-21.73,27.99,-44.1105,27.99,-32.01,27.99,-37.01,27.99,-37.01,27.99,-32.01,27.99,-35.01,27.99,-18.41,27.99,-29.2897
29.99,-20.01,29.99,-97.7078,29.99,-33.01,29.99,-35.01,29.99,-102.349,29.99,-102.29,29.99,-16.41,29.99,-27.2897,29.99,-32.51,29.99,-30.01,29.99,-15.01,29.99,-30.01,29.99,-19.73,29.99,-42.0105,29.99,-30.01,29.99,-35.01,29.99,-35.01,29.99,-30.01,29.99,-33.01,29.99,-16.41,29.99,-27.2897
31.99,-18.01,31.99,-95.7078,31.99,-31.01,31.99,-33.01,31.99,-100.349,31.99,-100.29,31.99,-14.41,31.99,-25.2897,31.99,-30.51,31.99,-28.01,31.99,-13.01,31.99,-28.01,31.99,-17.73,31.99,-39.9105,31.99,-28.01,31.99,-33.01,31.99,-33.01,31.99,-28.01,31.99,-31.01,31.99,-14.41,31.99,-25.2897
33.99,-16.01,33.99,-93.7078,33.99,-29.01,33.99,-31.01,33.99,-98.3491,33.99,-98.2897,33.99,-12.41,33.99,-23.2897,33.99,-28.51,33.99,-26.01,33.99,-11.01,33.99,-26.01,33.99,-15.73,33.99,-37.8105,33.99,-26.01,33.99,-31.01,33.99,-31.01,33.99,-26.01,33.99,-29.01,33.99,-12.41,33.99,-23.2897
35.99,-14.01,35.99,-91.7078,35.99,-27.01,35.99,-29.01,35.99,-96.3491,35.99,-96.2897,35.99,-10.41,35.99,-21.2897,35.99,-26.51,35.99,-24.01,35.99,-9.01,35.99,-24.01,35.99,-13.73,35.99,-35.7105,35.99,-24.01,35.99,-29.01,35.99,-29.01,35.99,-24.01,35.99,-27.01,35.99,-10.41,35.99,-21.2897
37.99,-12.01,37.99,-89.7078,37.99,-25.01,37.99,-27.01,37.99,-94.3491,37.99,-94.2897,37.99,-8.41,37.99,-19.2897,37.99,-24.51,37.99,-22.01,37.99,-7.01,37.99,-22.01,37.99,-11.73,37.99,-33.6105,37.99,-22.01,37.99,-27.01,37.99,-27.01,37.99,-22.01,37.99,-25.01,37.99,-8.41,37.99,-19.2897
39.99,-10.01,39.99,-87.7078,39.99,-23.01,39.99,-25.01,39.99,-92.3491,39.99,-92.2897,39.99,-6.41,39.99,-17.2897,39.99,-22.51,39.99,-20.01,39.99,-5.01,39.99,-20.01,39.99,-9.73,39.99,-31.5105,39.99,-20.01,39.99,-25.01,39.99,-25.01,39.99,-20.01,39.99,-23.01,39.99,-6.41,39.99,-17.2897
41.99,-8.01,41.99,-85.7078,41.99,-21.01,41.99,-23.01,41.99,-90.3491,41.99,-90.2897,41.99,-4.41,41.99,-15.2897,41.99,-20.51,41.99,-18.01,41.99,-3.01,41.99,-18.01,41.99,-7.73,41.99,-29.4105,41.99,-18.01,41.99,-23.01,41.99,-23.01,41.99,-18.01,41.99,-21.01,41.99,-4.41,41.99,-15.2897
43.99,-6.01,43.99,-83.7078,43.99,-19.01,43.99,-21.01,43.99,-88.3491,43.99,-88.2897,43.99,-2.41,43.99,-13.2897,43.99,-18.51,43.99,-16.01,43.99,-1.01,43.99,-16.01,43.99,-5.73,43.99,-27.3105,43.99,-16.01,43.99,-21.01,43.99,-21.01,43.99,-16.01,43.99,-19.01,43.99,-2.41,43.99,-13.2897
45.99,-4.01,45.99,-81.7078,45.99,-17.01,45.99,-19.01,45.99,-86.3491,45.99,-86.2897,45.99,-0.41,45.99,-11.2897,45.99,-16.51,45.99,-14.01,45.99,0.99,45.99,-14.01,45.99,-3.73,45.99,-25.2105,45.99,-14.01,45.99,-19.01,45.99,-19.01,45.99,-14.01,45.99,-17.01,45.99,-0.41,45.99,-11.2897
47.99,-2.01,47.99,-79.7078,47.99,-15.01,47.99,-17.01,47.99,-84.3491,47.99,-84.2897,47.99,1.59,47.99,-9.2897,47.99,-14.51,47.99,-12.01,47.99,2.99,47.99,-12.01,47.99,-1.73,47.99,-23.1105,47.99,-12.01,47.99,-17.01,47.99,-17.01,47.99,-12.01,47.99,-15.01,47.99,1.59,47.99,-9.2897
49.99,-0.01,49.99,-77.7078,49.99,-13.01,49.99,-15.01,49.99,-82.3491,49.99,-82.2897,49.99,3.59,49.99,-7.2897,49.99,-12.51,49.99,-10.01,49.99,4.99,49.99,-10.01,49.99,0.27,49.99,-21.0105,49.99,-10.01,49.99,-15.01,49.99,-15.01,49.99,-10.01,49.99,-13.01,49.99,3.59,49.99,-7.2897
51.99,1.99,51.99,-75.7078,51.99,-11.01,51.99,-13.01,51.99,-80.3491,51.99,-80.2897,51.99,5.59,51.99,-5.2897,51.99,-10.51,51.99,-8.01,51.99,6.99,51.99,-8.01,51.99,2.27,51.99,-18.9105,51.99,-8.01,51.99,-13.01,51.99,-13.01,51.99,-8.01,51.99,-11.01,51.99,5.59,51.99,-5.2897
53.99,3.99,53.99,-73.7078,53.99,-9.01,53.99,-11.01,53.99,-78.3491,53.99,-78.2897,53.99,7.59,53.99,-3.2897,53.99,-8.51,53.99,-6.01,53.99,8.99,53.99,-6.01,53.99,4.27,53.99,-16.8105,53.99,-6.01,53.99,-11.01,53.99,-11.01,53.99,-6.01,53.99,-9.01,53.99,7.59,53.99,-3.2897
55.99,5.99,55.99,-71.7078,55.99,-7.01,55.99,-9.01,55.99,-76.3491,55.99,-76.2897,55.99,9.59,55.99,-1.2897,55.99,-6.51,55.99,-4.01,55.99,10.99,55.99,-4.01,55.99,6.27,55.99,-14.7105,55.99,-4.01,55.99,-9.01,55.99,-9.01,55.99,-4.01,55.99,-7.01,55.99,9.59,55.99,-1.2897
57.99,7.99,57.99,-69.7078,57.99,-5.01,57.99,-7.01,57.99,-74.3491,57.99,-74.2897,57.99,11.59,57.99,0.710302,57.99,-4.51,57.99,-2.01,57.99,12.99,57.99,-2.01,57.99,8.27,57.99,-12.6105,57.99,-2.01,57.99,-7.01,57.99,-7.01,57.99,-2.01,57.99,-5.01,57.99,11.59,57.99,0.710302
59.99,9.99,59.99,-67.7078,59.99,-3.01,59.99,-5.01,59.99,-72.3491,59.99,-72.2897,59.99,13.59,59.99,2.7103,59.99,-2.51,59.99,-0.01,59.99,14.99,59.99,-0.01,59.99,10.27,59.99,-10.5105,59.99,-0.01,59.99,-5.01,59.99,-5.01,59.99,-0.01,59.99,-3.01,59.99,13.59,59.99,2.7103
61.99,11.99,61.99,-65.7078,61.99,-1.01,61.99,-3.01,61.99,-70.3491,61.99,-70.2897,61.99,15.59,61.99,4.7103,61.99,-0.51,61.99,1.99,61.99,16.99,61.99,1.99,61.99,12.27,61.99,-8.4105,61.99,1.99,61.99,-3.01,61.99,-3.01,61.99,1.99,61.99,-1.01,61.99,15.59,61.99,4.7103
63.99,13.99,63.99,-63.7078,63.99,0.99,63.99,-1.01,63.99,-68.3491,63.99,-68.2897,63.99,17.59,63.99,6.7103,63.99,1.49,63.99,3.99,63.99,18.99,63.99,3.99,63.99,14.27,63.99,-6.3105,63.99,3.99,63.99,-1.01,63.99,-1.01,63.99,3.99,63.99,0.99,63.99,17.59,63.99,6.7103
65.99,15.99,65.99,-61.7078,65.99,2.99,65.99,0.99,65.99,-66.3491,65.99,-66.2897,65.99,19.59,65.99,8.7103,65.99,3.49,65.99,5.99,65.99,20.99,65.99,5.99,65.99,16.27,65.99,-4.2105,65.99,5.99,65.99,0.99,65.99,0.99,65.99,5.99,65.99,2.99,65.99,19.59,65.99,8.7103
67.99,17.99,67.99,-59.7078,67.99,4.99,67.99,2.99,67.99,-64.3491,67.99,-64.2897,67.99,21.59,67.99,10.7103,67.99,5.49,67.99,7.99,67.99,22.99,67.99,7.99,67.99,18.27,67.99,-2.1105,67.99,7.99,67.99,2.99,67.99,2.99,67.99,7.99,67.99,4.99,67.99,21.59,67.99,10.7103
69.99,19.99,69.99,-57.7078,69.99,6.99,69.99,4.99,69.99,-62.3491,69.99,-62.2897,69.99,23.59,69.99,12.7103,69.99,7.49,69.99,9.99,69.99,24.99,69.99,9.99,69.99,20.27,69.99,-0.0105,69.99,9.99,69.99,4.99,69.99,4.99,69.99,9.99,69.99,6.99,69.99,23.59,69.99,12.7103
71.99,21.99,71.99,-55.7078,71.99,8.99,71.99,6.99,71.99,-60.3491,71.99,-60.2897,71.99,25.59,71.99,14.7103,71.99,9.49,71.99,11.99,71.99,26.99,71.99,11.99,71.99,22.27,71.99,2.0895,71.99,11.99,71.99,6.99,71.99,6.99,71.99,11.99,71.99,8.99,71.99,25.59,71.99,14.7103
73.99,23.99,73.99,-53.7078,73.99,10.99,73.99,8.99,73.99,-58.3491,73.99,-58.2897,73.99,27.59,73.99,16.7103,73.99,11.49,73.99,13.99,73.99,28.99,73.99,13.99,73.99,24.27,73.99,4.1895,73.99,13.99,73.99,8.99,73.99,8.99,73.99,13.99,73.99,10.99,73.99,27.59,73.99,16.7103
75.99,25.99,75.99,-51.7078,75.99,12.99,75.99,10.99,75.99,-56.3491,75.99,-56.2897,75.99,29.59,75.99,18.7103,75.99,13.49,75.99,15.99,75.99,30.99,75.99,15.99,75.99,26.27,75.99,6.2895,75.99,15.99,75.99,10.99,75.99,10.99,75.99,15.99,75.99,12.99,75.99,29.59,75.99,18.7103
77.99,27.99,77.99,-49.7078,77.99,14.99,77.99,12.99,77.99,-54.3491,77.99,-54.2897,77.99,31.59,77.99,20.7103,77.99,15.49,77.99,17.99,77.99,32.99,77.99,17.99,77.99,28.27,77.99,8.3895,77.99,17.99,77.99,12.99,77.99,12.99,77.99,17.99,77.99,14.99,77.99,31.59,77.99,20.7103
79.99,29.99,79.99,-47.7078,79.99,16.99,79.99,14.99,79.99,-52.3491,79.99,-52.2897,79.99,33.59,79.99,22.7103,79.99,17.49,79.99,19.99,79.99,34.99,79.99,19.99,79.99,30.27,79.99,10.4895,79.99,19.99,79.99,14.99,79.99,14.99,79.99,19.99,79.99,16.99,79.99,33.59,79.99,22.7103
81.99,31.99,81.99,-45.7078,81.99,18.99,81.99,16.99,81.99,-50.3491,81.99,-50.2897,81.99,35.59,81.99,24.7103,81.99,19.49,81.99,21.99,81.99,36.99,81.99,21.99,81.99,32.27,81.99,12.5895,81.99,21.99,81.99,16.99,81.99,16.99,81.99,21.99,81.99,18.99,81.99,35.59,81.99,24.7103
83.99,33.99,83.99,-43.7078,83.99,20.99,83.99,18.99,83.99,-48.3491,83.99,-48.2897,83.99,37.59,83.99,26.7103,83.99,21.49,83.99,23.99,83.99,38.99,83.99,23.99,83.99,34.27,83.99,14.6895,83.99,23.99,83.99,18.99,83.99,18.99,83.99,23.99,83.99,20.99,83.99,37.59,83.99,26.7103
85.99,35.99,85.99,-41.7078,85.99,22.99,85.99,20.99,85.99,-46.3491,85.99,-46.2897,85.99,39.59,85.99,28.7103,85.99,23.49,85.99,25.99,85.99,40.99,85.99,25.99,85.99,36.27,85.99,16.7895,85.99,25.99,85.99,20.99,85.99,20.99,85.99,25.99,85.99,22.99,85.99,39.59,85.99,28.7103
87.99,37.99,87.99,-39.7078,87.99,24.99,87.99,22.99,87.99,-44.3491,87.99,-44.2897,87.99,41.59,87.99,30.7103,87.99,25.49,87.99,27.99,87.99,42.99,87.99,27.99,87.99,38.27,87.99,18.8895,87.99,27.99,87.99,22.99,87.99,22.99,87.99,27.99,87.99,24.99,87.99,41.59,87.99,30.7103
89.99,39.99,89.99,-37.7078,89.99,26.99,89.99,24.99,89.99,-42.3491,89.99,-42.2897,89.99,43.59,89.99,32.7103,89.99,27.49,89.99,29.99,89.99,44.99,89.99,29.99,89.99,40.27,89.99,20.9895,89.99,29.99,89.99,24.99,89.99,24.99,89.99,29.99,89.99,26.99,89.99,43.59,89.99,32.7103
91.99,41.99,91.99,-35.7078,91.99,28.99,91.99,26.99,91.99,-40.3491,91.99,-40.2897,91.99,45.59,91.99,34.7103,91.99,29.49,91.99,31.99,91.99,46.99,91.99,31.99,91.99,42.27,91.99,23.0895,91.99,31.99,91.99,26.99,91.99,26.99,91.99,31.99,91.99,28.99,91.99,45.59,91.99,34.7103
93.99,43.99,93.99,-33.7078,93.99,30.99,93.99,28.99,93.99,-38.3491,93.99,-38.2897,93.99,47.59,93.99,36.7103,93.99,31.49,93.99,33.99,93.99,48.99,93.99,33.99,93.99,44.27,93.99,25.1895,93.99,33.99,93.99,28.99,93.99,28.99,93.99,33.99,93.99,30.99,93.99,47.59,93.99,36.7103
95.99,45.99,95.99,-31.7078,95.99,32.99,95.99,30.99,95.99,-36.3491,95.99,-36.2897,95.99,49.59,95.99,38.7103,95.99,33.49,95.99,35.99,95.99,50.99,95.99,35.99,95.99,46.27,95.99,27.2895,95.99,35.99,95.99,30.99,95.99,30.99,95.99,35.99,95.99,32.99,95.99,49.59,95.99,38.7103
97.99,47.99,97.99,-29.7078,97.99,34.99,97.99,32.99,97.99,-34.3491,97.99,-34.2897,97.99,51.59,97.99,40.7103,97.99,35.49,97.99,37.99,97.99,52.99,97.99,37.99,97.99,48.27,97.99,29.3895,97.99,37.99,97.99,32.99,97.99,32.99,97.99,37.99,97.99,34.99,97.99,51.59,97.99,40.7103
# x axis: Test potential (mV); y axis: Ohmic Driving Term (mV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
