Test potential (mV),2020_Aslanidi_2009_purkinje,Test potential (mV),2020_Decker_2009,Test potential (mV),2020_DiFrancesco_1985,Test potential (mV),2020_Grandi_2010,Test potential (mV),2020_Hund_2004,Test potential (mV),2020_Iyer 2004,Test potential (mV),2020_Li_2010,Test potential (mV),2020_Livshitz_2007,Test potential (mV),2020_Luo_1994,Test potential (mV),2020_Mahajan_2008,Test potential (mV),2020_Matsuoka_2003,Test potential (mV),2020_Noble_1991,Test potential (mV),2020_Noble_1998,Test potential (mV),2020_ohara_2011,Test potential (mV),2020_Shannon_2004,Test potential (mV),2020_ten_Tusscher_2004,Test potential (mV),2020_ten_Tusscher_2006,Test potential (mV),2020_Tomek_2019,Test potential (mV),2020_Winslow_1999,Test potential (mV),Bartolucci 2020 (epi),Test potential (mV),Cabo 2003 (Non-infarcted) (ICaL),Test potential (mV),Cortassa 2006 (ICaL),Test potential (mV),Faber 2007 (ICaL),Test potential (mV),Fink_2008,Test potential (mV),Fox 2002,Test potential (mV),Grandi 2011,Test potential (mV),Heijman 2011,Test potential (mV),Hilgemann 1987,Test potential (mV),Hund 2008 (NZ)(ICaL),Test potential (mV),Jafri 1998,Test potential (mV),Kernik 2019 (ICaL),Test potential (mV),Li 2011 (ICaL),Test potential (mV),Michailova 2005,Test potential (mV),Nordin 1993 (ICaL),Test potential (mV),Paci 2013 (atrial-like),Test potential (mV),Pasek 2006,Test potential (mV),Sato 2006 (ICaL),Test potential (mV),Trovato 2020,Test potential (mV),Wilders 1991 (ICaL),Test potential (mV),Zeng 1995 (ICaL),Test potential (mV),Liu 1993 (ICaL)
-60.01,-0.741813,-60.01,-0.597999,-60.01,-3.70111,-60.01,-0.59781,-60.01,-0.741813,-60.01,-0.597205,-60.01,-1.76501,-60.01,-0.741813,-60.01,-0.631702,-60.01,-0.601659,-60.01,-0.876576,-60.01,-3.73281,-60.01,-1.34816,-60.01,-0.628936,-60.01,-0.59781,-60.01,-0.597999,-60.01,-2.17541,-60.01,-1.10884,-60.01,-0.597956,-60.01,-0.628936,-60.01,-0.653389,-60.01,-0.598172,-60.01,-0.628892,-60.01,-2.1753,-60.01,-0.598179,-60.01,-0.59781,-60.01,-0.598024,-60.01,-3.22773,-60.01,-0.597999,-60.01,-0.602314,-60.01,-0.597782,-60.01,-0.741813,-60.01,-0.659183,-60.01,-3.18665,-60.01,-0.597971,-60.01,-0.627438,-60.01,-0.598181,-60.01,-0.628936,-60.01,-3.69941,-60.01,-0.627372,-60.01,-0.997523
-58.01,-0.72246,-58.01,-0.579128,-58.01,-3.62972,-58.01,-0.578841,-58.01,-0.72246,-58.01,-0.578222,-58.01,-1.70924,-58.01,-0.72246,-58.01,-0.611884,-58.01,-0.582648,-58.01,-0.848812,-58.01,-3.66454,-58.01,-1.32314,-58.01,-0.609219,-58.01,-0.578841,-58.01,-0.579128,-58.01,-2.11865,-58.01,-1.074,-58.01,-0.579084,-58.01,-0.609219,-58.01,-0.633008,-58.01,-0.579293,-58.01,-0.609177,-58.01,-2.11855,-58.01,-0.579301,-58.01,-0.578841,-58.01,-0.579151,-58.01,-3.1683,-58.01,-0.579128,-58.01,-0.583291,-58.01,-0.578813,-58.01,-0.72246,-58.01,-0.643121,-58.01,-3.12891,-58.01,-0.579101,-58.01,-0.607454,-58.01,-0.579303,-58.01,-0.609219,-58.01,-3.62805,-58.01,-0.607704,-58.01,-0.99717
-56.01,-0.703151,-56.01,-0.560353,-56.01,-3.55817,-56.01,-0.559965,-56.01,-0.703151,-56.01,-0.559327,-56.01,-1.65375,-56.01,-0.703152,-56.01,-0.592168,-56.01,-0.563733,-56.01,-0.821186,-56.01,-3.59626,-56.01,-1.29811,-56.01,-0.589605,-56.01,-0.559965,-56.01,-0.560353,-56.01,-2.06203,-56.01,-1.03934,-56.01,-0.560308,-56.01,-0.589604,-56.01,-0.612733,-56.01,-0.56051,-56.01,-0.589564,-56.01,-2.06193,-56.01,-0.56052,-56.01,-0.559965,-56.01,-0.560375,-56.01,-3.10884,-56.01,-0.560353,-56.01,-0.564365,-56.01,-0.559939,-56.01,-0.703151,-56.01,-0.627214,-56.01,-3.07118,-56.01,-0.560327,-56.01,-0.587563,-56.01,-0.560521,-56.01,-0.589605,-56.01,-3.55652,-56.01,-0.588138,-56.01,-0.996766
-54.01,-0.683892,-54.01,-0.541684,-54.01,-3.48645,-54.01,-0.541193,-54.01,-0.683892,-54.01,-0.54053,-54.01,-1.59857,-54.01,-0.683892,-54.01,-0.572564,-54.01,-0.544925,-54.01,-0.793715,-54.01,-3.52798,-54.01,-1.27305,-54.01,-0.570101,-54.01,-0.541194,-54.01,-0.541684,-54.01,-2.00555,-54.01,-1.00488,-54.01,-0.541638,-54.01,-0.570101,-54.01,-0.592573,-54.01,-0.541834,-54.01,-0.570063,-54.01,-2.00545,-54.01,-0.541845,-54.01,-0.541193,-54.01,-0.541706,-54.01,-3.04937,-54.01,-0.541684,-54.01,-0.545545,-54.01,-0.541168,-54.01,-0.683892,-54.01,-0.611468,-54.01,-3.01347,-54.01,-0.541659,-54.01,-0.567774,-54.01,-0.541847,-54.01,-0.570101,-54.01,-3.48483,-54.01,-0.568683,-54.01,-0.996305
-52.01,-0.664687,-52.01,-0.523133,-52.01,-3.41455,-52.01,-0.522536,-52.01,-0.664687,-52.01,-0.521839,-52.01,-1.54374,-52.01,-0.664688,-52.01,-0.553082,-52.01,-0.526233,-52.01,-0.766412,-52.01,-3.45969,-52.01,-1.24798,-52.01,-0.550721,-52.01,-0.522536,-52.01,-0.523133,-52.01,-1.94923,-52.01,-0.970632,-52.01,-0.523085,-52.01,-0.550721,-52.01,-0.57254,-52.01,-0.523275,-52.01,-0.550684,-52.01,-1.94914,-52.01,-0.523287,-52.01,-0.522536,-52.01,-0.523154,-52.01,-2.98987,-52.01,-0.523133,-52.01,-0.526843,-52.01,-0.522512,-52.01,-0.664687,-52.01,-0.595886,-52.01,-2.95578,-52.01,-0.523109,-52.01,-0.548098,-52.01,-0.523289,-52.01,-0.550721,-52.01,-3.41297,-52.01,-0.54935,-52.01,-0.995778
-50.01,-0.645544,-50.01,-0.504711,-50.01,-3.34247,-50.01,-0.504005,-50.01,-0.645544,-50.01,-0.503267,-50.01,-1.48928,-50.01,-0.645545,-50.01,-0.533734,-50.01,-0.50767,-50.01,-0.739296,-50.01,-3.3914,-50.01,-1.22288,-50.01,-0.531474,-50.01,-0.504005,-50.01,-0.504711,-50.01,-1.89309,-50.01,-0.936623,-50.01,-0.504661,-50.01,-0.531474,-50.01,-0.552646,-50.01,-0.504845,-50.01,-0.531439,-50.01,-1.893,-50.01,-0.504859,-50.01,-0.504005,-50.01,-0.504731,-50.01,-2.93036,-50.01,-0.504711,-50.01,-0.50827,-50.01,-0.503982,-50.01,-0.645544,-50.01,-0.580475,-50.01,-2.89812,-50.01,-0.504688,-50.01,-0.528549,-50.01,-0.504861,-50.01,-0.531474,-50.01,-3.34092,-50.01,-0.530151,-50.01,-0.995175
-48.01,-0.626469,-48.01,-0.48643,-48.01,-3.2702,-48.01,-0.485611,-48.01,-0.626469,-48.01,-0.484823,-48.01,-1.43524,-48.01,-0.626469,-48.01,-0.514533,-48.01,-0.489248,-48.01,-0.712383,-48.01,-3.32311,-48.01,-1.19776,-48.01,-0.512375,-48.01,-0.485611,-48.01,-0.48643,-48.01,-1.83715,-48.01,-0.902872,-48.01,-0.486378,-48.01,-0.512374,-48.01,-0.532903,-48.01,-0.486556,-48.01,-0.512341,-48.01,-1.83707,-48.01,-0.486571,-48.01,-0.485611,-48.01,-0.486449,-48.01,-2.87082,-48.01,-0.48643,-48.01,-0.489838,-48.01,-0.485589,-48.01,-0.626469,-48.01,-0.565238,-48.01,-2.84048,-48.01,-0.486408,-48.01,-0.509138,-48.01,-0.486573,-48.01,-0.512375,-48.01,-3.26868,-48.01,-0.511098,-48.01,-0.994487
-46.01,-0.607469,-46.01,-0.468303,-46.01,-3.19774,-46.01,-0.467368,-46.01,-0.607469,-46.01,-0.46652,-46.01,-1.38164,-46.01,-0.607469,-46.01,-0.495491,-46.01,-0.470979,-46.01,-0.685694,-46.01,-3.25482,-46.01,-1.17263,-46.01,-0.493434,-46.01,-0.467369,-46.01,-0.468303,-46.01,-1.78144,-46.01,-0.869405,-46.01,-0.468249,-46.01,-0.493434,-46.01,-0.513324,-46.01,-0.46842,-46.01,-0.493403,-46.01,-1.78135,-46.01,-0.468437,-46.01,-0.467368,-46.01,-0.468321,-46.01,-2.81127,-46.01,-0.468303,-46.01,-0.47156,-46.01,-0.467348,-46.01,-0.607469,-46.01,-0.55018,-46.01,-2.78287,-46.01,-0.468282,-46.01,-0.489879,-46.01,-0.46844,-46.01,-0.493434,-46.01,-3.19626,-46.01,-0.492205,-46.01,-0.993701
-44.01,-0.588552,-44.01,-0.450343,-44.01,-3.12508,-44.01,-0.449291,-44.01,-0.588552,-44.01,-0.448372,-44.01,-1.32854,-44.01,-0.588553,-44.01,-0.476624,-44.01,-0.452879,-44.01,-0.659247,-44.01,-3.18654,-44.01,-1.14747,-44.01,-0.474668,-44.01,-0.449291,-44.01,-0.450343,-44.01,-1.72596,-44.01,-0.836246,-44.01,-0.450287,-44.01,-0.474668,-44.01,-0.493923,-44.01,-0.450453,-44.01,-0.474638,-44.01,-1.72588,-44.01,-0.450472,-44.01,-0.449291,-44.01,-0.450361,-44.01,-2.75171,-44.01,-0.450343,-44.01,-0.453451,-44.01,-0.449271,-44.01,-0.588552,-44.01,-0.535305,-44.01,-2.7253,-44.01,-0.450324,-44.01,-0.470789,-44.01,-0.450475,-44.01,-0.474668,-44.01,-3.12363,-44.01,-0.473485,-44.01,-0.992802
-42.01,-0.569727,-42.01,-0.432567,-42.01,-3.05221,-42.01,-0.431392,-42.01,-0.569727,-42.01,-0.430391,-42.01,-1.27598,-42.01,-0.569728,-42.01,-0.457946,-42.01,-0.434962,-42.01,-0.633065,-42.01,-3.11826,-42.01,-1.12229,-42.01,-0.456091,-42.01,-0.431393,-42.01,-0.432567,-42.01,-1.67076,-42.01,-0.803422,-42.01,-0.432508,-42.01,-0.45609,-42.01,-0.474716,-42.01,-0.432668,-42.01,-0.456063,-42.01,-1.67068,-42.01,-0.432689,-42.01,-0.431392,-42.01,-0.432584,-42.01,-2.69213,-42.01,-0.432567,-42.01,-0.435526,-42.01,-0.431374,-42.01,-0.569727,-42.01,-0.520618,-42.01,-2.66777,-42.01,-0.432549,-42.01,-0.451882,-42.01,-0.432692,-42.01,-0.456091,-42.01,-3.05079,-42.01,-0.454953,-42.01,-0.991776
-40.01,-0.551004,-40.01,-0.414989,-40.01,-2.97913,-40.01,-0.413689,-40.01,-0.551004,-40.01,-0.412591,-40.01,-1.224,-40.01,-0.551005,-40.01,-0.439472,-40.01,-0.417243,-40.01,-0.607171,-40.01,-3.04999,-40.01,-1.09708,-40.01,-0.437717,-40.01,-0.41369,-40.01,-0.414989,-40.01,-1.61585,-40.01,-0.77096,-40.01,-0.414926,-40.01,-0.437717,-40.01,-0.455718,-40.01,-0.415081,-40.01,-0.437691,-40.01,-1.61578,-40.01,-0.415104,-40.01,-0.413689,-40.01,-0.415005,-40.01,-2.63254,-40.01,-0.414989,-40.01,-0.417799,-40.01,-0.413672,-40.01,-0.551004,-40.01,-0.506123,-40.01,-2.61027,-40.01,-0.414972,-40.01,-0.433175,-40.01,-0.415108,-40.01,-0.437717,-40.01,-2.97774,-40.01,-0.436625,-40.01,-0.990603
-38.01,-0.532393,-38.01,-0.397625,-38.01,-2.90583,-38.01,-0.396196,-38.01,-0.532393,-38.01,-0.394988,-38.01,-1.17264,-38.01,-0.532394,-38.01,-0.421219,-38.01,-0.39974,-38.01,-0.581588,-38.01,-2.98174,-38.01,-1.07186,-38.01,-0.419564,-38.01,-0.396197,-38.01,-0.397625,-38.01,-1.56127,-38.01,-0.738889,-38.01,-0.397558,-38.01,-0.419564,-38.01,-0.436945,-38.01,-0.397708,-38.01,-0.41954,-38.01,-1.5612,-38.01,-0.397734,-38.01,-0.396196,-38.01,-0.39764,-38.01,-2.57295,-38.01,-0.397625,-38.01,-0.400287,-38.01,-0.39618,-38.01,-0.532393,-38.01,-0.491825,-38.01,-2.55283,-38.01,-0.397609,-38.01,-0.414688,-38.01,-0.397738,-38.01,-0.419564,-38.01,-2.90448,-38.01,-0.418517,-38.01,-0.989262
-36.01,-0.513905,-36.01,-0.380493,-36.01,-2.83231,-36.01,-0.378932,-36.01,-0.513905,-36.01,-0.377596,-36.01,-1.12197,-36.01,-0.513906,-36.01,-0.403205,-36.01,-0.382468,-36.01,-0.55634,-36.01,-2.91351,-36.01,-1.04661,-36.01,-0.401649,-36.01,-0.378933,-36.01,-0.380493,-36.01,-1.50706,-36.01,-0.707241,-36.01,-0.380421,-36.01,-0.401648,-36.01,-0.418415,-36.01,-0.380566,-36.01,-0.401627,-36.01,-1.50699,-36.01,-0.380595,-36.01,-0.378932,-36.01,-0.380507,-36.01,-2.51335,-36.01,-0.380493,-36.01,-0.383008,-36.01,-0.378917,-36.01,-0.513905,-36.01,-0.477728,-36.01,-2.49544,-36.01,-0.380478,-36.01,-0.396438,-36.01,-0.3806,-36.01,-0.401649,-36.01,-2.83099,-36.01,-0.400645,-36.01,-0.987731
-34.01,-0.495552,-34.01,-0.363609,-34.01,-2.75856,-34.01,-0.361912,-34.01,-0.495552,-34.01,-0.360432,-34.01,-1.07204,-34.01,-0.495553,-34.01,-0.385447,-34.01,-0.365447,-34.01,-0.531453,-34.01,-2.8453,-34.01,-1.02134,-34.01,-0.383989,-34.01,-0.361913,-34.01,-0.363609,-34.01,-1.45324,-34.01,-0.676047,-34.01,-0.363532,-34.01,-0.383988,-34.01,-0.400145,-34.01,-0.363672,-34.01,-0.383969,-34.01,-1.45317,-34.01,-0.363705,-34.01,-0.361912,-34.01,-0.363622,-34.01,-2.45376,-34.01,-0.363609,-34.01,-0.365978,-34.01,-0.361898,-34.01,-0.495552,-34.01,-0.463835,-34.01,-2.43812,-34.01,-0.363595,-34.01,-0.378445,-34.01,-0.36371,-34.01,-0.383989,-34.01,-2.75728,-34.01,-0.383029,-34.01,-0.985981
-32.01,-0.477346,-32.01,-0.346992,-32.01,-2.68458,-32.01,-0.345155,-32.01,-0.477346,-32.01,-0.343512,-32.01,-1.02289,-32.01,-0.477347,-32.01,-0.367963,-32.01,-0.348693,-32.01,-0.506954,-32.01,-2.77712,-32.01,-0.996056,-32.01,-0.366602,-32.01,-0.345156,-32.01,-0.346992,-32.01,-1.39985,-32.01,-0.645338,-32.01,-0.346909,-32.01,-0.366601,-32.01,-0.382154,-32.01,-0.347045,-32.01,-0.366584,-32.01,-1.39979,-32.01,-0.347081,-32.01,-0.345155,-32.01,-0.347004,-32.01,-2.39417,-32.01,-0.346992,-32.01,-0.349217,-32.01,-0.345142,-32.01,-0.477346,-32.01,-0.450151,-32.01,-2.38086,-32.01,-0.346979,-32.01,-0.360729,-32.01,-0.347087,-32.01,-0.366602,-32.01,-2.68333,-32.01,-0.365684,-32.01,-0.983981
-30.01,-0.459301,-30.01,-0.33066,-30.01,-2.61036,-30.01,-0.32868,-30.01,-0.459301,-30.01,-0.326853,-30.01,-0.974577,-30.01,-0.459303,-30.01,-0.350772,-30.01,-0.332226,-30.01,-0.482869,-30.01,-2.70898,-30.01,-0.970746,-30.01,-0.349507,-30.01,-0.328681,-30.01,-0.33066,-30.01,-1.34693,-30.01,-0.615149,-30.01,-0.330571,-30.01,-0.349506,-30.01,-0.364459,-30.01,-0.330703,-30.01,-0.349491,-30.01,-1.34687,-30.01,-0.330743,-30.01,-0.32868,-30.01,-0.330671,-30.01,-2.33459,-30.01,-0.33066,-30.01,-0.332742,-30.01,-0.328668,-30.01,-0.459301,-30.01,-0.436679,-30.01,-2.32368,-30.01,-0.330648,-30.01,-0.343312,-30.01,-0.330749,-30.01,-0.349507,-30.01,-2.60915,-30.01,-0.348631,-30.01,-0.981697
-28.01,-0.441432,-28.01,-0.314631,-28.01,-2.5359,-28.01,-0.312504,-28.01,-0.441432,-28.01,-0.31047,-28.01,-0.927165,-28.01,-0.441433,-28.01,-0.333893,-28.01,-0.316065,-28.01,-0.459225,-28.01,-2.64089,-28.01,-0.945417,-28.01,-0.332722,-28.01,-0.312505,-28.01,-0.314631,-28.01,-1.29453,-28.01,-0.585511,-28.01,-0.314535,-28.01,-0.332721,-28.01,-0.34708,-28.01,-0.314663,-28.01,-0.332708,-28.01,-1.29447,-28.01,-0.314708,-28.01,-0.312504,-28.01,-0.314642,-28.01,-2.27503,-28.01,-0.314631,-28.01,-0.316573,-28.01,-0.312493,-28.01,-0.441432,-28.01,-0.423424,-28.01,-2.26659,-28.01,-0.31462,-28.01,-0.326215,-28.01,-0.314714,-28.01,-0.332722,-28.01,-2.53473,-28.01,-0.331887,-28.01,-0.979086
-26.01,-0.423752,-26.01,-0.298924,-26.01,-2.46121,-26.01,-0.296647,-26.01,-0.423752,-26.01,-0.294382,-26.01,-0.880705,-26.01,-0.423754,-26.01,-0.317345,-26.01,-0.300228,-26.01,-0.43605,-26.01,-2.57285,-26.01,-0.920069,-26.01,-0.316267,-26.01,-0.296648,-26.01,-0.298924,-26.01,-1.24268,-26.01,-0.55646,-26.01,-0.298821,-26.01,-0.316265,-26.01,-0.330036,-26.01,-0.298946,-26.01,-0.316254,-26.01,-1.24263,-26.01,-0.298995,-26.01,-0.296647,-26.01,-0.298935,-26.01,-2.2155,-26.01,-0.298924,-26.01,-0.300728,-26.01,-0.296637,-26.01,-0.423752,-26.01,-0.410388,-26.01,-2.2096,-26.01,-0.298915,-26.01,-0.309459,-26.01,-0.299002,-26.01,-0.316267,-26.01,-2.46007,-26.01,-0.315472,-26.01,-0.976103
-24.01,-0.406279,-24.01,-0.283559,-24.01,-2.38627,-24.01,-0.281126,-24.01,-0.406279,-24.01,-0.278603,-24.01,-0.835254,-24.01,-0.406281,-24.01,-0.301147,-24.01,-0.284735,-24.01,-0.413371,-24.01,-2.50487,-24.01,-0.894704,-24.01,-0.300159,-24.01,-0.281128,-24.01,-0.283559,-24.01,-1.19144,-24.01,-0.528028,-24.01,-0.283446,-24.01,-0.300158,-24.01,-0.313345,-24.01,-0.283569,-24.01,-0.300149,-24.01,-1.19139,-24.01,-0.283623,-24.01,-0.281126,-24.01,-0.283569,-24.01,-2.156,-24.01,-0.283559,-24.01,-0.285227,-24.01,-0.281118,-24.01,-0.406279,-24.01,-0.397575,-24.01,-2.15271,-24.01,-0.28355,-24.01,-0.293066,-24.01,-0.283631,-24.01,-0.300159,-24.01,-2.38517,-24.01,-0.299404,-24.01,-0.972694
-22.01,-0.389029,-22.01,-0.268553,-22.01,-2.31108,-22.01,-0.265962,-22.01,-0.389029,-22.01,-0.263151,-22.01,-0.790866,-22.01,-0.389031,-22.01,-0.285318,-22.01,-0.269605,-22.01,-0.391216,-22.01,-2.43697,-22.01,-0.869322,-22.01,-0.284418,-22.01,-0.265963,-22.01,-0.268553,-22.01,-1.14086,-22.01,-0.500249,-22.01,-0.26843,-22.01,-0.284416,-22.01,-0.297026,-22.01,-0.268552,-22.01,-0.28441,-22.01,-1.14081,-22.01,-0.268611,-22.01,-0.265962,-22.01,-0.268562,-22.01,-2.09655,-22.01,-0.268553,-22.01,-0.270088,-22.01,-0.265954,-22.01,-0.389029,-22.01,-0.384987,-22.01,-2.09595,-22.01,-0.268545,-22.01,-0.277058,-22.01,-0.26862,-22.01,-0.284418,-22.01,-2.31002,-22.01,-0.283701,-22.01,-0.9688
-20.01,-0.372019,-20.01,-0.253924,-20.01,-2.23566,-20.01,-0.25117,-20.01,-0.372019,-20.01,-0.248041,-20.01,-0.747596,-20.01,-0.372021,-20.01,-0.269875,-20.01,-0.254856,-20.01,-0.369609,-20.01,-2.36916,-20.01,-0.843926,-20.01,-0.269061,-20.01,-0.251172,-20.01,-0.253924,-20.01,-1.09097,-20.01,-0.473155,-20.01,-0.25379,-20.01,-0.269059,-20.01,-0.281097,-20.01,-0.253911,-20.01,-0.269055,-20.01,-1.09093,-20.01,-0.253976,-20.01,-0.25117,-20.01,-0.253932,-20.01,-2.03716,-20.01,-0.253924,-20.01,-0.255329,-20.01,-0.251163,-20.01,-0.372019,-20.01,-0.372629,-20.01,-2.03932,-20.01,-0.253917,-20.01,-0.261456,-20.01,-0.253986,-20.01,-0.269061,-20.01,-2.23464,-20.01,-0.268382,-20.01,-0.96435
-18.01,-0.355266,-18.01,-0.23969,-18.01,-2.16,-18.01,-0.236769,-18.01,-0.355266,-18.01,-0.233288,-18.01,-0.705496,-18.01,-0.355269,-18.01,-0.254837,-18.01,-0.240505,-18.01,-0.348577,-18.01,-2.30146,-18.01,-0.818519,-18.01,-0.254106,-18.01,-0.236771,-18.01,-0.23969,-18.01,-1.04185,-18.01,-0.446778,-18.01,-0.239544,-18.01,-0.254105,-18.01,-0.265575,-18.01,-0.239664,-18.01,-0.254102,-18.01,-1.04181,-18.01,-0.239736,-18.01,-0.236769,-18.01,-0.239697,-18.01,-1.97784,-18.01,-0.23969,-18.01,-0.240967,-18.01,-0.236763,-18.01,-0.355266,-18.01,-0.360502,-18.01,-1.98285,-18.01,-0.239684,-18.01,-0.246281,-18.01,-0.239747,-18.01,-0.254106,-18.01,-2.15901,-18.01,-0.253463,-18.01,-0.959265
-16.01,-0.338789,-16.01,-0.225867,-16.01,-2.0841,-16.01,-0.222775,-16.01,-0.338789,-16.01,-0.218907,-16.01,-0.664615,-16.01,-0.338792,-16.01,-0.24022,-16.01,-0.22657,-16.01,-0.328144,-16.01,-2.23387,-16.01,-0.793102,-16.01,-0.23957,-16.01,-0.222777,-16.01,-0.225867,-16.01,-0.993529,-16.01,-0.421146,-16.01,-0.225708,-16.01,-0.239568,-16.01,-0.250477,-16.01,-0.225829,-16.01,-0.239568,-16.01,-0.993493,-16.01,-0.225906,-16.01,-0.222775,-16.01,-0.225874,-16.01,-1.91861,-16.01,-0.225867,-16.01,-0.227021,-16.01,-0.22277,-16.01,-0.338789,-16.01,-0.348609,-16.01,-1.92655,-16.01,-0.225862,-16.01,-0.231552,-16.01,-0.225919,-16.01,-0.23957,-16.01,-2.08315,-16.01,-0.238963,-16.01,-0.953455
-14.01,-0.322606,-14.01,-0.21247,-14.01,-2.00797,-14.01,-0.209204,-14.01,-0.322606,-14.01,-0.204909,-14.01,-0.625,-14.01,-0.32261,-14.01,-0.226041,-14.01,-0.213066,-14.01,-0.308333,-14.01,-2.16641,-14.01,-0.767678,-14.01,-0.225468,-14.01,-0.209205,-14.01,-0.21247,-14.01,-0.946073,-14.01,-0.396289,-14.01,-0.212297,-14.01,-0.225466,-14.01,-0.23582,-14.01,-0.212419,-14.01,-0.225468,-14.01,-0.94604,-14.01,-0.212504,-14.01,-0.209204,-14.01,-0.212477,-14.01,-1.85947,-14.01,-0.21247,-14.01,-0.213505,-14.01,-0.209199,-14.01,-0.322606,-14.01,-0.336953,-14.01,-1.87043,-14.01,-0.212466,-14.01,-0.217288,-14.01,-0.212518,-14.01,-0.225468,-14.01,-2.00706,-14.01,-0.224895,-14.01,-0.946816
-12.01,-0.306736,-12.01,-0.199515,-12.01,-1.93162,-12.01,-0.196069,-12.01,-0.306736,-12.01,-0.191308,-12.01,-0.586693,-12.01,-0.30674,-12.01,-0.212314,-12.01,-0.200008,-12.01,-0.289164,-12.01,-2.09911,-12.01,-0.742252,-12.01,-0.211814,-12.01,-0.196071,-12.01,-0.199515,-12.01,-0.899536,-12.01,-0.372231,-12.01,-0.199325,-12.01,-0.211812,-12.01,-0.221616,-12.01,-0.19945,-12.01,-0.211817,-12.01,-0.899506,-12.01,-0.199542,-12.01,-0.196069,-12.01,-0.19952,-12.01,-1.80045,-12.01,-0.199515,-12.01,-0.200433,-12.01,-0.196065,-12.01,-0.306736,-12.01,-0.325534,-12.01,-1.81452,-12.01,-0.199511,-12.01,-0.203506,-12.01,-0.199558,-12.01,-0.211814,-12.01,-1.93075,-12.01,-0.211274,-12.01,-0.93923
-10.01,-0.291198,-10.01,-0.187013,-10.01,-1.85505,-10.01,-0.183384,-10.01,-0.291198,-10.01,-0.178114,-10.01,-0.549734,-10.01,-0.291202,-10.01,-0.199051,-10.01,-0.187409,-10.01,-0.270656,-10.01,-2.03198,-10.01,-0.716826,-10.01,-0.198622,-10.01,-0.183386,-10.01,-0.187013,-10.01,-0.853971,-10.01,-0.348995,-10.01,-0.186805,-10.01,-0.198619,-10.01,-0.207879,-10.01,-0.186935,-10.01,-0.198626,-10.01,-0.853944,-10.01,-0.187035,-10.01,-0.183384,-10.01,-0.187018,-10.01,-1.74158,-10.01,-0.187013,-10.01,-0.18782,-10.01,-0.183381,-10.01,-0.291198,-10.01,-0.314355,-10.01,-1.75885,-10.01,-0.18701,-10.01,-0.190222,-10.01,-0.187051,-10.01,-0.198622,-10.01,-1.85422,-10.01,-0.198114,-10.01,-0.930563
-8.01,-0.27601,-8.01,-0.174976,-8.01,-1.77827,-8.01,-0.171159,-8.01,-0.27601,-8.01,-0.165334,-8.01,-0.514155,-8.01,-0.276015,-8.01,-0.186264,-8.01,-0.175281,-8.01,-0.252826,-8.01,-1.96505,-8.01,-0.691406,-8.01,-0.185902,-8.01,-0.171161,-8.01,-0.174976,-8.01,-0.809432,-8.01,-0.326602,-8.01,-0.174749,-8.01,-0.185899,-8.01,-0.19462,-8.01,-0.174884,-8.01,-0.185909,-8.01,-0.809408,-8.01,-0.174992,-8.01,-0.171159,-8.01,-0.174981,-8.01,-1.68286,-8.01,-0.174976,-8.01,-0.175676,-8.01,-0.171157,-8.01,-0.27601,-8.01,-0.303418,-8.01,-1.70343,-8.01,-0.174974,-8.01,-0.177448,-8.01,-0.175011,-8.01,-0.185902,-8.01,-1.77749,-8.01,-0.185425,-8.01,-0.920659
-6.01,-0.26119,-6.01,-0.163413,-6.01,-1.7013,-6.01,-0.159405,-6.01,-0.26119,-6.01,-0.152978,-6.01,-0.479986,-6.01,-0.261195,-6.01,-0.173963,-6.01,-0.163633,-6.01,-0.235687,-6.01,-1.89835,-6.01,-0.665995,-6.01,-0.173664,-6.01,-0.159407,-6.01,-0.163413,-6.01,-0.765975,-6.01,-0.305069,-6.01,-0.163164,-6.01,-0.173661,-6.01,-0.181849,-6.01,-0.163306,-6.01,-0.173673,-6.01,-0.765953,-6.01,-0.163423,-6.01,-0.159405,-6.01,-0.163417,-6.01,-1.62432,-6.01,-0.163413,-6.01,-0.16401,-6.01,-0.159404,-6.01,-0.26119,-6.01,-0.292724,-6.01,-1.64829,-6.01,-0.163412,-6.01,-0.165198,-6.01,-0.163444,-6.01,-0.173664,-6.01,-1.70057,-6.01,-0.173217,-6.01,-0.909343
-4.01,-0.246756,-4.01,-0.152332,-4.01,-1.62416,-4.01,-0.148128,-4.01,-0.246756,-4.01,-0.14105,-4.01,-0.447248,-4.01,-0.246762,-4.01,-0.162156,-4.01,-0.152473,-4.01,-0.21925,-4.01,-1.83189,-4.01,-0.6406,-4.01,-0.161915,-4.01,-0.14813,-4.01,-0.152332,-4.01,-0.723649,-4.01,-0.284409,-4.01,-0.15206,-4.01,-0.161912,-4.01,-0.169573,-4.01,-0.152211,-4.01,-0.161927,-4.01,-0.723631,-4.01,-0.152336,-4.01,-0.148128,-4.01,-0.152336,-4.01,-1.566,-4.01,-0.152332,-4.01,-0.152831,-4.01,-0.148127,-4.01,-0.246756,-4.01,-0.282272,-4.01,-1.59346,-4.01,-0.152332,-4.01,-0.153478,-4.01,-0.15236,-4.01,-0.161915,-4.01,-1.62347,-4.01,-0.161497,-4.01,-0.896412
