Test potential (mV),2020_Aslanidi_2009_purkinje,Test potential (mV),2020_Decker_2009,Test potential (mV),2020_DiFrancesco_1985,Test potential (mV),2020_Grandi_2010,Test potential (mV),2020_Hund_2004,Test potential (mV),2020_Iyer 2004,Test potential (mV),2020_Li_2010,Test potential (mV),2020_Livshitz_2007,Test potential (mV),2020_Luo_1994,Test potential (mV),2020_Mahajan_2008,Test potential (mV),2020_Matsuoka_2003,Test potential (mV),2020_Noble_1991,Test potential (mV),2020_Noble_1998,Test potential (mV),2020_ohara_2011,Test potential (mV),2020_Shannon_2004,Test potential (mV),2020_ten_Tusscher_2004,Test potential (mV),2020_ten_Tusscher_2006,Test potential (mV),2020_Tomek_2019,Test potential (mV),2020_Winslow_1999,Test potential (mV),Bartolucci 2020 (epi),Test potential (mV),Cabo 2003 (Non-infarcted) (ICaL),Test potential (mV),Cortassa 2006 (ICaL),Test potential (mV),Faber 2007 (ICaL),Test potential (mV),Fink_2008,Test potential (mV),Fox 2002,Test potential (mV),Grandi 2011,Test potential (mV),Heijman 2011,Test potential (mV),Hilgemann 1987,Test potential (mV),Hund 2008 (NZ)(ICaL),Test potential (mV),Jafri 1998,Test potential (mV),Kernik 2019 (ICaL),Test potential (mV),Li 2011 (ICaL),Test potential (mV),Michailova 2005,Test potential (mV),Nordin 1993 (ICaL),Test potential (mV),Paci 2013 (atrial-like),Test potential (mV),Pasek 2006,Test potential (mV),Sato 2006 (ICaL),Test potential (mV),Trovato 2020,Test potential (mV),Wilders 1991 (ICaL),Test potential (mV),Zeng 1995 (ICaL),Test potential (mV),Liu 1993 (ICaL)
-80.01,-0.936947,-80.01,-0.790359,-80.01,-4.40745,-80.01,-0.791015,-80.01,-0.936947,-80.01,-0.790323,-80.01,-2.33332,-80.01,-0.936947,-80.01,-0.833743,-80.01,-0.795376,-80.01,-1.15943,-80.01,-4.41504,-80.01,-1.59744,-80.01,-0.829981,-80.01,-0.791014,-80.01,-0.790359,-80.01,-2.74765,-80.01,-1.46405,-80.01,-0.790317,-80.01,-0.829981,-80.01,-0.861271,-80.01,-0.790601,-80.01,-0.829922,-80.01,-2.74751,-80.01,-0.790603,-80.01,-0.791015,-80.01,-0.790392,-80.01,-3.82092,-80.01,-0.790359,-80.01,-0.796174,-80.01,-0.790976,-80.01,-0.936947,-80.01,-0.827368,-80.01,-3.76466,-80.01,-0.790321,-80.01,-0.830652,-80.01,-0.790603,-80.01,-0.829981,-80.01,-4.40544,-80.01,-0.827918,-80.01,-0.999347
-78.01,-0.917345,-78.01,-0.770915,-78.01,-4.33735,-78.01,-0.771496,-78.01,-0.917345,-78.01,-0.770825,-78.01,-2.27588,-78.01,-0.917345,-78.01,-0.813314,-78.01,-0.775799,-78.01,-1.13085,-78.01,-4.34686,-78.01,-1.57258,-78.01,-0.809651,-78.01,-0.771496,-78.01,-0.770915,-78.01,-2.69016,-78.01,-1.42814,-78.01,-0.770873,-78.01,-0.809651,-78.01,-0.840243,-78.01,-0.77115,-78.01,-0.809593,-78.01,-2.69003,-78.01,-0.771152,-78.01,-0.771496,-78.01,-0.770947,-78.01,-3.76169,-78.01,-0.770915,-78.01,-0.776581,-78.01,-0.771458,-78.01,-0.917345,-78.01,-0.809998,-78.01,-3.70683,-78.01,-0.770877,-78.01,-0.810143,-78.01,-0.771153,-78.01,-0.809651,-78.01,-4.33537,-78.01,-0.807639,-78.01,-0.999254
-76.01,-0.897756,-76.01,-0.751504,-76.01,-4.26715,-76.01,-0.752009,-76.01,-0.897756,-76.01,-0.751357,-76.01,-2.21855,-76.01,-0.897756,-76.01,-0.792923,-76.01,-0.756255,-76.01,-1.10232,-76.01,-4.27867,-76.01,-1.5477,-76.01,-0.789358,-76.01,-0.752008,-76.01,-0.751504,-76.01,-2.63272,-76.01,-1.39229,-76.01,-0.751463,-76.01,-0.789358,-76.01,-0.819255,-76.01,-0.751732,-76.01,-0.789302,-76.01,-2.63259,-76.01,-0.751735,-76.01,-0.752009,-76.01,-0.751535,-76.01,-3.70244,-76.01,-0.751504,-76.01,-0.757021,-76.01,-0.751972,-76.01,-0.897756,-76.01,-0.792739,-76.01,-3.649,-76.01,-0.751468,-76.01,-0.789663,-76.01,-0.751736,-76.01,-0.789358,-76.01,-4.2652,-76.01,-0.787396,-76.01,-0.999147
-74.01,-0.878184,-74.01,-0.732131,-74.01,-4.19684,-74.01,-0.732557,-74.01,-0.878184,-74.01,-0.731922,-74.01,-2.16132,-74.01,-0.878184,-74.01,-0.772572,-74.01,-0.736747,-74.01,-1.07383,-74.01,-4.21047,-74.01,-1.52281,-74.01,-0.769106,-74.01,-0.732556,-74.01,-0.732131,-74.01,-2.57532,-74.01,-1.35651,-74.01,-0.73209,-74.01,-0.769106,-74.01,-0.798311,-74.01,-0.732353,-74.01,-0.769051,-74.01,-2.57519,-74.01,-0.732356,-74.01,-0.732557,-74.01,-0.732161,-74.01,-3.64317,-74.01,-0.732131,-74.01,-0.737498,-74.01,-0.732521,-74.01,-0.878184,-74.01,-0.775596,-74.01,-3.59118,-74.01,-0.732096,-74.01,-0.769216,-74.01,-0.732356,-74.01,-0.769106,-74.01,-4.19491,-74.01,-0.767194,-74.01,-0.999026
-72.01,-0.858628,-72.01,-0.7128,-72.01,-4.12641,-72.01,-0.713144,-72.01,-0.858628,-72.01,-0.712524,-72.01,-2.10421,-72.01,-0.858629,-72.01,-0.752266,-72.01,-0.717281,-72.01,-1.04541,-72.01,-4.14226,-72.01,-1.49791,-72.01,-0.7489,-72.01,-0.713144,-72.01,-0.7128,-72.01,-2.51797,-72.01,-1.32081,-72.01,-0.712758,-72.01,-0.748899,-72.01,-0.777416,-72.01,-0.713014,-72.01,-0.748846,-72.01,-2.51785,-72.01,-0.713018,-72.01,-0.713144,-72.01,-0.712829,-72.01,-3.58389,-72.01,-0.7128,-72.01,-0.718017,-72.01,-0.71311,-72.01,-0.858628,-72.01,-0.758571,-72.01,-3.53336,-72.01,-0.712765,-72.01,-0.748807,-72.01,-0.713019,-72.01,-0.7489,-72.01,-4.12452,-72.01,-0.747038,-72.01,-0.998887
-70.01,-0.839093,-70.01,-0.693515,-70.01,-4.05586,-70.01,-0.693777,-70.01,-0.839093,-70.01,-0.693168,-70.01,-2.04724,-70.01,-0.839093,-70.01,-0.732011,-70.01,-0.697861,-70.01,-1.01706,-70.01,-4.07404,-70.01,-1.47299,-70.01,-0.728744,-70.01,-0.693776,-70.01,-0.693515,-70.01,-2.46068,-70.01,-1.2852,-70.01,-0.693474,-70.01,-0.728744,-70.01,-0.756574,-70.01,-0.693723,-70.01,-0.728692,-70.01,-2.46056,-70.01,-0.693727,-70.01,-0.693777,-70.01,-0.693543,-70.01,-3.52458,-70.01,-0.693515,-70.01,-0.698582,-70.01,-0.693743,-70.01,-0.839093,-70.01,-0.741671,-70.01,-3.47555,-70.01,-0.693482,-70.01,-0.728439,-70.01,-0.693728,-70.01,-0.728744,-70.01,-4.054,-70.01,-0.726932,-70.01,-0.998728
-68.01,-0.81958,-68.01,-0.674282,-68.01,-3.98519,-68.01,-0.674459,-68.01,-0.81958,-68.01,-0.673858,-68.01,-1.99042,-68.01,-0.819581,-68.01,-0.711811,-68.01,-0.678492,-68.01,-0.988775,-68.01,-4.00581,-68.01,-1.44806,-68.01,-0.708644,-68.01,-0.674458,-68.01,-0.674282,-68.01,-2.40346,-68.01,-1.24968,-68.01,-0.674241,-68.01,-0.708644,-68.01,-0.735792,-68.01,-0.674483,-68.01,-0.708594,-68.01,-2.40334,-68.01,-0.674488,-68.01,-0.674459,-68.01,-0.67431,-68.01,-3.46525,-68.01,-0.674282,-68.01,-0.679199,-68.01,-0.674426,-68.01,-0.81958,-68.01,-0.724899,-68.01,-3.41775,-68.01,-0.67425,-68.01,-0.708119,-68.01,-0.674489,-68.01,-0.708644,-68.01,-3.98336,-68.01,-0.706882,-68.01,-0.998547
-66.01,-0.800093,-66.01,-0.655108,-66.01,-3.91438,-66.01,-0.655196,-66.01,-0.800093,-66.01,-0.654601,-66.01,-1.93377,-66.01,-0.800093,-66.01,-0.691674,-66.01,-0.659181,-66.01,-0.960577,-66.01,-3.93758,-66.01,-1.42311,-66.01,-0.688606,-66.01,-0.655196,-66.01,-0.655108,-66.01,-2.34631,-66.01,-1.21428,-66.01,-0.655066,-66.01,-0.688606,-66.01,-0.715075,-66.01,-0.655302,-66.01,-0.688558,-66.01,-2.3462,-66.01,-0.655307,-66.01,-0.655196,-66.01,-0.655134,-66.01,-3.4059,-66.01,-0.655108,-66.01,-0.659874,-66.01,-0.655165,-66.01,-0.800093,-66.01,-0.708259,-66.01,-3.35996,-66.01,-0.655076,-66.01,-0.687852,-66.01,-0.655308,-66.01,-0.688606,-66.01,-3.91258,-66.01,-0.686894,-66.01,-0.99834
-64.01,-0.780633,-64.01,-0.635998,-64.01,-3.84344,-64.01,-0.635996,-64.01,-0.780633,-64.01,-0.635402,-64.01,-1.8773,-64.01,-0.780633,-64.01,-0.671605,-64.01,-0.639933,-64.01,-0.93247,-64.01,-3.86933,-64.01,-1.39814,-64.01,-0.668638,-64.01,-0.635996,-64.01,-0.635998,-64.01,-2.28925,-64.01,-1.179,-64.01,-0.635955,-64.01,-0.668638,-64.01,-0.694431,-64.01,-0.636184,-64.01,-0.668591,-64.01,-2.28914,-64.01,-0.63619,-64.01,-0.635996,-64.01,-0.636023,-64.01,-3.34653,-64.01,-0.635998,-64.01,-0.640614,-64.01,-0.635966,-64.01,-0.780633,-64.01,-0.691757,-64.01,-3.30218,-64.01,-0.635967,-64.01,-0.667645,-64.01,-0.636191,-64.01,-0.668638,-64.01,-3.84167,-64.01,-0.666975,-64.01,-0.998103
-62.01,-0.761205,-62.01,-0.616959,-62.01,-3.77235,-62.01,-0.616865,-62.01,-0.761205,-62.01,-0.616267,-62.01,-1.82104,-62.01,-0.761206,-62.01,-0.651611,-62.01,-0.620756,-62.01,-0.904466,-62.01,-3.80107,-62.01,-1.37316,-62.01,-0.648745,-62.01,-0.616865,-62.01,-0.616959,-62.01,-2.23227,-62.01,-1.14385,-62.01,-0.616916,-62.01,-0.648745,-62.01,-0.673866,-62.01,-0.617139,-62.01,-0.6487,-62.01,-2.23217,-62.01,-0.617145,-62.01,-0.616865,-62.01,-0.616984,-62.01,-3.28714,-62.01,-0.616959,-62.01,-0.621424,-62.01,-0.616836,-62.01,-0.761205,-62.01,-0.675397,-62.01,-3.24441,-62.01,-0.61693,-62.01,-0.647504,-62.01,-0.617146,-62.01,-0.648745,-62.01,-3.77061,-62.01,-0.647132,-62.01,-0.997832
