Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.99E-08,-68.01,2.98E-08,-68.01,2.98E-08,-68.01,2.98E-08,-68.01,3.03E-08,-68.01,3.04E-08,-68.01,2.59E-08,-68.01,2.08E-08,-68.01,1.78E-08,-68.01,1.60E-08,-68.01,1.41E-08
-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.85E-08,-66.01,2.89E-08,-66.01,2.90E-08,-66.01,2.49E-08,-66.01,2.00E-08,-66.01,1.72E-08,-66.01,1.55E-08,-66.01,1.36E-08
-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.71E-08,-64.01,2.70E-08,-64.01,2.70E-08,-64.01,2.74E-08,-64.01,2.76E-08,-64.01,2.37E-08,-64.01,1.91E-08,-64.01,1.65E-08,-64.01,1.49E-08,-64.01,1.31E-08
-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.56E-08,-62.01,2.55E-08,-62.01,2.55E-08,-62.01,2.59E-08,-62.01,2.60E-08,-62.01,2.24E-08,-62.01,1.82E-08,-62.01,1.57E-08,-62.01,1.42E-08,-62.01,1.25E-08
-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.41E-08,-60.01,2.40E-08,-60.01,2.40E-08,-60.01,2.40E-08,-60.01,2.44E-08,-60.01,2.45E-08,-60.01,2.11E-08,-60.01,1.72E-08,-60.01,1.49E-08,-60.01,1.35E-08,-60.01,1.19E-08
-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.26E-08,-58.01,2.25E-08,-58.01,2.25E-08,-58.01,2.25E-08,-58.01,2.28E-08,-58.01,2.29E-08,-58.01,1.98E-08,-58.01,1.61E-08,-58.01,1.40E-08,-58.01,1.27E-08,-58.01,1.12E-08
-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.11E-08,-56.01,2.13E-08,-56.01,2.13E-08,-56.01,1.85E-08,-56.01,1.51E-08,-56.01,1.31E-08,-56.01,1.19E-08,-56.01,1.05E-08
-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.97E-08,-54.01,1.96E-08,-54.01,1.99E-08,-54.01,1.98E-08,-54.01,1.72E-08,-54.01,1.40E-08,-54.01,1.22E-08,-54.01,1.11E-08,-54.01,9.78E-09
-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.84E-08,-52.01,1.83E-08,-52.01,1.83E-08,-52.01,1.85E-08,-52.01,1.84E-08,-52.01,1.59E-08,-52.01,1.30E-08,-52.01,1.14E-08,-52.01,1.03E-08,-52.01,9.08E-09
-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.71E-08,-50.01,1.72E-08,-50.01,1.70E-08,-50.01,1.47E-08,-50.01,1.20E-08,-50.01,1.05E-08,-50.01,9.51E-09,-50.01,8.39E-09
-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.60E-08,-48.01,1.59E-08,-48.01,1.60E-08,-48.01,1.58E-08,-48.01,1.36E-08,-48.01,1.11E-08,-48.01,9.67E-09,-48.01,8.76E-09,-48.01,7.73E-09
-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.49E-08,-46.01,1.48E-08,-46.01,1.49E-08,-46.01,1.46E-08,-46.01,1.26E-08,-46.01,1.02E-08,-46.01,8.89E-09,-46.01,8.05E-09,-46.01,7.10E-09
-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.39E-08,-44.01,1.38E-08,-44.01,1.38E-08,-44.01,1.35E-08,-44.01,1.16E-08,-44.01,9.41E-09,-44.01,8.16E-09,-44.01,7.38E-09,-44.01,6.51E-09
-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.29E-08,-42.01,1.28E-08,-42.01,1.28E-08,-42.01,1.24E-08,-42.01,1.07E-08,-42.01,8.64E-09,-42.01,7.47E-09,-42.01,6.75E-09,-42.01,5.95E-09
-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.19E-08,-40.01,1.18E-08,-40.01,1.18E-08,-40.01,1.14E-08,-40.01,9.81E-09,-40.01,7.91E-09,-40.01,6.83E-09,-40.01,6.16E-09,-40.01,5.43E-09
-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.07E-08,-38.01,1.06E-08,-38.01,1.06E-08,-38.01,1.03E-08,-38.01,8.95E-09,-38.01,7.23E-09,-38.01,6.22E-09,-38.01,5.61E-09,-38.01,4.94E-09
-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.35E-09,-36.01,9.34E-09,-36.01,9.32E-09,-36.01,9.33E-09,-36.01,9.14E-09,-36.01,8.05E-09,-36.01,6.56E-09,-36.01,5.65E-09,-36.01,5.09E-09,-36.01,4.48E-09
-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.99E-09,-34.01,7.98E-09,-34.01,7.98E-09,-34.01,7.96E-09,-34.01,7.99E-09,-34.01,7.89E-09,-34.01,7.08E-09,-34.01,5.88E-09,-34.01,5.09E-09,-34.01,4.58E-09,-34.01,4.04E-09
-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.75E-09,-32.01,6.74E-09,-32.01,6.73E-09,-32.01,6.75E-09,-32.01,6.69E-09,-32.01,6.09E-09,-32.01,5.18E-09,-32.01,4.53E-09,-32.01,4.09E-09,-32.01,3.61E-09
-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.69E-09,-30.01,5.68E-09,-30.01,5.67E-09,-30.01,5.68E-09,-30.01,5.63E-09,-30.01,5.16E-09,-30.01,4.47E-09,-30.01,3.96E-09,-30.01,3.60E-09,-30.01,3.19E-09
