Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1
-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977,-88.01,0.999977
-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944,-86.01,0.999944
-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999,-84.01,0.9999
-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839,-82.01,0.999839
-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756,-80.01,0.999756
-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641,-78.01,0.999641
-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484,-76.01,0.999484
-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269,-74.01,0.999269
-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973,-72.01,0.998973
