Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999994,-90.01,0.999973,-90.01,0.999799,-90.01,0.998443,-90.01,0.984215,-90.01,0.893026,-90.01,0.677233,-90.01,0.603354
-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999892,-88.01,0.999891,-88.01,0.999887,-88.01,0.999866,-88.01,0.999692,-88.01,0.998336,-88.01,0.984109,-88.01,0.89293,-88.01,0.67716,-88.01,0.603289
-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999749,-86.01,0.999748,-86.01,0.999744,-86.01,0.999723,-86.01,0.999549,-86.01,0.998193,-86.01,0.983968,-86.01,0.892802,-86.01,0.677063,-86.01,0.603203
-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999559,-84.01,0.999558,-84.01,0.999554,-84.01,0.999533,-84.01,0.999359,-84.01,0.998003,-84.01,0.983781,-84.01,0.892632,-84.01,0.676934,-84.01,0.603088
-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999306,-82.01,0.999305,-82.01,0.9993,-82.01,0.99928,-82.01,0.999106,-82.01,0.99775,-82.01,0.983532,-82.01,0.892406,-82.01,0.676763,-82.01,0.602936
-80.01,0.99897,-80.01,0.99897,-80.01,0.99897,-80.01,0.99897,-80.01,0.99897,-80.01,0.99897,-80.01,0.99897,-80.01,0.998969,-80.01,0.998969,-80.01,0.998968,-80.01,0.998964,-80.01,0.998943,-80.01,0.998769,-80.01,0.997414,-80.01,0.983201,-80.01,0.892106,-80.01,0.676535,-80.01,0.602732
-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998522,-78.01,0.998521,-78.01,0.998516,-78.01,0.998496,-78.01,0.998322,-78.01,0.996968,-78.01,0.98276,-78.01,0.891706,-78.01,0.676232,-78.01,0.602463
-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997927,-76.01,0.997926,-76.01,0.997922,-76.01,0.997901,-76.01,0.997727,-76.01,0.996374,-76.01,0.982175,-76.01,0.891175,-76.01,0.675829,-76.01,0.602104
-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997137,-74.01,0.997136,-74.01,0.997132,-74.01,0.997111,-74.01,0.996937,-74.01,0.995585,-74.01,0.981397,-74.01,0.89047,-74.01,0.675294,-74.01,0.601627
-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996088,-72.01,0.996087,-72.01,0.996083,-72.01,0.996062,-72.01,0.995888,-72.01,0.994538,-72.01,0.980365,-72.01,0.889533,-72.01,0.674584,-72.01,0.600994
-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994696,-70.01,0.994695,-70.01,0.99469,-70.01,0.994669,-70.01,0.994496,-70.01,0.993147,-70.01,0.978994,-70.01,0.888289,-70.01,0.673641,-70.01,0.600154
