Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999996,-90.01,0.999986,-90.01,0.999957,-90.01,0.999857,-90.01,0.99957,-90.01,0.998568,-90.01,0.995717,-90.01,0.985865,-90.01,0.958755,-90.01,0.874546,-90.01,0.698911,-90.01,0.409629,-90.01,0.186246,-90.01,0.0620278,-90.01,0.0192539
-88.01,0.999957,-88.01,0.999957,-88.01,0.999956,-88.01,0.999953,-88.01,0.999943,-88.01,0.999914,-88.01,0.999814,-88.01,0.999527,-88.01,0.998525,-88.01,0.995674,-88.01,0.985822,-88.01,0.958714,-88.01,0.874509,-88.01,0.698881,-88.01,0.409612,-88.01,0.186238,-88.01,0.0620252,-88.01,0.019253
-86.01,0.999895,-86.01,0.999895,-86.01,0.999894,-86.01,0.999891,-86.01,0.999881,-86.01,0.999852,-86.01,0.999752,-86.01,0.999465,-86.01,0.998464,-86.01,0.995613,-86.01,0.985761,-86.01,0.958655,-86.01,0.874455,-86.01,0.698838,-86.01,0.409586,-86.01,0.186226,-86.01,0.0620213,-86.01,0.0192518
-84.01,0.999808,-84.01,0.999808,-84.01,0.999807,-84.01,0.999804,-84.01,0.999794,-84.01,0.999766,-84.01,0.999665,-84.01,0.999379,-84.01,0.998377,-84.01,0.995526,-84.01,0.985676,-84.01,0.958571,-84.01,0.874379,-84.01,0.698777,-84.01,0.409551,-84.01,0.18621,-84.01,0.062016,-84.01,0.0192502
-82.01,0.999688,-82.01,0.999687,-82.01,0.999686,-82.01,0.999684,-82.01,0.999674,-82.01,0.999645,-82.01,0.999545,-82.01,0.999258,-82.01,0.998257,-82.01,0.995406,-82.01,0.985557,-82.01,0.958456,-82.01,0.874273,-82.01,0.698693,-82.01,0.409501,-82.01,0.186188,-82.01,0.0620085,-82.01,0.0192478
-80.01,0.999521,-80.01,0.999521,-80.01,0.99952,-80.01,0.999517,-80.01,0.999507,-80.01,0.999479,-80.01,0.999378,-80.01,0.999092,-80.01,0.998091,-80.01,0.995241,-80.01,0.985393,-80.01,0.958296,-80.01,0.874128,-80.01,0.698577,-80.01,0.409433,-80.01,0.186157,-80.01,0.0619981,-80.01,0.0192446
-78.01,0.999294,-78.01,0.999294,-78.01,0.999293,-78.01,0.99929,-78.01,0.99928,-78.01,0.999251,-78.01,0.999151,-78.01,0.998864,-78.01,0.997863,-78.01,0.995014,-78.01,0.985168,-78.01,0.958078,-78.01,0.873929,-78.01,0.698417,-78.01,0.40934,-78.01,0.186114,-78.01,0.061984,-78.01,0.0192403
-76.01,0.998984,-76.01,0.998984,-76.01,0.998983,-76.01,0.99898,-76.01,0.99897,-76.01,0.998941,-76.01,0.998841,-76.01,0.998555,-76.01,0.997554,-76.01,0.994706,-76.01,0.984863,-76.01,0.957781,-76.01,0.873658,-76.01,0.698201,-76.01,0.409213,-76.01,0.186057,-76.01,0.0619648,-76.01,0.0192343
-74.01,0.998564,-74.01,0.998564,-74.01,0.998563,-74.01,0.99856,-74.01,0.99855,-74.01,0.998522,-74.01,0.998421,-74.01,0.998135,-74.01,0.997135,-74.01,0.994288,-74.01,0.984449,-74.01,0.957379,-74.01,0.873291,-74.01,0.697908,-74.01,0.409041,-74.01,0.185978,-74.01,0.0619388,-74.01,0.0192262
-72.01,0.997998,-72.01,0.997998,-72.01,0.997997,-72.01,0.997994,-72.01,0.997984,-72.01,0.997955,-72.01,0.997855,-72.01,0.997569,-72.01,0.996569,-72.01,0.993724,-72.01,0.983891,-72.01,0.956836,-72.01,0.872796,-72.01,0.697512,-72.01,0.408809,-72.01,0.185873,-72.01,0.0619037,-72.01,0.0192153
-70.01,0.997236,-70.01,0.997236,-70.01,0.997235,-70.01,0.997232,-70.01,0.997222,-70.01,0.997193,-70.01,0.997093,-70.01,0.996807,-70.01,0.995808,-70.01,0.992965,-70.01,0.98314,-70.01,0.956105,-70.01,0.872129,-70.01,0.696979,-70.01,0.408497,-70.01,0.185731,-70.01,0.0618564,-70.01,0.0192006
-68.01,0.996214,-68.01,0.996213,-68.01,0.996212,-68.01,0.996209,-68.01,0.996199,-68.01,0.996171,-68.01,0.996071,-68.01,0.995785,-68.01,0.994787,-68.01,0.991947,-68.01,0.982132,-68.01,0.955125,-68.01,0.871235,-68.01,0.696265,-68.01,0.408078,-68.01,0.185541,-68.01,0.061793,-68.01,0.0191809
