Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999996,-90.01,0.999988,-90.01,0.99996,-90.01,0.999879,-90.01,0.999594,-90.01,0.998761,-90.01,0.995509,-90.01,0.746636,-90.01,0.213728,-90.01,0.163109,-90.01,0.153849,-90.01,0.149265,-90.01,0.133227,-90.01,0.0874045
-88.01,0.999985,-88.01,0.999985,-88.01,0.999985,-88.01,0.999984,-88.01,0.999981,-88.01,0.999973,-88.01,0.999945,-88.01,0.999864,-88.01,0.999579,-88.01,0.998746,-88.01,0.995494,-88.01,0.746625,-88.01,0.213725,-88.01,0.163107,-88.01,0.153847,-88.01,0.149263,-88.01,0.133225,-88.01,0.0874032
-86.01,0.999965,-86.01,0.999965,-86.01,0.999965,-86.01,0.999964,-86.01,0.999961,-86.01,0.999953,-86.01,0.999925,-86.01,0.999844,-86.01,0.999559,-86.01,0.998726,-86.01,0.995474,-86.01,0.74661,-86.01,0.213721,-86.01,0.163104,-86.01,0.153843,-86.01,0.14926,-86.01,0.133223,-86.01,0.0874015
-84.01,0.999939,-84.01,0.999939,-84.01,0.999938,-84.01,0.999938,-84.01,0.999935,-84.01,0.999927,-84.01,0.999899,-84.01,0.999818,-84.01,0.999533,-84.01,0.998699,-84.01,0.995448,-84.01,0.746591,-84.01,0.213715,-84.01,0.163099,-84.01,0.153839,-84.01,0.149256,-84.01,0.133219,-84.01,0.0873992
-82.01,0.999904,-82.01,0.999904,-82.01,0.999903,-82.01,0.999902,-82.01,0.9999,-82.01,0.999892,-82.01,0.999863,-82.01,0.999783,-82.01,0.999498,-82.01,0.998664,-82.01,0.995413,-82.01,0.746564,-82.01,0.213707,-82.01,0.163094,-82.01,0.153834,-82.01,0.149251,-82.01,0.133214,-82.01,0.0873961
-80.01,0.999857,-80.01,0.999857,-80.01,0.999857,-80.01,0.999856,-80.01,0.999853,-80.01,0.999845,-80.01,0.999817,-80.01,0.999736,-80.01,0.999451,-80.01,0.998618,-80.01,0.995367,-80.01,0.746529,-80.01,0.213697,-80.01,0.163086,-80.01,0.153827,-80.01,0.149244,-80.01,0.133208,-80.01,0.087392
-78.01,0.999795,-78.01,0.999795,-78.01,0.999794,-78.01,0.999793,-78.01,0.999791,-78.01,0.999783,-78.01,0.999754,-78.01,0.999674,-78.01,0.999389,-78.01,0.998555,-78.01,0.995305,-78.01,0.746483,-78.01,0.213684,-78.01,0.163076,-78.01,0.153817,-78.01,0.149235,-78.01,0.1332,-78.01,0.0873866
-76.01,0.999712,-76.01,0.999712,-76.01,0.999711,-76.01,0.999711,-76.01,0.999708,-76.01,0.9997,-76.01,0.999672,-76.01,0.999591,-76.01,0.999306,-76.01,0.998473,-76.01,0.995222,-76.01,0.746421,-76.01,0.213666,-76.01,0.163062,-76.01,0.153804,-76.01,0.149222,-76.01,0.133189,-76.01,0.0873793
-74.01,0.999602,-74.01,0.999602,-74.01,0.999601,-74.01,0.9996,-74.01,0.999598,-74.01,0.99959,-74.01,0.999561,-74.01,0.999481,-74.01,0.999196,-74.01,0.998363,-74.01,0.995113,-74.01,0.746339,-74.01,0.213643,-74.01,0.163044,-74.01,0.153788,-74.01,0.149206,-74.01,0.133174,-74.01,0.0873697
-72.01,0.999455,-72.01,0.999455,-72.01,0.999455,-72.01,0.999454,-72.01,0.999451,-72.01,0.999443,-72.01,0.999415,-72.01,0.999334,-72.01,0.999049,-72.01,0.998216,-72.01,0.994967,-72.01,0.746229,-72.01,0.213612,-72.01,0.16302,-72.01,0.153765,-72.01,0.149184,-72.01,0.133155,-72.01,0.0873569
-70.01,0.99926,-70.01,0.99926,-70.01,0.99926,-70.01,0.999259,-70.01,0.999256,-70.01,0.999248,-70.01,0.99922,-70.01,0.999139,-70.01,0.998854,-70.01,0.998022,-70.01,0.994773,-70.01,0.746084,-70.01,0.21357,-70.01,0.162989,-70.01,0.153735,-70.01,0.149155,-70.01,0.133129,-70.01,0.0873399
-68.01,0.999001,-68.01,0.999001,-68.01,0.999001,-68.01,0.999,-68.01,0.998997,-68.01,0.998989,-68.01,0.998961,-68.01,0.99888,-68.01,0.998595,-68.01,0.997763,-68.01,0.994514,-68.01,0.74589,-68.01,0.213515,-68.01,0.162946,-68.01,0.153695,-68.01,0.149116,-68.01,0.133094,-68.01,0.0873172
