Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935,-90.01,0.999935
-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936,-88.01,0.999936
-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936,-86.01,0.999936
-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936,-84.01,0.999936
-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936,-82.01,0.999936
-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937,-80.01,0.999937
-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937,-78.01,0.999937
-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938,-76.01,0.999938
-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939,-74.01,0.999939
-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994,-72.01,0.99994
