Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.999999,-90.01,0.999996,-90.01,0.999988,-90.01,0.99996,-90.01,0.99988,-90.01,0.999601,-90.01,0.998802,-90.01,0.996016,-90.01,0.988143,-90.01,0.961541,-90.01,0.892882,-90.01,0.71448,-90.01,0.45527,-90.01,0.201569,-90.01,0.0790156,-90.01,0.026727,-90.01,0.0106728
-88.01,0.999999,-88.01,0.999999,-88.01,0.999996,-88.01,0.999988,-88.01,0.99996,-88.01,0.99988,-88.01,0.9996,-88.01,0.998801,-88.01,0.996016,-88.01,0.988142,-88.01,0.961541,-88.01,0.892882,-88.01,0.71448,-88.01,0.455269,-88.01,0.201569,-88.01,0.0790156,-88.01,0.026727,-88.01,0.0106728
-86.01,0.999998,-86.01,0.999998,-86.01,0.999995,-86.01,0.999987,-86.01,0.999959,-86.01,0.999879,-86.01,0.999599,-86.01,0.9988,-86.01,0.996015,-86.01,0.988141,-86.01,0.96154,-86.01,0.892881,-86.01,0.714479,-86.01,0.455269,-86.01,0.201569,-86.01,0.0790155,-86.01,0.026727,-86.01,0.0106728
-84.01,0.999997,-84.01,0.999996,-84.01,0.999993,-84.01,0.999985,-84.01,0.999957,-84.01,0.999877,-84.01,0.999597,-84.01,0.998799,-84.01,0.996013,-84.01,0.98814,-84.01,0.961538,-84.01,0.89288,-84.01,0.714478,-84.01,0.455268,-84.01,0.201568,-84.01,0.0790154,-84.01,0.026727,-84.01,0.0106728
-82.01,0.999995,-82.01,0.999994,-82.01,0.999991,-82.01,0.999983,-82.01,0.999955,-82.01,0.999875,-82.01,0.999595,-82.01,0.998797,-82.01,0.996011,-82.01,0.988138,-82.01,0.961536,-82.01,0.892878,-82.01,0.714476,-82.01,0.455267,-82.01,0.201568,-82.01,0.0790152,-82.01,0.0267269,-82.01,0.0106728
-80.01,0.999991,-80.01,0.999991,-80.01,0.999988,-80.01,0.99998,-80.01,0.999952,-80.01,0.999872,-80.01,0.999592,-80.01,0.998793,-80.01,0.996008,-80.01,0.988134,-80.01,0.961533,-80.01,0.892875,-80.01,0.714474,-80.01,0.455266,-80.01,0.201567,-80.01,0.079015,-80.01,0.0267268,-80.01,0.0106728
-78.01,0.999986,-78.01,0.999985,-78.01,0.999982,-78.01,0.999974,-78.01,0.999946,-78.01,0.999866,-78.01,0.999587,-78.01,0.998788,-78.01,0.996002,-78.01,0.988129,-78.01,0.961528,-78.01,0.89287,-78.01,0.71447,-78.01,0.455263,-78.01,0.201566,-78.01,0.0790145,-78.01,0.0267267,-78.01,0.0106727
-76.01,0.999978,-76.01,0.999977,-76.01,0.999974,-76.01,0.999966,-76.01,0.999938,-76.01,0.999858,-76.01,0.999578,-76.01,0.99878,-76.01,0.995994,-76.01,0.988121,-76.01,0.96152,-76.01,0.892863,-76.01,0.714464,-76.01,0.455259,-76.01,0.201565,-76.01,0.0790139,-76.01,0.0267265,-76.01,0.0106726
-74.01,0.999965,-74.01,0.999964,-74.01,0.999961,-74.01,0.999953,-74.01,0.999925,-74.01,0.999845,-74.01,0.999566,-74.01,0.998767,-74.01,0.995981,-74.01,0.988108,-74.01,0.961508,-74.01,0.892851,-74.01,0.714455,-74.01,0.455254,-74.01,0.201562,-74.01,0.0790129,-74.01,0.0267261,-74.01,0.0106725
-72.01,0.999945,-72.01,0.999944,-72.01,0.999941,-72.01,0.999933,-72.01,0.999905,-72.01,0.999825,-72.01,0.999545,-72.01,0.998747,-72.01,0.995961,-72.01,0.988088,-72.01,0.961488,-72.01,0.892833,-72.01,0.714441,-72.01,0.455244,-72.01,0.201558,-72.01,0.0790113,-72.01,0.0267256,-72.01,0.0106723
-70.01,0.999914,-70.01,0.999913,-70.01,0.999911,-70.01,0.999903,-70.01,0.999875,-70.01,0.999795,-70.01,0.999515,-70.01,0.998716,-70.01,0.995931,-70.01,0.988058,-70.01,0.961459,-70.01,0.892806,-70.01,0.714419,-70.01,0.455231,-70.01,0.201552,-70.01,0.0790089,-70.01,0.0267248,-70.01,0.0106719
-68.01,0.999867,-68.01,0.999866,-68.01,0.999863,-68.01,0.999855,-68.01,0.999827,-68.01,0.999747,-68.01,0.999467,-68.01,0.998668,-68.01,0.995883,-68.01,0.988011,-68.01,0.961413,-68.01,0.892763,-68.01,0.714385,-68.01,0.455209,-68.01,0.201542,-68.01,0.0790051,-68.01,0.0267235,-68.01,0.0106714
-66.01,0.999794,-66.01,0.999793,-66.01,0.99979,-66.01,0.999782,-66.01,0.999754,-66.01,0.999674,-66.01,0.999394,-66.01,0.998596,-66.01,0.995811,-66.01,0.987939,-66.01,0.961343,-66.01,0.892698,-66.01,0.714333,-66.01,0.455176,-66.01,0.201527,-66.01,0.0789993,-66.01,0.0267215,-66.01,0.0106706
-64.01,0.999682,-64.01,0.999681,-64.01,0.999678,-64.01,0.99967,-64.01,0.999642,-64.01,0.999562,-64.01,0.999282,-64.01,0.998484,-64.01,0.995699,-64.01,0.987828,-64.01,0.961235,-64.01,0.892598,-64.01,0.714253,-64.01,0.455125,-64.01,0.201505,-64.01,0.0789905,-64.01,0.0267185,-64.01,0.0106694
