Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,1,-90.01,1,-90.01,0.999999,-90.01,0.999998,-90.01,0.999994,-90.01,0.99998,-90.01,0.99994,-90.01,0.999799,-90.01,0.999398,-90.01,0.998,-90.01,0.99406,-90.01,0.980865,-90.01,0.947669,-90.01,0.867337,-90.01,0.765803,-90.01,0.68254,-90.01,0.647369
-88.01,0.999952,-88.01,0.999952,-88.01,0.999952,-88.01,0.999951,-88.01,0.99995,-88.01,0.999946,-88.01,0.999932,-88.01,0.999892,-88.01,0.999751,-88.01,0.99935,-88.01,0.997952,-88.01,0.994012,-88.01,0.980818,-88.01,0.947623,-88.01,0.867296,-88.01,0.765767,-88.01,0.682507,-88.01,0.647338
-86.01,0.999888,-86.01,0.999888,-86.01,0.999888,-86.01,0.999888,-86.01,0.999886,-86.01,0.999882,-86.01,0.999868,-86.01,0.999828,-86.01,0.999688,-86.01,0.999286,-86.01,0.997889,-86.01,0.993949,-86.01,0.980756,-86.01,0.947563,-86.01,0.867241,-86.01,0.765718,-86.01,0.682464,-86.01,0.647297
-84.01,0.999804,-84.01,0.999804,-84.01,0.999804,-84.01,0.999804,-84.01,0.999802,-84.01,0.999798,-84.01,0.999784,-84.01,0.999744,-84.01,0.999603,-84.01,0.999202,-84.01,0.997805,-84.01,0.993865,-84.01,0.980673,-84.01,0.947483,-84.01,0.867168,-84.01,0.765654,-84.01,0.682407,-84.01,0.647243
-82.01,0.999693,-82.01,0.999693,-82.01,0.999692,-82.01,0.999692,-82.01,0.999691,-82.01,0.999687,-82.01,0.999673,-82.01,0.999632,-82.01,0.999492,-82.01,0.999091,-82.01,0.997693,-82.01,0.993754,-82.01,0.980564,-82.01,0.947378,-82.01,0.867072,-82.01,0.765569,-82.01,0.682332,-82.01,0.647171
-80.01,0.999545,-80.01,0.999545,-80.01,0.999545,-80.01,0.999544,-80.01,0.999543,-80.01,0.999539,-80.01,0.999525,-80.01,0.999485,-80.01,0.999344,-80.01,0.998943,-80.01,0.997546,-80.01,0.993607,-80.01,0.980419,-80.01,0.947238,-80.01,0.866944,-80.01,0.765457,-80.01,0.682232,-80.01,0.647077
-78.01,0.999349,-78.01,0.999349,-78.01,0.999349,-78.01,0.999348,-78.01,0.999347,-78.01,0.999343,-78.01,0.999329,-78.01,0.999289,-78.01,0.999148,-78.01,0.998747,-78.01,0.99735,-78.01,0.993412,-78.01,0.980227,-78.01,0.947052,-78.01,0.866774,-78.01,0.765308,-78.01,0.682099,-78.01,0.646951
-76.01,0.999089,-76.01,0.999089,-76.01,0.999089,-76.01,0.999089,-76.01,0.999087,-76.01,0.999083,-76.01,0.999069,-76.01,0.999029,-76.01,0.998889,-76.01,0.998488,-76.01,0.997091,-76.01,0.993154,-76.01,0.979972,-76.01,0.946807,-76.01,0.86655,-76.01,0.76511,-76.01,0.681923,-76.01,0.646785
-74.01,0.998746,-74.01,0.998746,-74.01,0.998746,-74.01,0.998745,-74.01,0.998744,-74.01,0.99874,-74.01,0.998726,-74.01,0.998686,-74.01,0.998545,-74.01,0.998145,-74.01,0.996748,-74.01,0.992813,-74.01,0.979635,-74.01,0.946481,-74.01,0.866253,-74.01,0.764848,-74.01,0.681691,-74.01,0.646564
-72.01,0.998291,-72.01,0.998291,-72.01,0.998291,-72.01,0.998291,-72.01,0.998289,-72.01,0.998285,-72.01,0.998271,-72.01,0.998231,-72.01,0.998091,-72.01,0.99769,-72.01,0.996295,-72.01,0.992361,-72.01,0.97919,-72.01,0.946051,-72.01,0.86586,-72.01,0.764502,-72.01,0.681383,-72.01,0.646272
-70.01,0.997691,-70.01,0.997691,-70.01,0.99769,-70.01,0.99769,-70.01,0.997689,-70.01,0.997685,-70.01,0.997671,-70.01,0.99763,-70.01,0.99749,-70.01,0.99709,-70.01,0.995695,-70.01,0.991764,-70.01,0.978601,-70.01,0.945482,-70.01,0.86534,-70.01,0.764044,-70.01,0.680975,-70.01,0.645886
-68.01,0.996901,-68.01,0.996901,-68.01,0.996901,-68.01,0.9969,-68.01,0.996899,-68.01,0.996895,-68.01,0.996881,-68.01,0.996841,-68.01,0.996701,-68.01,0.996301,-68.01,0.994907,-68.01,0.990979,-68.01,0.977826,-68.01,0.944734,-68.01,0.864656,-68.01,0.763441,-68.01,0.680437,-68.01,0.645376
-66.01,0.995876,-66.01,0.995876,-66.01,0.995876,-66.01,0.995876,-66.01,0.995874,-66.01,0.99587,-66.01,0.995856,-66.01,0.995816,-66.01,0.995676,-66.01,0.995277,-66.01,0.993884,-66.01,0.98996,-66.01,0.976821,-66.01,0.943763,-66.01,0.863766,-66.01,0.762651,-66.01,0.679729,-66.01,0.644702
-64.01,0.994591,-64.01,0.99459,-64.01,0.99459,-64.01,0.99459,-64.01,0.994589,-64.01,0.994585,-64.01,0.994571,-64.01,0.994531,-64.01,0.994391,-64.01,0.993992,-64.01,0.992601,-64.01,0.988682,-64.01,0.975559,-64.01,0.94254,-64.01,0.862637,-64.01,0.761638,-64.01,0.678806,-64.01,0.643816
-62.01,0.993078,-62.01,0.993078,-62.01,0.993078,-62.01,0.993078,-62.01,0.993076,-62.01,0.993072,-62.01,0.993058,-62.01,0.993018,-62.01,0.992879,-62.01,0.99248,-62.01,0.991091,-62.01,0.987177,-62.01,0.97407,-62.01,0.941091,-62.01,0.861278,-62.01,0.76038,-62.01,0.677622,-62.01,0.642659
-60.01,0.991447,-60.01,0.991447,-60.01,0.991447,-60.01,0.991446,-60.01,0.991445,-60.01,0.991441,-60.01,0.991427,-60.01,0.991387,-60.01,0.991248,-60.01,0.990849,-60.01,0.989462,-60.01,0.985551,-60.01,0.972455,-60.01,0.939503,-60.01,0.859742,-60.01,0.75888,-60.01,0.676126,-60.01,0.641158
-58.01,0.989817,-58.01,0.989817,-58.01,0.989816,-58.01,0.989816,-58.01,0.989815,-58.01,0.989811,-58.01,0.989797,-58.01,0.989757,-58.01,0.989617,-58.01,0.989219,-58.01,0.987832,-58.01,0.983922,-58.01,0.970827,-58.01,0.937874,-58.01,0.858085,-58.01,0.757132,-58.01,0.674251,-58.01,0.639217
-56.01,0.988233,-56.01,0.988233,-56.01,0.988233,-56.01,0.988233,-56.01,0.988231,-56.01,0.988227,-56.01,0.988213,-56.01,0.988173,-56.01,0.988034,-56.01,0.987635,-56.01,0.986247,-56.01,0.982333,-56.01,0.969224,-56.01,0.936231,-56.01,0.856303,-56.01,0.755078,-56.01,0.671891,-56.01,0.636705
-54.01,0.986639,-54.01,0.986639,-54.01,0.986638,-54.01,0.986638,-54.01,0.986637,-54.01,0.986633,-54.01,0.986619,-54.01,0.986579,-54.01,0.986439,-54.01,0.986039,-54.01,0.984648,-54.01,0.980725,-54.01,0.967587,-54.01,0.934509,-54.01,0.854309,-54.01,0.752601,-54.01,0.668893,-54.01,0.633453
-52.01,0.984898,-52.01,0.984898,-52.01,0.984897,-52.01,0.984897,-52.01,0.984896,-52.01,0.984892,-52.01,0.984878,-52.01,0.984837,-52.01,0.984697,-52.01,0.984296,-52.01,0.9829,-52.01,0.978964,-52.01,0.965778,-52.01,0.932566,-52.01,0.851957,-52.01,0.749535,-52.01,0.66507,-52.01,0.629264
-50.01,0.982826,-50.01,0.982826,-50.01,0.982825,-50.01,0.982825,-50.01,0.982824,-50.01,0.98282,-50.01,0.982805,-50.01,0.982765,-50.01,0.982624,-50.01,0.982221,-50.01,0.980819,-50.01,0.976864,-50.01,0.963613,-50.01,0.93022,-50.01,0.849059,-50.01,0.745683,-50.01,0.660211,-50.01,0.623919
-48.01,0.980197,-48.01,0.980197,-48.01,0.980197,-48.01,0.980197,-48.01,0.980195,-48.01,0.980191,-48.01,0.980177,-48.01,0.980136,-48.01,0.979994,-48.01,0.979589,-48.01,0.978178,-48.01,0.9742,-48.01,0.960867,-48.01,0.927245,-48.01,0.845387,-48.01,0.740806,-48.01,0.654059,-48.01,0.617152
-46.01,0.976729,-46.01,0.976729,-46.01,0.976729,-46.01,0.976729,-46.01,0.976727,-46.01,0.976723,-46.01,0.976709,-46.01,0.976668,-46.01,0.976525,-46.01,0.976117,-46.01,0.974696,-46.01,0.970689,-46.01,0.957257,-46.01,0.923358,-46.01,0.84065,-46.01,0.734592,-46.01,0.646276,-46.01,0.608612
-44.01,0.972049,-44.01,0.972049,-44.01,0.972049,-44.01,0.972048,-44.01,0.972047,-44.01,0.972043,-44.01,0.972028,-44.01,0.971987,-44.01,0.971843,-44.01,0.971432,-44.01,0.969999,-44.01,0.965958,-44.01,0.95241,-44.01,0.918183,-44.01,0.834463,-44.01,0.726626,-44.01,0.636408,-44.01,0.597821
-42.01,0.965641,-42.01,0.965641,-42.01,0.965641,-42.01,0.96564,-42.01,0.965639,-42.01,0.965635,-42.01,0.96562,-42.01,0.965578,-42.01,0.965433,-42.01,0.965018,-42.01,0.963572,-42.01,0.959493,-42.01,0.94581,-42.01,0.911204,-42.01,0.8263,-42.01,0.716352,-42.01,0.623854,-42.01,0.584159
-40.01,0.956782,-40.01,0.956782,-40.01,0.956782,-40.01,0.956782,-40.01,0.95678,-40.01,0.956776,-40.01,0.956762,-40.01,0.95672,-40.01,0.956573,-40.01,0.956153,-40.01,0.954692,-40.01,0.950571,-40.01,0.93674,-40.01,0.901712,-40.01,0.815462,-40.01,0.703066,-40.01,0.607885,-40.01,0.56688
-38.01,0.944452,-38.01,0.944452,-38.01,0.944452,-38.01,0.944452,-38.01,0.94445,-38.01,0.944446,-38.01,0.944431,-38.01,0.944389,-38.01,0.94424,-38.01,0.943817,-38.01,0.942341,-38.01,0.938177,-38.01,0.924193,-38.01,0.888726,-38.01,0.801032,-38.01,0.685916,-38.01,0.58769,-38.01,0.545187
-36.01,0.927222,-36.01,0.927222,-36.01,0.927222,-36.01,0.927221,-36.01,0.92722,-36.01,0.927215,-36.01,0.9272,-36.01,0.927158,-36.01,0.927008,-36.01,0.926581,-36.01,0.925092,-36.01,0.920892,-36.01,0.906777,-36.01,0.870916,-36.01,0.781839,-36.01,0.663945,-36.01,0.562493,-36.01,0.518382
