Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-9 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-8 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 1e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 3e-7 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.000003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.00003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.0003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.001 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.003 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.01 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.03 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.1 mM,Inactivation: Test Potentials (mV),Calcium Concenteration = 0.3 mM
-90.01,1,-90.01,0.999997,-90.01,0.999987,-90.01,0.999959,-90.01,0.999861,-90.01,0.999578,-90.01,0.998585,-90.01,0.995698,-90.01,0.98501,-90.01,0.949151,-90.01,0.760133,-90.01,0.329709,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564,-90.01,0.291564
-88.01,0.999993,-88.01,0.99999,-88.01,0.99998,-88.01,0.999952,-88.01,0.999853,-88.01,0.999571,-88.01,0.998578,-88.01,0.995691,-88.01,0.985003,-88.01,0.949144,-88.01,0.760128,-88.01,0.329707,-88.01,0.291562,-88.01,0.291562,-88.01,0.291562,-88.01,0.291562,-88.01,0.291562,-88.01,0.291562
-86.01,0.999983,-86.01,0.99998,-86.01,0.99997,-86.01,0.999942,-86.01,0.999844,-86.01,0.999561,-86.01,0.998568,-86.01,0.995681,-86.01,0.984993,-86.01,0.949135,-86.01,0.76012,-86.01,0.329704,-86.01,0.291559,-86.01,0.291559,-86.01,0.291559,-86.01,0.291559,-86.01,0.291559,-86.01,0.291559
-84.01,0.999969,-84.01,0.999967,-84.01,0.999957,-84.01,0.999929,-84.01,0.99983,-84.01,0.999548,-84.01,0.998555,-84.01,0.995668,-84.01,0.98498,-84.01,0.949122,-84.01,0.76011,-84.01,0.329699,-84.01,0.291555,-84.01,0.291555,-84.01,0.291555,-84.01,0.291555,-84.01,0.291555,-84.01,0.291555
-82.01,0.999951,-82.01,0.999948,-82.01,0.999938,-82.01,0.99991,-82.01,0.999811,-82.01,0.999529,-82.01,0.998536,-82.01,0.995649,-82.01,0.984961,-82.01,0.949104,-82.01,0.760096,-82.01,0.329693,-82.01,0.29155,-82.01,0.291549,-82.01,0.291549,-82.01,0.291549,-82.01,0.291549,-82.01,0.291549
-80.01,0.999925,-80.01,0.999922,-80.01,0.999912,-80.01,0.999884,-80.01,0.999785,-80.01,0.999503,-80.01,0.99851,-80.01,0.995623,-80.01,0.984936,-80.01,0.949079,-80.01,0.760076,-80.01,0.329684,-80.01,0.291542,-80.01,0.291542,-80.01,0.291542,-80.01,0.291542,-80.01,0.291542,-80.01,0.291542
-78.01,0.999889,-78.01,0.999886,-78.01,0.999876,-78.01,0.999848,-78.01,0.999749,-78.01,0.999467,-78.01,0.998474,-78.01,0.995587,-78.01,0.9849,-78.01,0.949045,-78.01,0.760049,-78.01,0.329672,-78.01,0.291532,-78.01,0.291531,-78.01,0.291531,-78.01,0.291531,-78.01,0.291531,-78.01,0.291531
-76.01,0.999838,-76.01,0.999836,-76.01,0.999826,-76.01,0.999798,-76.01,0.999699,-76.01,0.999417,-76.01,0.998424,-76.01,0.995537,-76.01,0.984851,-76.01,0.948997,-76.01,0.760011,-76.01,0.329656,-76.01,0.291517,-76.01,0.291517,-76.01,0.291517,-76.01,0.291517,-76.01,0.291517,-76.01,0.291517
-74.01,0.999769,-74.01,0.999766,-74.01,0.999756,-74.01,0.999728,-74.01,0.99963,-74.01,0.999347,-74.01,0.998354,-74.01,0.995468,-74.01,0.984782,-74.01,0.948931,-74.01,0.759958,-74.01,0.329633,-74.01,0.291497,-74.01,0.291497,-74.01,0.291497,-74.01,0.291497,-74.01,0.291497,-74.01,0.291497
-72.01,0.999672,-72.01,0.99967,-72.01,0.99966,-72.01,0.999632,-72.01,0.999533,-72.01,0.999251,-72.01,0.998258,-72.01,0.995372,-72.01,0.984687,-72.01,0.94884,-72.01,0.759884,-72.01,0.329601,-72.01,0.291469,-72.01,0.291468,-72.01,0.291468,-72.01,0.291468,-72.01,0.291468,-72.01,0.291468
-70.01,0.999538,-70.01,0.999535,-70.01,0.999526,-70.01,0.999497,-70.01,0.999399,-70.01,0.999117,-70.01,0.998124,-70.01,0.995238,-70.01,0.984555,-70.01,0.948712,-70.01,0.759782,-70.01,0.329557,-70.01,0.29143,-70.01,0.291429,-70.01,0.291429,-70.01,0.291429,-70.01,0.291429,-70.01,0.291429
-68.01,0.999351,-68.01,0.999348,-68.01,0.999339,-68.01,0.99931,-68.01,0.999212,-68.01,0.99893,-68.01,0.997937,-68.01,0.995052,-68.01,0.984371,-68.01,0.948535,-68.01,0.75964,-68.01,0.329495,-68.01,0.291375,-68.01,0.291375,-68.01,0.291375,-68.01,0.291375,-68.01,0.291375,-68.01,0.291375
-66.01,0.999091,-66.01,0.999088,-66.01,0.999078,-66.01,0.99905,-66.01,0.998951,-66.01,0.998669,-66.01,0.997677,-66.01,0.994792,-66.01,0.984114,-66.01,0.948287,-66.01,0.759442,-66.01,0.329409,-66.01,0.291299,-66.01,0.291299,-66.01,0.291299,-66.01,0.291299,-66.01,0.291299,-66.01,0.291299
-64.01,0.998727,-64.01,0.998724,-64.01,0.998714,-64.01,0.998686,-64.01,0.998587,-64.01,0.998306,-64.01,0.997314,-64.01,0.99443,-64.01,0.983756,-64.01,0.947942,-64.01,0.759165,-64.01,0.329289,-64.01,0.291193,-64.01,0.291193,-64.01,0.291193,-64.01,0.291193,-64.01,0.291193,-64.01,0.291193
-62.01,0.998218,-62.01,0.998215,-62.01,0.998206,-62.01,0.998178,-62.01,0.998079,-62.01,0.997797,-62.01,0.996806,-62.01,0.993924,-62.01,0.983255,-62.01,0.947459,-62.01,0.758779,-62.01,0.329122,-62.01,0.291045,-62.01,0.291044,-62.01,0.291044,-62.01,0.291044,-62.01,0.291044,-62.01,0.291044
-60.01,0.997507,-60.01,0.997504,-60.01,0.997494,-60.01,0.997466,-60.01,0.997368,-60.01,0.997086,-60.01,0.996095,-60.01,0.993216,-60.01,0.982554,-60.01,0.946784,-60.01,0.758238,-60.01,0.328887,-60.01,0.290837,-60.01,0.290837,-60.01,0.290837,-60.01,0.290837,-60.01,0.290837,-60.01,0.290837
-58.01,0.996511,-58.01,0.996508,-58.01,0.996499,-58.01,0.99647,-58.01,0.996372,-58.01,0.996091,-58.01,0.995101,-58.01,0.992224,-58.01,0.981573,-58.01,0.945839,-58.01,0.757481,-58.01,0.328559,-58.01,0.290547,-58.01,0.290547,-58.01,0.290547,-58.01,0.290547,-58.01,0.290547,-58.01,0.290547
-56.01,0.995117,-56.01,0.995114,-56.01,0.995104,-56.01,0.995076,-56.01,0.994978,-56.01,0.994697,-56.01,0.993708,-56.01,0.990835,-56.01,0.9802,-56.01,0.944515,-56.01,0.756421,-56.01,0.328099,-56.01,0.29014,-56.01,0.29014,-56.01,0.29014,-56.01,0.29014,-56.01,0.29014,-56.01,0.29014
-54.01,0.993164,-54.01,0.993161,-54.01,0.993151,-54.01,0.993123,-54.01,0.993025,-54.01,0.992745,-54.01,0.991758,-54.01,0.988891,-54.01,0.978276,-54.01,0.942662,-54.01,0.754937,-54.01,0.327455,-54.01,0.289571,-54.01,0.289571,-54.01,0.289571,-54.01,0.289571,-54.01,0.289571,-54.01,0.289571
-52.01,0.990431,-52.01,0.990428,-52.01,0.990419,-52.01,0.990391,-52.01,0.990293,-52.01,0.990014,-52.01,0.98903,-52.01,0.98617,-52.01,0.975585,-52.01,0.940068,-52.01,0.75286,-52.01,0.326554,-52.01,0.288774,-52.01,0.288774,-52.01,0.288774,-52.01,0.288774,-52.01,0.288774,-52.01,0.288774
-50.01,0.986615,-50.01,0.986612,-50.01,0.986603,-50.01,0.986575,-50.01,0.986478,-50.01,0.986199,-50.01,0.985219,-50.01,0.982371,-50.01,0.971826,-50.01,0.936446,-50.01,0.749959,-50.01,0.325296,-50.01,0.287662,-50.01,0.287661,-50.01,0.287661,-50.01,0.287661,-50.01,0.287661,-50.01,0.287661
-48.01,0.981301,-48.01,0.981299,-48.01,0.981289,-48.01,0.981261,-48.01,0.981165,-48.01,0.980888,-48.01,0.979913,-48.01,0.97708,-48.01,0.966592,-48.01,0.931403,-48.01,0.74592,-48.01,0.323544,-48.01,0.286112,-48.01,0.286112,-48.01,0.286112,-48.01,0.286112,-48.01,0.286112,-48.01,0.286112
-46.01,0.973934,-46.01,0.973932,-46.01,0.973922,-46.01,0.973895,-46.01,0.973799,-46.01,0.973524,-46.01,0.972556,-46.01,0.969745,-46.01,0.959335,-46.01,0.92441,-46.01,0.74032,-46.01,0.321115,-46.01,0.283964,-46.01,0.283964,-46.01,0.283964,-46.01,0.283964,-46.01,0.283964,-46.01,0.283964
-44.01,0.963784,-44.01,0.963781,-44.01,0.963772,-44.01,0.963745,-44.01,0.96365,-44.01,0.963378,-44.01,0.96242,-44.01,0.959638,-44.01,0.949337,-44.01,0.914776,-44.01,0.732604,-44.01,0.317768,-44.01,0.281005,-44.01,0.281005,-44.01,0.281005,-44.01,0.281005,-44.01,0.281005,-44.01,0.281005
-42.01,0.949915,-42.01,0.949913,-42.01,0.949903,-42.01,0.949877,-42.01,0.949783,-42.01,0.949515,-42.01,0.948571,-42.01,0.945829,-42.01,0.935676,-42.01,0.901613,-42.01,0.722062,-42.01,0.313196,-42.01,0.276961,-42.01,0.276961,-42.01,0.276961,-42.01,0.276961,-42.01,0.276961,-42.01,0.276961
-40.01,0.931178,-40.01,0.931175,-40.01,0.931166,-40.01,0.93114,-40.01,0.931048,-40.01,0.930785,-40.01,0.92986,-40.01,0.927172,-40.01,0.917219,-40.01,0.883828,-40.01,0.707819,-40.01,0.307018,-40.01,0.271498,-40.01,0.271498,-40.01,0.271498,-40.01,0.271498,-40.01,0.271498,-40.01,0.271498
-38.01,0.906227,-38.01,0.906225,-38.01,0.906216,-38.01,0.90619,-38.01,0.906101,-38.01,0.905845,-38.01,0.904945,-38.01,0.902328,-38.01,0.892643,-38.01,0.860146,-38.01,0.688853,-38.01,0.298791,-38.01,0.264223,-38.01,0.264223,-38.01,0.264223,-38.01,0.264223,-38.01,0.264223,-38.01,0.264223
-36.01,0.87362,-36.01,0.873617,-36.01,0.873609,-36.01,0.873584,-36.01,0.873498,-36.01,0.873252,-36.01,0.872384,-36.01,0.869862,-36.01,0.860524,-36.01,0.829197,-36.01,0.664068,-36.01,0.28804,-36.01,0.254716,-36.01,0.254716,-36.01,0.254716,-36.01,0.254716,-36.01,0.254716,-36.01,0.254716
-34.01,0.832001,-34.01,0.831999,-34.01,0.831991,-34.01,0.831967,-34.01,0.831885,-34.01,0.831651,-34.01,0.830824,-34.01,0.828422,-34.01,0.81953,-34.01,0.789695,-34.01,0.632432,-34.01,0.274318,-34.01,0.242582,-34.01,0.242582,-34.01,0.242582,-34.01,0.242582,-34.01,0.242582,-34.01,0.242582
-32.01,0.780413,-32.01,0.780411,-32.01,0.780403,-32.01,0.780381,-32.01,0.780304,-32.01,0.780084,-32.01,0.779309,-32.01,0.777056,-32.01,0.768715,-32.01,0.74073,-32.01,0.593218,-32.01,0.257309,-32.01,0.227541,-32.01,0.22754,-32.01,0.22754,-32.01,0.22754,-32.01,0.22754,-32.01,0.22754
-30.01,0.718688,-30.01,0.718686,-30.01,0.718679,-30.01,0.718659,-30.01,0.718588,-30.01,0.718385,-30.01,0.717671,-30.01,0.715596,-30.01,0.707915,-30.01,0.682143,-30.01,0.546299,-30.01,0.236958,-30.01,0.209544,-30.01,0.209544,-30.01,0.209544,-30.01,0.209544,-30.01,0.209544,-30.01,0.209544
-28.01,0.64783,-28.01,0.647828,-28.01,0.647822,-28.01,0.647804,-28.01,0.64774,-28.01,0.647557,-28.01,0.646914,-28.01,0.645043,-28.01,0.638119,-28.01,0.614889,-28.01,0.492437,-28.01,0.213596,-28.01,0.188884,-28.01,0.188884,-28.01,0.188884,-28.01,0.188884,-28.01,0.188884,-28.01,0.188884
-26.01,0.570203,-26.01,0.570201,-26.01,0.570196,-26.01,0.57018,-26.01,0.570124,-26.01,0.569963,-26.01,0.569396,-26.01,0.56775,-26.01,0.561656,-26.01,0.541209,-26.01,0.43343,-26.01,0.188001,-26.01,0.166251,-26.01,0.166251,-26.01,0.166251,-26.01,0.166251,-26.01,0.166251,-26.01,0.166251
-24.01,0.489352,-24.01,0.48935,-24.01,0.489345,-24.01,0.489332,-24.01,0.489283,-24.01,0.489145,-24.01,0.488659,-24.01,0.487246,-24.01,0.482016,-24.01,0.464468,-24.01,0.371972,-24.01,0.161344,-24.01,0.142677,-24.01,0.142677,-24.01,0.142677,-24.01,0.142677,-24.01,0.142677,-24.01,0.142677
-22.01,0.409421,-22.01,0.40942,-22.01,0.409416,-22.01,0.409404,-22.01,0.409364,-22.01,0.409248,-22.01,0.408842,-22.01,0.40766,-22.01,0.403284,-22.01,0.388602,-22.01,0.311215,-22.01,0.13499,-22.01,0.119373,-22.01,0.119372,-22.01,0.119372,-22.01,0.119372,-22.01,0.119372,-22.01,0.119372
-20.01,0.334346,-20.01,0.334345,-20.01,0.334342,-20.01,0.334333,-20.01,0.3343,-20.01,0.334205,-20.01,0.333873,-20.01,0.332908,-20.01,0.329334,-20.01,0.317345,-20.01,0.254148,-20.01,0.110237,-20.01,0.0974834,-20.01,0.0974833,-20.01,0.0974833,-20.01,0.0974833,-20.01,0.0974833,-20.01,0.0974833
-18.01,0.267129,-18.01,0.267128,-18.01,0.267126,-18.01,0.267118,-18.01,0.267092,-18.01,0.267016,-18.01,0.266751,-18.01,0.26598,-18.01,0.263125,-18.01,0.253546,-18.01,0.203054,-18.01,0.0880749,-18.01,0.0778853,-18.01,0.0778852,-18.01,0.0778852,-18.01,0.0778852,-18.01,0.0778852,-18.01,0.0778852
-16.01,0.209463,-16.01,0.209462,-16.01,0.20946,-16.01,0.209454,-16.01,0.209434,-16.01,0.209375,-16.01,0.209167,-16.01,0.208562,-16.01,0.206323,-16.01,0.198812,-16.01,0.15922,-16.01,0.0690619,-16.01,0.0610719,-16.01,0.0610718,-16.01,0.0610718,-16.01,0.0610718,-16.01,0.0610718,-16.01,0.0610718
-14.01,0.161762,-14.01,0.161762,-14.01,0.16176,-14.01,0.161756,-14.01,0.16174,-14.01,0.161694,-14.01,0.161533,-14.01,0.161066,-14.01,0.159337,-14.01,0.153537,-14.01,0.122961,-14.01,0.0533345,-14.01,0.0471641,-14.01,0.047164,-14.01,0.047164,-14.01,0.047164,-14.01,0.047164,-14.01,0.047164
