Test potential (mV),Aslanidi 2009 atrial,Test potential (mV),Aslanidi 2009 Purkinje,Test potential (mV),beeler_1977_feb,Test potential (mV),Bondarenko 2004 apical,Test potential (mV),Cabo 2003,Test potential (mV),Corrias_2011,Test potential (mV),cortassa 2006,Test potential (mV),Courtemanche 1998,Test potential (mV),Decker 2009,Test potential (mV),Demir_Clark_1999,Test potential (mV),DiFrancesco Noble 1985,Test potential (mV),Dokos_1996,Test potential (mV),Faber_2007,Test potential (mV),Fox_2002,Test potential (mV),Grandi 2010 epi,Test potential (mV),Hilgemann_noble_1987,Test potential (mV),Hund_feb_2004,Test potential (mV),Inada_2009,Test potential (mV),Iyer 2004,Test potential (mV),Jafri_1998,Test potential (mV),Kurata_2002,Test potential (mV),Li 2010,Test potential (mV),Li 2011,Test potential (mV),Lindblad_1996,Test potential (mV),Livshitz_2007,Test potential (mV),LOvell_2004,Test potential (mV),Luo Rudy 1994,Test potential (mV),Mahajan 2008,Test potential (mV),Matsuoka 2003,Test potential (mV),McAlliater_1975,Test potential (mV),Noble 1991,Test potential (mV),Noble 1998,Test potential (mV),Nygren_1998,Test potential (mV),O'Hara-Rudy 2011 (epi),Test potential (mV),Paci_atrial,Test potential (mV),Pandit_2001,Test potential (mV),Priebe 1998,Test potential (mV),Ramirez_2000,Test potential (mV),Shannon 2004,Test potential (mV),ten Tusscher 2004 (epi),Test potential (mV),ten Tusscher 2006 (epi),Test potential (mV),Tomek_2019,Test potential (mV),varela_2016_ra,Test potential (mV),wilders_1991,Test potential (mV),Winslow 1999,Test potential (mV),Zhang_2000,Test potential (mV),Bartolucci 2020,Test potential (mV),Trovato 2020,Inactivation: Test potential (mV),Grandi 2011,Inactivation: Test potential (mV),Heijman 2011,Inactivation: Test potential (mV),Fink_2008,Inactivation: Test potential (mV),Kernik 2019 (ICaL),Inactivation: Test potential (mV),Koivumaki 2011,Inactivation: Test potential (mV),Michailova 2005,Inactivation: Test potential (mV),Nordin 1993 (ICaL),Inactivation: Test potential (mV),Pasek 2006,Inactivation: Test potential (mV),Sato 2006 (ICaL),Inactivation: Test potential (mV),Zeng 1995 (ICaL),Inactivation: Test potential (mV),Hund 2008,Inactivation: Test potential (mV),Liu 1993
-50.01,1,-50.01,0.447265,-50.01,0.992687,-50.01,0.999977,-50.01,0.98862,-50.01,0.968811,-50.01,0.611093,-50.01,0.971522,-50.01,0.999998,-50.01,0.983814,-50.01,0.991365,-50.01,0.993358,-50.01,0.994079,-50.01,0.999789,-50.01,0.849128,-50.01,0.975894,-50.01,0.798532,-50.01,0.971132,-50.01,0.950981,-50.01,0.609796,-50.01,0.982201,-50.01,0.913313,-50.01,0.340465,-50.01,0.998818,-50.01,0.458173,-50.01,0.51676,-50.01,0.857526,-50.01,0.747117,-50.01,0.843571,-50.01,0.487051,-50.01,0.99129,-50.01,0.997894,-50.01,0.982784,-50.01,0.999801,-50.01,0.993895,-50.01,0.98722,-50.01,0.990981,-50.01,0.986615,-50.01,0.987136,-50.01,0.987684,-50.01,0.923102,-50.01,0.999761,-50.01,0.939965,-50.01,0.988706,-50.01,0.999766,-50.01,0.733564,-50.01,0.999735,-50.01,0.999509,-50.01,0.947464,-50.01,0.999942,-50.01,0.911826,-50.01,0.871362,-50.01,0.917142,-50.01,0.999765,-50.01,0.920246,-50.01,0.987233,-50.01,0.853512,-50.01,0.857526,-50.01,0.412091,-50.01,0.993899
-48.01,0.999995,-48.01,0.413355,-48.01,0.988274,-48.01,0.999936,-48.01,0.984778,-48.01,0.955793,-48.01,0.57073,-48.01,0.961928,-48.01,1,-48.01,0.976057,-48.01,0.98421,-48.01,0.990455,-48.01,0.991199,-48.01,0.999654,-48.01,0.818037,-48.01,0.956485,-48.01,0.715036,-48.01,0.96254,-48.01,0.937761,-48.01,0.569282,-48.01,0.973909,-48.01,0.892227,-48.01,0.315173,-48.01,0.997883,-48.01,0.426527,-48.01,0.451227,-48.01,0.826334,-48.01,0.724986,-48.01,0.781287,-48.01,0.436207,-48.01,0.984088,-48.01,0.996132,-48.01,0.980139,-48.01,0.999659,-48.01,0.98992,-48.01,0.981674,-48.01,0.98738,-48.01,0.981301,-48.01,0.976534,-48.01,0.984722,-48.01,0.903358,-48.01,0.999619,-48.01,0.918268,-48.01,0.984328,-48.01,0.999649,-48.01,0.648833,-48.01,0.999544,-48.01,0.999173,-48.01,0.931054,-48.01,0.999926,-48.01,0.886558,-48.01,0.829042,-48.01,0.899617,-48.01,0.999647,-48.01,0.872137,-48.01,0.981691,-48.01,0.821735,-48.01,0.826334,-48.01,0.375245,-48.01,0.987541
-46.01,0.999966,-46.01,0.381422,-46.01,0.981627,-46.01,0.999812,-46.01,0.979668,-46.01,0.937722,-46.01,0.531812,-46.01,0.949278,-46.01,0.999991,-46.01,0.964732,-46.01,0.971156,-46.01,0.986228,-46.01,0.987025,-46.01,0.99944,-46.01,0.782363,-46.01,0.922331,-46.01,0.653865,-46.01,0.951315,-46.01,0.921354,-46.01,0.530208,-46.01,0.96222,-46.01,0.866886,-46.01,0.288308,-46.01,0.996196,-46.01,0.397365,-46.01,0.386803,-46.01,0.790159,-46.01,0.705197,-46.01,0.69945,-46.01,0.387124,-46.01,0.97096,-46.01,0.992869,-46.01,0.97665,-46.01,0.999414,-46.01,0.983552,-46.01,0.97376,-46.01,0.98237,-46.01,0.973934,-46.01,0.958355,-46.01,0.981541,-46.01,0.881271,-46.01,0.999376,-46.01,0.889701,-46.01,0.978321,-46.01,0.999471,-46.01,0.553722,-46.01,0.999217,-46.01,0.998599,-46.01,0.910071,-46.01,0.999897,-46.01,0.855756,-46.01,0.775813,-46.01,0.877145,-46.01,0.999469,-46.01,0.806501,-46.01,0.973783,-46.01,0.784885,-46.01,0.790159,-46.01,0.340927,-46.01,0.975342
-44.01,0.999886,-44.01,0.351069,-44.01,0.971785,-44.01,0.999265,-44.01,0.972894,-44.01,0.912966,-44.01,0.49437,-44.01,0.932748,-44.01,0.999961,-44.01,0.948367,-44.01,0.947763,-44.01,0.980056,-44.01,0.981052,-44.01,0.999102,-44.01,0.7421,-44.01,0.864881,-44.01,0.604644,-44.01,0.936569,-44.01,0.901197,-44.01,0.492601,-44.01,0.946126,-44.01,0.836743,-44.01,0.259046,-44.01,0.993135,-44.01,0.369934,-44.01,0.326006,-44.01,0.748934,-44.01,0.687535,-44.01,0.59863,-44.01,0.340992,-44.01,0.947451,-44.01,0.986857,-44.01,0.971943,-44.01,0.998994,-44.01,0.97397,-44.01,0.962475,-44.01,0.975419,-44.01,0.963784,-44.01,0.928024,-44.01,0.978185,-44.01,0.857863,-44.01,0.998959,-44.01,0.852858,-44.01,0.97014,-44.01,0.999203,-44.01,0.454744,-44.01,0.998656,-44.01,0.997626,-44.01,0.883573,-44.01,0.999844,-44.01,0.819493,-44.01,0.710891,-44.01,0.848367,-44.01,0.999201,-44.01,0.726512,-44.01,0.962511,-44.01,0.742882,-44.01,0.748934,-44.01,0.309173,-44.01,0.952678
-42.01,0.999703,-42.01,0.321615,-42.01,0.957503,-42.01,0.995529,-42.01,0.963951,-42.01,0.879655,-42.01,0.458141,-42.01,0.911405,-42.01,0.999883,-42.01,0.925066,-42.01,0.907401,-42.01,0.97104,-42.01,0.97264,-42.01,0.998573,-42.01,0.697497,-42.01,0.775719,-42.01,0.560668,-42.01,0.917127,-42.01,0.876744,-42.01,0.45619,-42.01,0.924409,-42.01,0.801237,-42.01,0.228565,-42.01,0.987556,-42.01,0.343134,-42.01,0.271038,-42.01,0.702881,-42.01,0.670851,-42.01,0.485498,-42.01,0.298824,-42.01,0.906918,-42.01,0.975951,-42.01,0.965503,-42.01,0.998273,-42.01,0.960701,-42.01,0.946483,-42.01,0.965823,-42.01,0.949915,-42.01,0.879366,-42.01,0.974591,-42.01,0.83422,-42.01,0.998243,-42.01,0.806568,-42.01,0.959106,-42.01,0.998797,-42.01,0.359537,-42.01,0.997695,-42.01,0.995986,-42.01,0.850632,-42.01,0.999744,-42.01,0.778629,-42.01,0.634722,-42.01,0.81207,-42.01,0.998794,-42.01,0.639544,-42.01,0.946545,-42.01,0.695934,-42.01,0.702881,-42.01,0.27992,-42.01,0.912457
-40.01,0.999318,-40.01,0.291985,-40.01,0.937292,-40.01,0.981905,-40.01,0.952205,-40.01,0.835906,-40.01,0.422658,-40.01,0.884271,-40.01,0.99971,-40.01,0.892577,-40.01,0.842342,-40.01,0.957918,-40.01,0.961015,-40.01,0.997748,-40.01,0.649095,-40.01,0.653634,-40.01,0.516904,-40.01,0.891505,-40.01,0.847529,-40.01,0.420497,-40.01,0.895565,-40.01,0.759747,-40.01,0.199152,-40.01,0.977403,-40.01,0.315173,-40.01,0.223423,-40.01,0.652567,-40.01,0.653405,-40.01,0.372491,-40.01,0.26136,-40.01,0.841618,-40.01,0.956788,-40.01,0.956606,-40.01,0.997039,-40.01,0.943357,-40.01,0.924137,-40.01,0.952661,-40.01,0.931178,-40.01,0.805766,-40.01,0.970593,-40.01,0.811122,-40.01,0.997016,-40.01,0.750252,-40.01,0.94442,-40.01,0.998182,-40.01,0.27464,-40.01,0.996053,-40.01,0.993249,-40.01,0.810464,-40.01,0.999554,-40.01,0.734666,-40.01,0.549524,-40.01,0.772035,-40.01,0.998177,-40.01,0.553417,-40.01,0.924245,-40.01,0.644598,-40.01,0.652567,-40.01,0.253005,-40.01,0.845831
-38.01,0.998546,-38.01,0.260763,-38.01,0.909602,-38.01,0.973318,-38.01,0.936888,-38.01,0.780242,-38.01,0.387368,-38.01,0.850442,-38.01,0.999347,-38.01,0.84858,-38.01,0.748051,-38.01,0.938984,-38.01,0.94529,-38.01,0.996467,-38.01,0.597733,-38.01,0.512165,-38.01,0.468477,-38.01,0.857966,-38.01,0.813258,-38.01,0.38495,-38.01,0.857822,-38.01,0.711509,-38.01,0.172327,-38.01,0.959166,-38.01,0.283667,-38.01,0.183795,-38.01,0.598918,-38.01,0.633637,-38.01,0.272102,-38.01,0.229009,-38.01,0.747021,-38.01,0.924916,-38.01,0.944229,-38.01,0.99493,-38.01,0.920966,-38.01,0.893583,-38.01,0.934769,-38.01,0.906227,-38.01,0.703577,-38.01,0.965936,-38.01,0.788852,-38.01,0.994921,-38.01,0.684318,-38.01,0.925215,-38.01,0.997247,-38.01,0.203899,-38.01,0.993279,-38.01,0.988729,-38.01,0.762618,-38.01,0.999193,-38.01,0.689234,-38.01,0.45949,-38.01,0.738986,-38.01,0.997238,-38.01,0.472932,-38.01,0.893767,-38.01,0.589788,-38.01,0.598918,-38.01,0.228142,-38.01,0.746285
-36.01,0.997034,-36.01,0.227215,-36.01,0.873196,-36.01,0.976802,-36.01,0.917092,-36.01,0.712213,-36.01,0.351746,-36.01,0.809264,-36.01,0.998612,-36.01,0.791288,-36.01,0.629569,-36.01,0.912084,-36.01,0.924524,-36.01,0.994487,-36.01,0.544511,-36.01,0.375793,-36.01,0.412339,-36.01,0.814709,-36.01,0.773911,-36.01,0.349007,-36.01,0.809369,-36.01,0.655593,-36.01,0.148599,-36.01,0.927461,-36.01,0.247974,-36.01,0.151914,-36.01,0.543175,-36.01,0.610877,-36.01,0.191226,-36.01,0.201828,-36.01,0.62819,-36.01,0.876079,-36.01,0.926946,-36.01,0.991341,-36.01,0.891479,-36.01,0.852933,-36.01,0.910755,-36.01,0.87362,-36.01,0.577219,-36.01,0.960294,-36.01,0.767207,-36.01,0.991355,-36.01,0.61044,-36.01,0.900656,-36.01,0.995822,-36.01,0.148209,-36.01,0.988678,-36.01,0.981365,-36.01,0.707192,-36.01,0.998501,-36.01,0.643549,-36.01,0.370303,-36.01,0.708534,-36.01,0.99581,-36.01,0.399497,-36.01,0.853227,-36.01,0.532746,-36.01,0.543175,-36.01,0.204923,-36.01,0.617537
-34.01,0.99412,-34.01,0.193166,-34.01,0.827673,-34.01,0.971841,-34.01,0.891811,-34.01,0.63305,-34.01,0.315407,-34.01,0.760559,-34.01,0.997154,-34.01,0.720381,-34.01,0.502716,-34.01,0.874769,-34.01,0.897808,-34.01,0.991442,-34.01,0.490712,-34.01,0.264206,-34.01,0.351983,-34.01,0.760208,-34.01,0.729839,-34.01,0.312261,-34.01,0.748833,-34.01,0.591213,-34.01,0.127864,-34.01,0.875687,-34.01,0.211696,-34.01,0.126887,-34.01,0.486804,-34.01,0.585524,-34.01,0.131211,-34.01,0.179563,-34.01,0.500984,-34.01,0.808767,-34.01,0.902803,-34.01,0.985273,-34.01,0.851378,-34.01,0.800554,-34.01,0.879072,-34.01,0.832001,-34.01,0.44151,-34.01,0.953261,-34.01,0.745591,-34.01,0.985326,-34.01,0.531561,-34.01,0.870119,-34.01,0.993647,-34.01,0.106292,-34.01,0.981235,-34.01,0.969559,-34.01,0.645016,-34.01,0.997167,-34.01,0.598112,-34.01,0.2879,-34.01,0.668437,-34.01,0.993632,-34.01,0.332799,-34.01,0.800989,-34.01,0.474937,-34.01,0.486804,-34.01,0.183011,-34.01,0.478113
-32.01,0.98858,-32.01,0.161705,-32.01,0.773891,-32.01,0.953301,-32.01,0.860004,-32.01,0.546017,-32.01,0.278205,-32.01,0.704835,-32.01,0.994301,-32.01,0.637934,-32.01,0.385406,-32.01,0.82473,-32.01,0.864397,-32.01,0.986783,-32.01,0.43768,-32.01,0.182781,-32.01,0.295244,-32.01,0.693648,-32.01,0.681822,-32.01,0.274559,-32.01,0.675931,-32.01,0.51885,-32.01,0.109793,-32.01,0.799225,-32.01,0.178812,-32.01,0.107485,-32.01,0.431344,-32.01,0.558727,-32.01,0.0897144,-32.01,0.161717,-32.01,0.383348,-32.01,0.726263,-32.01,0.869239,-32.01,0.975126,-32.01,0.799609,-32.01,0.735622,-32.01,0.838239,-32.01,0.780413,-32.01,0.316146,-32.01,0.944332,-32.01,0.723103,-32.01,0.975244,-32.01,0.451497,-32.01,0.833372,-32.01,0.990327,-32.01,0.0757948,-32.01,0.969489,-32.01,0.951003,-32.01,0.577731,-32.01,0.994579,-32.01,0.552701,-32.01,0.216927,-32.01,0.61078,-32.01,0.990311,-32.01,0.272365,-32.01,0.73623,-32.01,0.417908,-32.01,0.431344,-32.01,0.162492,-32.01,0.352183
-30.01,0.978215,-30.01,0.134312,-30.01,0.713956,-30.01,0.922532,-30.01,0.820734,-30.01,0.456111,-30.01,0.240313,-30.01,0.643418,-30.01,0.988791,-30.01,0.548752,-30.01,0.287973,-30.01,0.760557,-30.01,0.823857,-30.01,0.979707,-30.01,0.3867,-30.01,0.12674,-30.01,0.246455,-30.01,0.615357,-30.01,0.631062,-30.01,0.236091,-30.01,0.592039,-30.01,0.442195,-30.01,0.0940263,-30.01,0.70069,-30.01,0.15046,-30.01,0.092444,-30.01,0.378251,-30.01,0.531934,-30.01,0.0625108,-30.01,0.147652,-30.01,0.28563,-30.01,0.635841,-30.01,0.823131,-30.01,0.958473,-30.01,0.795478,-30.01,0.65894,-30.01,0.787219,-30.01,0.718688,-30.01,0.215551,-30.01,0.932886,-30.01,0.698607,-30.01,0.958698,-30.01,0.374243,-30.01,0.790677,-30.01,0.985262,-30.01,0.0541461,-30.01,0.951326,-30.01,0.922658,-30.01,0.507697,-30.01,0.989543,-30.01,0.506569,-30.01,0.159655,-30.01,0.536336,-30.01,0.985256,-30.01,0.218196,-30.01,0.659756,-30.01,0.363124,-30.01,0.378251,-30.01,0.143678,-30.01,0.253928
-28.01,0.959307,-28.01,0.111064,-28.01,0.650677,-28.01,0.880486,-28.01,0.773363,-28.01,0.369018,-28.01,0.202277,-28.01,0.578414,-28.01,0.978284,-28.01,0.459516,-28.01,0.211971,-28.01,0.682698,-28.01,0.776218,-28.01,0.969061,-28.01,0.338878,-28.01,0.0887361,-28.01,0.205683,-28.01,0.527281,-28.01,0.57909,-28.01,0.197453,-28.01,0.500342,-28.01,0.368868,-28.01,0.0802471,-28.01,0.591723,-28.01,0.126326,-28.01,0.0806696,-28.01,0.328753,-28.01,0.506513,-28.01,0.0452958,-28.01,0.136685,-28.01,0.209397,-28.01,0.545707,-28.01,0.761171,-28.01,0.931951,-28.01,0.76076,-28.01,0.573477,-28.01,0.725967,-28.01,0.64783,-28.01,0.143736,-28.01,0.918148,-28.01,0.670788,-28.01,0.932349,-28.01,0.303215,-28.01,0.742652,-28.01,0.97756,-28.01,0.0390427,-28.01,0.923785,-28.01,0.881278,-28.01,0.437695,-28.01,0.979764,-28.01,0.458751,-28.01,0.11591,-28.01,0.454292,-28.01,0.977604,-28.01,0.170687,-28.01,0.574535,-28.01,0.311827,-28.01,0.328753,-28.01,0.126653,-28.01,0.18388
-26.01,0.926265,-26.01,0.091537,-26.01,0.586811,-26.01,0.828503,-26.01,0.717796,-26.01,0.289747,-26.01,0.165018,-26.01,0.512456,-26.01,0.958635,-26.01,0.376918,-26.01,0.15443,-26.01,0.594171,-26.01,0.722101,-26.01,0.953251,-26.01,0.295059,-26.01,0.0627276,-26.01,0.1716,-26.01,0.433869,-26.01,0.527595,-26.01,0.159652,-26.01,0.405505,-26.01,0.306211,-26.01,0.0681872,-26.01,0.48693,-26.01,0.105841,-26.01,0.071317,-26.01,0.283758,-26.01,0.483371,-26.01,0.0346606,-26.01,0.127978,-26.01,0.151698,-26.01,0.462458,-26.01,0.68091,-26.01,0.891653,-26.01,0.703669,-26.01,0.484173,-26.01,0.655976,-26.01,0.570203,-26.01,0.0969125,-26.01,0.899168,-26.01,0.638223,-26.01,0.892323,-26.01,0.240725,-26.01,0.689873,-26.01,0.965937,-26.01,0.0286298,-26.01,0.883116,-26.01,0.825031,-26.01,0.370506,-26.01,0.961051,-26.01,0.408443,-26.01,0.0838511,-26.01,0.360561,-26.01,0.966135,-26.01,0.130258,-26.01,0.485492,-26.01,0.264933,-26.01,0.283758,-26.01,0.111348,-26.01,0.135777
-24.01,0.872519,-24.01,0.0752182,-24.01,0.524604,-24.01,0.769643,-24.01,0.654711,-24.01,0.221583,-24.01,0.129751,-24.01,0.448311,-24.01,0.923123,-24.01,0.305796,-24.01,0.111456,-24.01,0.500472,-24.01,0.662771,-24.01,0.93019,-24.01,0.255793,-24.01,0.0446343,-24.01,0.143002,-24.01,0.342967,-24.01,0.478213,-24.01,0.124015,-24.01,0.31309,-24.01,0.255101,-24.01,0.0576274,-24.01,0.396106,-24.01,0.088483,-24.01,0.0637906,-24.01,0.243816,-24.01,0.46281,-24.01,0.0283719,-24.01,0.120968,-24.01,0.108663,-24.01,0.39021,-24.01,0.582737,-24.01,0.834584,-24.01,0.596714,-24.01,0.396903,-24.01,0.580516,-24.01,0.489352,-24.01,0.0686231,-24.01,0.874798,-24.01,0.599488,-24.01,0.835665,-24.01,0.187826,-24.01,0.632436,-24.01,0.948629,-24.01,0.0215075,-24.01,0.82553,-24.01,0.755943,-24.01,0.30849,-24.01,0.926464,-24.01,0.355411,-24.01,0.0609871,-24.01,0.258543,-24.01,0.949204,-24.01,0.0970239,-24.01,0.398481,-24.01,0.222998,-24.01,0.243816,-24.01,0.0976757,-24.01,0.102668
-22.01,0.794105,-22.01,0.0616341,-22.01,0.465785,-22.01,0.711837,-22.01,0.585695,-22.01,0.165773,-22.01,0.0978262,-22.01,0.388442,-22.01,0.862799,-22.01,0.248263,-22.01,0.0796587,-22.01,0.408362,-22.01,0.600089,-22.01,0.897371,-22.01,0.221337,-22.01,0.0318659,-22.01,0.118999,-22.01,0.263778,-22.01,0.432327,-22.01,0.0919764,-22.01,0.228938,-22.01,0.212006,-22.01,0.048393,-22.01,0.322496,-22.01,0.0738154,-22.01,0.0576932,-22.01,0.209132,-22.01,0.444807,-22.01,0.0259689,-22.01,0.115349,-22.01,0.0769145,-22.01,0.330747,-22.01,0.472456,-22.01,0.761402,-22.01,0.223968,-22.01,0.316985,-22.01,0.504258,-22.01,0.409421,-22.01,0.0565268,-22.01,0.843685,-22.01,0.55334,-22.01,0.763074,-22.01,0.144483,-22.01,0.569912,-22.01,0.923389,-22.01,0.0166604,-22.01,0.749021,-22.01,0.681058,-22.01,0.253293,-22.01,0.866616,-22.01,0.300361,-22.01,0.0449241,-22.01,0.159393,-22.01,0.924706,-22.01,0.0706517,-22.01,0.318797,-22.01,0.186229,-22.01,0.209132,-22.01,0.0855388,-22.01,0.0792531
-20.01,0.695075,-20.01,0.0503789,-20.01,0.411778,-20.01,0.678096,-20.01,0.513183,-20.01,0.12188,-20.01,0.0704835,-20.01,0.33468,-20.01,0.770523,-20.01,0.204024,-20.01,0.0563641,-20.01,0.323992,-20.01,0.536332,-20.01,0.85219,-20.01,0.191697,-20.01,0.0227697,-20.01,0.0989116,-20.01,0.201085,-20.01,0.390933,-20.01,0.0647799,-20.01,0.158288,-20.01,0.17492,-20.01,0.0403483,-20.01,0.265435,-20.01,0.0614809,-20.01,0.0527648,-20.01,0.17963,-20.01,0.429276,-20.01,0.0251922,-20.01,0.110831,-20.01,0.0537781,-20.01,0.28401,-20.01,0.362305,-20.01,0.678906,-20.01,0.115737,-20.01,0.247961,-20.01,0.432332,-20.01,0.334346,-20.01,0.0563645,-20.01,0.804292,-20.01,0.498996,-20.01,0.681382,-20.01,0.109906,-20.01,0.502034,-20.01,0.887711,-20.01,0.0133717,-20.01,0.655591,-20.01,0.609812,-20.01,0.205744,-20.01,0.773869,-20.01,0.245161,-20.01,0.0337087,-20.01,0.0872386,-20.01,0.890184,-20.01,0.0504131,-20.01,0.249956,-20.01,0.154544,-20.01,0.17963,-20.01,0.0748061,-20.01,0.0620696
-18.01,0.58861,-18.01,0.0411066,-18.01,0.363823,-18.01,0.719464,-18.01,0.440162,-18.01,0.0884338,-18.01,0.0485782,-18.01,0.288091,-18.01,0.649855,-18.01,0.171312,-18.01,0.0394926,-18.01,0.251358,-18.01,0.473915,-18.01,0.792637,-18.01,0.166683,-18.01,0.0162562,-18.01,0.0821978,-18.01,0.15321,-18.01,0.354585,-18.01,0.0431723,-18.01,0.104368,-18.01,0.143344,-18.01,0.0333876,-18.01,0.222791,-18.01,0.0511796,-18.01,0.0488326,-18.01,0.155023,-18.01,0.416145,-18.01,0.0246346,-18.01,0.107171,-18.01,0.0371537,-18.01,0.248704,-18.01,0.267,-18.01,0.598797,-18.01,0.0615039,-18.01,0.191185,-18.01,0.369288,-18.01,0.267129,-18.01,0.0562844,-18.01,0.754989,-18.01,0.436567,-18.01,0.602315,-18.01,0.0829076,-18.01,0.429894,-18.01,0.839396,-18.01,0.0111438,-18.01,0.551733,-18.01,0.549012,-18.01,0.165941,-18.01,0.651676,-18.01,0.19272,-18.01,0.0258843,-18.01,0.0513936,-18.01,0.843304,-18.01,0.0353412,-18.01,0.193292,-18.01,0.127645,-18.01,0.155023,-18.01,0.0653486,-18.01,0.0490103
-16.01,0.489786,-16.01,0.0335176,-16.01,0.32293,-16.01,0.875018,-16.01,0.369701,-16.01,0.0635529,-16.01,0.0323811,-16.01,0.249019,-16.01,0.5206,-16.01,0.14781,-16.01,0.0274198,-16.01,0.19184,-16.01,0.415055,-16.01,0.718317,-16.01,0.14597,-16.01,0.0115827,-16.01,0.0684035,-16.01,0.11643,-16.01,0.323425,-16.01,0.0272329,-16.01,0.0670777,-16.01,0.116861,-16.01,0.0274191,-16.01,0.191959,-16.01,0.0426551,-16.01,0.0477214,-16.01,0.134891,-16.01,0.405339,-16.01,0.0241844,-16.01,0.104178,-16.01,0.0253842,-16.01,0.222914,-16.01,0.195311,-16.01,0.531672,-16.01,0.0310651,-16.01,0.146188,-16.01,0.318308,-16.01,0.209463,-16.01,0.0562542,-16.01,0.694272,-16.01,0.367598,-16.01,0.536503,-16.01,0.0621772,-16.01,0.356636,-16.01,0.777542,-16.01,0.00963561,-16.01,0.445819,-16.01,0.499946,-16.01,0.133431,-16.01,0.520449,-16.01,0.14635,-16.01,0.0204152,-16.01,0.0316006,-16.01,0.78283,-16.01,0.0244052,-16.01,0.148323,-16.01,0.105094,-16.01,0.134891,-16.01,0.0570773,-16.01,0.0388189
-14.01,0.407385,-14.01,0.0273411,-14.01,0.289756,-14.01,0.925427,-14.01,0.304455,-14.01,0.045367,-14.01,0.0215732,-14.01,0.217247,-14.01,0.408416,-14.01,0.131268,-14.01,0.0188821,-14.01,0.144784,-14.01,0.361477,-14.01,0.63143,-14.01,0.129156,-14.01,0.00822961,-14.01,0.0571368,-14.01,0.0880697,-14.01,0.297259,-14.01,0.0163969,-14.01,0.0431801,-14.01,0.0949331,-14.01,0.0223504,-14.01,0.170231,-14.01,0.03568,-14.01,0.0475381,-14.01,0.118749,-14.01,0.396767,-14.01,0.0237811,-14.01,0.101702,-14.01,0.0171712,-14.01,0.204595,-14.01,0.145699,-14.01,0.481465,-14.01,0.0150572,-14.01,0.111415,-14.01,0.280831,-14.01,0.161762,-14.01,0.0562546,-14.01,0.621235,-14.01,0.295536,-14.01,0.487892,-14.01,0.0464653,-14.01,0.286717,-14.01,0.703659,-14.01,0.0086146,-14.01,0.344889,-14.01,0.45932,-14.01,0.107429,-14.01,0.40673,-14.01,0.108663,-14.01,0.0165821,-14.01,0.0196191,-14.01,0.709856,-14.01,0.0166424,-14.01,0.113483,-14.01,0.0863857,-14.01,0.118749,-14.01,0.0499305,-14.01,0.0307335
-12.01,0.342817,-12.01,0.0223337,-12.01,0.264536,-12.01,0.540575,-12.01,0.246302,-12.01,0.032241,-12.01,0.0182905,-12.01,0.192198,-12.01,0.327358,-12.01,0.11979,-12.01,0.0129099,-12.01,0.108468,-12.01,0.314234,-12.01,0.537021,-12.01,0.115804,-12.01,0.00582726,-12.01,0.0480516,-12.01,0.06635,-12.01,0.275656,-12.01,0.00965544,-12.01,0.0282878,-12.01,0.0769674,-12.01,0.018095,-12.01,0.15512,-12.01,0.0300495,-12.01,0.0474112,-12.01,0.106097,-12.01,0.390315,-12.01,0.0233867,-12.01,0.0996324,-12.01,0.0115153,-12.01,0.191879,-12.01,0.11124,-12.01,0.445336,-12.01,0.00703712,-12.01,0.0849183,-12.01,0.256536,-12.01,0.123468,-12.01,0.0562746,-12.01,0.536383,-12.01,0.225621,-12.01,0.453493,-12.01,0.034674,-12.01,0.224199,-12.01,0.6222,-12.01,0.00792316,-12.01,0.254124,-12.01,0.421909,-12.01,0.0870068,-12.01,0.324977,-12.01,0.08049,-12.01,0.0138894,-12.01,0.0123722,-12.01,0.628525,-12.01,0.0112319,-12.01,0.0868203,-12.01,0.0709925,-12.01,0.106097,-12.01,0.0438415,-12.01,0.0242676
-10.01,0.293666,-10.01,0.0182972,-10.01,0.247129,-10.01,0.18442,-10.01,0.196208,-10.01,0.0228494,-10.01,0.0178354,-10.01,0.173124,-10.01,0.276203,-10.01,0.111899,-10.01,0.00877233,-10.01,0.0808874,-10.01,0.273682,-10.01,0.441967,-10.01,0.105478,-10.01,0.00409146,-10.01,0.0408291,-10.01,0.0498781,-10.01,0.258043,-10.01,0.00584611,-10.01,0.0188493,-10.01,0.0623727,-10.01,0.0145689,-10.01,0.144649,-10.01,0.0255714,-10.01,0.0473379,-10.01,0.0964573,-10.01,0.385843,-10.01,0.022978,-10.01,0.0978847,-10.01,0.00766574,-10.01,0.183223,-10.01,0.0860863,-10.01,0.417161,-10.01,0.00320044,-10.01,0.064821,-10.01,0.243653,-10.01,0.0934449,-10.01,0.0563076,-10.01,0.4427,-10.01,0.16361,-10.01,0.426643,-10.01,0.0258905,-10.01,0.17149,-10.01,0.539815,-10.01,0.00745461,-10.01,0.178007,-10.01,0.383107,-10.01,0.0712259,-10.01,0.273779,-10.01,0.0605956,-10.01,0.011996,-10.01,0.00787469,-10.01,0.545456,-10.01,0.00751685,-10.01,0.0664629,-10.01,0.0584059,-10.01,0.0964573,-10.01,0.0387235,-10.01,0.0190864
