Test potential (mV),Aslanidi 2009 atrial,Test potential (mV),Aslanidi 2009 Purkinje,Test potential (mV),beeler_1977_feb,Test potential (mV),Bondarenko 2004 apical,Test potential (mV),Cabo 2003,Test potential (mV),Corrias_2011,Test potential (mV),cortassa 2006,Test potential (mV),Courtemanche 1998,Test potential (mV),Decker 2009,Test potential (mV),Demir_Clark_1999,Test potential (mV),DiFrancesco Noble 1985,Test potential (mV),Dokos_1996,Test potential (mV),Faber_2007,Test potential (mV),Fox_2002,Test potential (mV),Grandi 2010 epi,Test potential (mV),Hilgemann_noble_1987,Test potential (mV),Hund_feb_2004,Test potential (mV),Inada_2009,Test potential (mV),Iyer 2004,Test potential (mV),Jafri_1998,Test potential (mV),Kurata_2002,Test potential (mV),Li 2010,Test potential (mV),Li 2011,Test potential (mV),Lindblad_1996,Test potential (mV),Livshitz_2007,Test potential (mV),LOvell_2004,Test potential (mV),Luo Rudy 1994,Test potential (mV),Mahajan 2008,Test potential (mV),Matsuoka 2003,Test potential (mV),McAlliater_1975,Test potential (mV),Noble 1991,Test potential (mV),Noble 1998,Test potential (mV),Nygren_1998,Test potential (mV),O'Hara-Rudy 2011 (epi),Test potential (mV),Paci_atrial,Test potential (mV),Pandit_2001,Test potential (mV),Priebe 1998,Test potential (mV),Ramirez_2000,Test potential (mV),Shannon 2004,Test potential (mV),ten Tusscher 2004 (epi),Test potential (mV),ten Tusscher 2006 (epi),Test potential (mV),Tomek_2019,Test potential (mV),varela_2016_ra,Test potential (mV),wilders_1991,Test potential (mV),Winslow 1999,Test potential (mV),Zhang_2000,Test potential (mV),Bartolucci 2020,Test potential (mV),Trovato 2020,Inactivation: Test potential (mV),Grandi 2011,Inactivation: Test potential (mV),Heijman 2011,Inactivation: Test potential (mV),Fink_2008,Inactivation: Test potential (mV),Kernik 2019 (ICaL),Inactivation: Test potential (mV),Koivumaki 2011,Inactivation: Test potential (mV),Michailova 2005,Inactivation: Test potential (mV),Nordin 1993 (ICaL),Inactivation: Test potential (mV),Pasek 2006,Inactivation: Test potential (mV),Sato 2006 (ICaL),Inactivation: Test potential (mV),Zeng 1995 (ICaL),Inactivation: Test potential (mV),Hund 2008,Inactivation: Test potential (mV),Liu 1993
-70.01,0.999941,-70.01,0.84216,-70.01,0.999932,-70.01,1,-70.01,0.999423,-70.01,0.999261,-70.01,0.938323,-70.01,0.998558,-70.01,0.999953,-70.01,0.999704,-70.01,0.999973,-70.01,0.999795,-70.01,0.999914,-70.01,1,-70.01,0.983348,-70.01,0.999925,-70.01,0.311603,-70.01,0.998567,-70.01,0.996191,-70.01,0.938123,-70.01,0.999673,-70.01,0.992607,-70.01,0.66495,-70.01,0.999998,-70.01,0.997559,-70.01,0.930179,-70.01,0.985904,-70.01,0.945166,-70.01,0.995133,-70.01,0.886372,-70.01,0.999973,-70.01,0.999993,-70.01,0.997691,-70.01,0.999999,-70.01,0.999963,-70.01,0.999686,-70.01,0.999704,-70.01,0.999538,-70.01,0.999736,-70.01,0.99926,-70.01,0.995227,-70.01,0.999958,-70.01,0.997696,-70.01,0.999612,-70.01,0.999996,-70.01,0.993499,-70.01,0.999999,-70.01,0.999979,-70.01,0.997236,-70.01,0.999987,-70.01,0.994696,-70.01,0.994666,-70.01,0.983542,-70.01,0.999996,-70.01,0.999755,-70.01,0.999686,-70.01,0.984934,-70.01,0.985904,-70.01,0.828041,-70.01,0.999969
-68.01,0.999943,-68.01,0.807684,-68.01,0.999978,-68.01,1,-68.01,0.999215,-68.01,0.998898,-68.01,0.920775,-68.01,0.998041,-68.01,0.999955,-68.01,0.999556,-68.01,0.999953,-68.01,0.99971,-68.01,0.999867,-68.01,1,-68.01,0.978707,-68.01,0.999868,-68.01,0.315897,-68.01,0.99801,-68.01,0.99501,-68.01,0.920519,-68.01,0.999509,-68.01,0.990289,-68.01,0.624982,-68.01,0.999995,-68.01,0.993253,-68.01,0.911651,-68.01,0.981785,-68.01,0.933267,-68.01,0.993099,-68.01,0.861959,-68.01,0.999953,-68.01,0.999989,-68.01,0.996901,-68.01,0.999998,-68.01,0.999937,-68.01,0.999541,-68.01,0.999581,-68.01,0.999351,-68.01,0.999848,-68.01,0.999001,-68.01,0.993566,-68.01,0.999957,-68.01,0.996781,-68.01,0.999452,-68.01,0.999994,-68.01,0.990272,-68.01,0.999998,-68.01,0.999978,-68.01,0.996214,-68.01,0.999983,-68.01,0.99285,-68.01,0.99254,-68.01,0.980817,-68.01,0.999994,-68.01,0.999541,-68.01,0.999542,-68.01,0.980648,-68.01,0.981785,-68.01,0.792758,-68.01,0.99998
-66.01,0.999946,-66.01,0.770019,-66.01,1,-66.01,1,-66.01,0.998936,-66.01,0.998368,-66.01,0.899533,-66.01,0.997348,-66.01,0.999958,-66.01,0.999335,-66.01,0.999918,-66.01,0.999592,-66.01,0.999794,-66.01,0.999999,-66.01,0.972957,-66.01,0.999768,-66.01,0.323261,-66.01,0.997246,-66.01,0.993493,-66.01,0.899208,-66.01,0.999265,-66.01,0.987351,-66.01,0.586113,-66.01,0.999991,-66.01,0.979453,-66.01,0.889169,-66.01,0.976616,-66.01,0.919513,-66.01,0.990234,-66.01,0.834009,-66.01,0.999917,-66.01,0.99998,-66.01,0.995876,-66.01,0.999997,-66.01,0.999895,-66.01,0.999333,-66.01,0.999407,-66.01,0.999091,-66.01,0.999943,-66.01,0.998656,-66.01,0.991366,-66.01,0.999956,-66.01,0.995516,-66.01,0.999227,-66.01,0.999991,-66.01,0.985497,-66.01,0.999997,-66.01,0.999975,-66.01,0.994845,-66.01,0.99998,-66.01,0.990406,-66.01,0.989607,-66.01,0.977599,-66.01,0.999991,-66.01,0.999155,-66.01,0.999333,-66.01,0.975292,-66.01,0.976616,-66.01,0.754088,-66.01,0.999992
-64.01,0.99995,-64.01,0.729873,-64.01,0.99998,-64.01,1,-64.01,0.998561,-64.01,0.997599,-64.01,0.874293,-64.01,0.996417,-64.01,0.999961,-64.01,0.999006,-64.01,0.999856,-64.01,0.999425,-64.01,0.999682,-64.01,0.999998,-64.01,0.965852,-64.01,0.999592,-64.01,0.338023,-64.01,0.996201,-64.01,0.991545,-64.01,0.873886,-64.01,0.9989,-64.01,0.983633,-64.01,0.548763,-64.01,0.999982,-64.01,0.940175,-64.01,0.862107,-64.01,0.970152,-64.01,0.903743,-64.01,0.986195,-64.01,0.802311,-64.01,0.999854,-64.01,0.999965,-64.01,0.99459,-64.01,0.999996,-64.01,0.999825,-64.01,0.99903,-64.01,0.999164,-64.01,0.998727,-64.01,1,-64.01,0.998198,-64.01,0.988459,-64.01,0.999954,-64.01,0.993764,-64.01,0.998914,-64.01,0.999986,-64.01,0.978459,-64.01,0.999994,-64.01,0.999971,-64.01,0.993017,-64.01,0.999977,-64.01,0.987176,-64.01,0.98557,-64.01,0.97377,-64.01,0.999986,-64.01,0.99846,-64.01,0.999031,-64.01,0.968618,-64.01,0.970152,-64.01,0.712665,-64.01,1
-62.01,0.999955,-62.01,0.688086,-62.01,0.999886,-62.01,1,-62.01,0.998059,-62.01,0.996488,-62.01,0.844946,-62.01,0.995169,-62.01,0.999964,-62.01,0.998515,-62.01,0.999745,-62.01,0.99919,-62.01,0.999511,-62.01,0.999994,-62.01,0.957108,-62.01,0.999278,-62.01,0.361574,-62.01,0.994774,-62.01,0.989049,-62.01,0.844443,-62.01,0.998356,-62.01,0.97894,-62.01,0.513243,-62.01,0.999966,-62.01,0.857164,-62.01,0.829858,-62.01,0.962096,-62.01,0.885859,-62.01,0.980491,-62.01,0.766748,-62.01,0.999742,-62.01,0.999938,-62.01,0.993078,-62.01,0.999992,-62.01,0.999708,-62.01,0.998594,-62.01,0.998822,-62.01,0.998218,-62.01,0.999977,-62.01,0.99759,-62.01,0.984628,-62.01,0.999951,-62.01,0.991339,-62.01,0.998477,-62.01,0.999979,-62.01,0.968145,-62.01,0.99999,-62.01,0.999963,-62.01,0.990582,-62.01,0.999973,-62.01,0.982915,-62.01,0.980025,-62.01,0.969239,-62.01,0.999979,-62.01,0.997218,-62.01,0.998595,-62.01,0.960327,-62.01,0.962096,-62.01,0.669273,-62.01,0.999993
-60.01,0.99996,-60.01,0.645549,-60.01,0.999673,-60.01,1,-60.01,0.997386,-60.01,0.994891,-60.01,0.811652,-60.01,0.993492,-60.01,0.999968,-60.01,0.997782,-60.01,0.999548,-60.01,0.998856,-60.01,0.999251,-60.01,0.999988,-60.01,0.946393,-60.01,0.998719,-60.01,0.408046,-60.01,0.992844,-60.01,0.985851,-60.01,0.81104,-60.01,0.997547,-60.01,0.973032,-60.01,0.479752,-60.01,0.999938,-60.01,0.746541,-60.01,0.791896,-60.01,0.952101,-60.01,0.865863,-60.01,0.972421,-60.01,0.727342,-60.01,0.999542,-60.01,0.99989,-60.01,0.991445,-60.01,0.999987,-60.01,0.999515,-60.01,0.997962,-60.01,0.998342,-60.01,0.997507,-60.01,0.999803,-60.01,0.996785,-60.01,0.979598,-60.01,0.999945,-60.01,0.987983,-60.01,0.997866,-60.01,0.999969,-60.01,0.953157,-60.01,0.999982,-60.01,0.99995,-60.01,0.987346,-60.01,0.99997,-60.01,0.97731,-60.01,0.972437,-60.01,0.963944,-60.01,0.999969,-60.01,0.995007,-60.01,0.997964,-60.01,0.950067,-60.01,0.952101,-60.01,0.624769,-60.01,0.999945
-58.01,0.999968,-58.01,0.603126,-58.01,0.999269,-58.01,1,-58.01,0.996485,-58.01,0.992603,-58.01,0.774889,-58.01,0.99124,-58.01,0.999974,-58.01,0.996692,-58.01,0.999194,-58.01,0.998383,-58.01,0.998856,-58.01,0.999977,-58.01,0.933332,-58.01,0.997716,-58.01,0.655471,-58.01,0.990293,-58.01,0.981765,-58.01,0.774155,-58.01,0.996341,-58.01,0.965621,-58.01,0.448359,-58.01,0.999887,-58.01,0.650684,-58.01,0.747865,-58.01,0.939765,-58.01,0.843906,-58.01,0.960983,-58.01,0.684287,-58.01,0.999183,-58.01,0.999804,-58.01,0.989812,-58.01,0.999977,-58.01,0.999194,-58.01,0.997049,-58.01,0.99767,-58.01,0.996511,-58.01,0.999351,-58.01,0.995722,-58.01,0.973027,-58.01,0.999936,-58.01,0.983344,-58.01,0.997013,-58.01,0.999954,-58.01,0.931646,-58.01,0.99997,-58.01,0.999927,-58.01,0.983057,-58.01,0.999966,-58.01,0.969967,-58.01,0.962096,-58.01,0.957779,-58.01,0.999954,-58.01,0.991088,-58.01,0.997052,-58.01,0.937431,-58.01,0.939765,-58.01,0.579998,-58.01,0.999805
-56.01,0.999976,-56.01,0.561576,-56.01,0.998569,-56.01,0.999999,-56.01,0.995278,-56.01,0.989337,-56.01,0.735435,-56.01,0.988218,-56.01,0.999979,-56.01,0.99507,-56.01,0.998553,-56.01,0.997709,-56.01,0.998262,-56.01,0.999958,-56.01,0.917511,-56.01,0.995907,-56.01,0.900614,-56.01,0.987027,-56.01,0.976554,-56.01,0.73457,-56.01,0.994548,-56.01,0.956367,-56.01,0.419019,-56.01,0.999795,-56.01,0.582765,-56.01,0.697705,-56.01,0.924636,-56.01,0.820344,-56.01,0.944745,-56.01,0.637987,-56.01,0.998536,-56.01,0.999648,-56.01,0.988223,-56.01,0.999961,-56.01,0.998661,-56.01,0.995731,-56.01,0.996728,-56.01,0.995117,-56.01,0.998401,-56.01,0.994332,-56.01,0.964512,-56.01,0.99992,-56.01,0.97695,-56.01,0.995826,-56.01,0.999931,-56.01,0.901313,-56.01,0.999948,-56.01,0.999888,-56.01,0.977391,-56.01,0.999963,-56.01,0.960392,-56.01,0.948088,-56.01,0.950513,-56.01,0.999931,-56.01,0.984206,-56.01,0.995736,-56.01,0.921961,-56.01,0.924636,-56.01,0.535739,-56.01,0.999465
-54.01,0.999986,-54.01,0.521501,-54.01,0.997413,-54.01,0.999997,-54.01,0.993662,-54.01,0.98469,-54.01,0.694289,-54.01,0.984168,-54.01,0.999986,-54.01,0.992661,-54.01,0.99739,-54.01,0.996745,-54.01,0.997371,-54.01,0.999926,-54.01,0.898493,-54.01,0.992632,-54.01,1,-54.01,0.982928,-54.01,0.96993,-54.01,0.693284,-54.01,0.991887,-54.01,0.944871,-54.01,0.391547,-54.01,0.999631,-54.01,0.53325,-54.01,0.641772,-54.01,0.906223,-54.01,0.795773,-54.01,0.921698,-54.01,0.589072,-54.01,0.997362,-54.01,0.999365,-54.01,0.986621,-54.01,0.999933,-54.01,0.997778,-54.01,0.993832,-54.01,0.995408,-54.01,0.993164,-54.01,0.996567,-54.01,0.992545,-54.01,0.953607,-54.01,0.999892,-54.01,0.968171,-54.01,0.994175,-54.01,0.999896,-54.01,0.859585,-54.01,0.99991,-54.01,0.999821,-54.01,0.969935,-54.01,0.999958,-54.01,0.947987,-54.01,0.929261,-54.01,0.94174,-54.01,0.999896,-54.01,0.972317,-54.01,0.993839,-54.01,0.90316,-54.01,0.906223,-54.01,0.492668,-54.01,0.99871
-52.01,0.999995,-52.01,0.483326,-52.01,0.995567,-52.01,0.999992,-52.01,0.991503,-52.01,0.978103,-52.01,0.652519,-52.01,0.978749,-52.01,0.999993,-52.01,0.98909,-52.01,0.995264,-52.01,0.995359,-52.01,0.996043,-52.01,0.999874,-52.01,0.875836,-52.01,0.986684,-52.01,0.91178,-52.01,0.977757,-52.01,0.961544,-52.01,0.65137,-52.01,0.987956,-52.01,0.930685,-52.01,0.365578,-52.01,0.999339,-52.01,0.493157,-52.01,0.58096,-52.01,0.884016,-52.01,0.771031,-52.01,0.889121,-52.01,0.538407,-52.01,0.995218,-52.01,0.998847,-52.01,0.98487,-52.01,0.999884,-52.01,0.996315,-52.01,0.991109,-52.01,0.993561,-52.01,0.990431,-52.01,0.993187,-52.01,0.990322,-52.01,0.939889,-52.01,0.999844,-52.01,0.956186,-52.01,0.991882,-52.01,0.999844,-52.01,0.804101,-52.01,0.999846,-52.01,0.999706,-52.01,0.960171,-52.01,0.999952,-52.01,0.932055,-52.01,0.904217,-52.01,0.930869,-52.01,0.999844,-52.01,0.952336,-52.01,0.991119,-52.01,0.88051,-52.01,0.884016,-52.01,0.451319,-52.01,0.997122
