Test potential (mV),2020_Aslanidi_2009_atrial,Test potential (mV),2020_Aslanidi_2009_purkinje,Test potential (mV),2020_Beeler_1977,Test potential (mV),2020_Bondarenko_2004,Test potential (mV),2020_Cabo_2003,Test potential (mV),2020_Corrias_2011,Test potential (mV),2020_Cortassa_2006,Test potential (mV),2020_Courtemanche_1998,Test potential (mV),2020_Decker_2009,Test potential (mV),2020_Demir 1999,Test potential (mV),2020_DiFrancesco_1985,Test potential (mV),2020_Dokos_1996,Test potential (mV),2020_Faber_2007,Test potential (mV),2020_Fox_2002,Test potential (mV),2020_Grandi_2010,Test potential (mV),2020_Hilgemann_1987,Test potential (mV),2020_Hund_2004,Test potential (mV),2020_Inada_2009,Test potential (mV),2020_Iyer 2004,Test potential (mV),2020_Jafri_1998,Test potential (mV),2020_Kurata_2002,Test potential (mV),2020_Li_2010,Test potential (mV),2020_Li_2011,Test potential (mV),2020_Lindblad_1996,Test potential (mV),2020_Livshitz_2007,Test potential (mV),2020_Lovell_2004,Test potential (mV),2020_Luo_1994,Test potential (mV),2020_Mahajan_2008,Test potential (mV),2020_Matsuoka_2003,Test potential (mV),2020_McAllister_1975,Test potential (mV),2020_Noble_1991,Test potential (mV),2020_Noble_1998,Test potential (mV),2020_Nygren_1998,Test potential (mV),2020_ohara_2011,Test potential (mV),2020_Paci_2013,Test potential (mV),2020_Pandi_2001,Test potential (mV),2020_Priebe_1998,Test potential (mV),2020_Ramirez_2000,Test potential (mV),2020_Shannon_2004,Test potential (mV),2020_ten_Tusscher_2004,Test potential (mV),2020_ten_Tusscher_2006,Test potential (mV),2020_Tomek_2019,Test potential (mV),2020_Varela_2016,Test potential (mV),2020_Wilders_1991,Test potential (mV),2020_Winslow_1999,Test potential (mV),2020_Zhang_2000,Test potential (mV),Bartolucci 2020,Test potential (mV),Trovato 2020,Test potential (mV),Grandi 2011,Test potential (mV),Heijman_2011,Test potential (mV),Fink_2008,Test potential (mV),Hund 2008 (NZ)(ICaL),Test potential (mV),Kernik 2019 (ICaL),Test potential (mV),Koivumaki 2011,Test potential (mV),Michailova 2005,Test potential (mV),Nordin 1993 (ICaL),Test potential (mV),Pasek 2006,Test potential (mV),Sato 2006 (ICaL),Test potential (mV),Zeng 1995 (ICaL),Test potential (mV),Liu 1993
-40.01,0.0091952,-40.01,0.00166494,-40.01,0.158525,-40.01,2.96073E-05,-40.01,0.000182514,-40.01,0.00971906,-40.01,9.81E-09,-40.01,0.023042,-40.01,0.00375833,-40.01,0.0128485,-40.01,0.0113713,-40.01,0.00800827,-40.01,0.00246978,-40.01,0.013425,-40.01,0.00288003,-40.01,0.0111606,-40.01,0.00144793,-40.01,0.00398836,-40.01,0.000432331,-40.01,9.91122E-06,-40.01,0.0133194,-40.01,0.0039251,-40.01,0.00544588,-40.01,0.00272514,-40.01,0.00162544,-40.01,0.16909,-40.01,0.00795871,-40.01,0.00743405,-40.01,0.0113885,-40.01,0.48869,-40.01,0.0113386,-40.01,0.0114,-40.01,0.00545485,-40.01,0.000227417,-40.01,0.00798981,-40.01,0.00744057,-40.01,0.00290607,-40.01,0.00675621,-40.01,0.0139798,-40.01,0.00943727,-40.01,0.0146259,-40.01,1.12E-12,-40.01,0.000501624,-40.01,0.0146133,-40.01,1.03E-08,-40.01,0.0412791,-40.01,0.000204652,-40.01,0.000522017,-40.01,0.0057123,-40.01,0.000179643,-40.01,0.00280522,-40.01,0.00164194,-40.01,0.0672479,-40.01,0.00748508,-40.01,8.21E-09,-40.01,0.00638998,-40.01,0.0074569,-40.01,0.00436585,-40.01,0.00795871,-40.01,0.0486859
-38.01,0.0119208,-38.01,0.00218683,-38.01,0.182841,-38.01,4.69755E-05,-38.01,0.000259192,-38.01,0.013847,-38.01,3.96E-08,-38.01,0.0293572,-38.01,0.00464024,-38.01,0.0176322,-38.01,0.0171363,-38.01,0.0108078,-38.01,0.00358891,-38.01,0.0183854,-38.01,0.00397473,-38.01,0.0158357,-38.01,0.00189555,-38.01,0.00537467,-38.01,0.000728703,-38.01,3.70557E-05,-38.01,0.0184594,-38.01,0.00533892,-38.01,0.0069528,-38.01,0.0034645,-38.01,0.00214716,-38.01,0.195962,-38.01,0.0108124,-38.01,0.00952345,-38.01,0.0182161,-38.01,0.533732,-38.01,0.0177935,-38.01,0.0181001,-38.01,0.00767734,-38.01,0.000364758,-38.01,0.0105959,-38.01,0.0110468,-38.01,0.00450267,-38.01,0.00939175,-38.01,0.0190118,-38.01,0.0122846,-38.01,0.019004,-38.01,7.80E-11,-38.01,0.000745765,-38.01,0.0191983,-38.01,4.17E-08,-38.01,0.0563155,-38.01,0.000328281,-38.01,0.000837116,-38.01,0.00786964,-38.01,0.00032336,-38.01,0.00365476,-38.01,0.00216573,-38.01,0.0873252,-38.01,0.0105639,-38.01,3.33E-08,-38.01,0.0111887,-38.01,0.0110708,-38.01,0.00590461,-38.01,0.0108124,-38.01,0.0794615
-36.01,0.0154787,-36.01,0.00286788,-36.01,0.208581,-36.01,3.62824E-05,-36.01,0.000368065,-36.01,0.0196669,-36.01,1.59E-07,-36.01,0.0373223,-36.01,0.00572784,-36.01,0.0241317,-36.01,0.0252239,-36.01,0.014568,-36.01,0.00516794,-36.01,0.0251568,-36.01,0.00547516,-36.01,0.0218063,-36.01,0.00243956,-36.01,0.00723207,-36.01,0.00121236,-36.01,0.000133661,-36.01,0.0255214,-36.01,0.00725634,-36.01,0.00886855,-36.01,0.00441741,-36.01,0.0028333,-36.01,0.22633,-36.01,0.0146472,-36.01,0.0121912,-36.01,0.0287507,-36.01,0.572811,-36.01,0.0275428,-36.01,0.0284298,-36.01,0.0107924,-36.01,0.000584932,-36.01,0.0140323,-36.01,0.0163546,-36.01,0.00687028,-36.01,0.0130347,-36.01,0.0256375,-36.01,0.0159766,-36.01,0.0246598,-36.01,2.84E-09,-36.01,0.00110768,-36.01,0.0249825,-36.01,1.68E-07,-36.01,0.0769706,-36.01,0.000526533,-36.01,0.00134195,-36.01,0.0108067,-36.01,0.000575934,-36.01,0.00475966,-36.01,0.00285683,-36.01,0.112572,-36.01,0.0148416,-36.01,1.34E-07,-36.01,0.0189207,-36.01,0.0163888,-36.01,0.00797961,-36.01,0.0146472,-36.01,0.121015
-34.01,0.0201028,-34.01,0.00375613,-34.01,0.235152,-34.01,4.53613E-05,-34.01,0.000522629,-34.01,0.0278267,-34.01,6.28E-07,-34.01,0.0473202,-34.01,0.00706837,-34.01,0.0329307,-34.01,0.0363543,-34.01,0.0196036,-34.01,0.0073694,-34.01,0.0343809,-34.01,0.0075264,-34.01,0.0294355,-34.01,0.00308676,-34.01,0.00971243,-34.01,0.00198823,-34.01,0.000459678,-34.01,0.0351735,-34.01,0.00985112,-34.01,0.0112948,-34.01,0.00564504,-34.01,0.00373821,-34.01,0.260288,-34.01,0.0197762,-34.01,0.0155929,-34.01,0.0442784,-34.01,0.605631,-34.01,0.0419729,-34.01,0.0440471,-34.01,0.0151458,-34.01,0.000937745,-34.01,0.0185433,-34.01,0.0240971,-34.01,0.0103195,-34.01,0.0180515,-34.01,0.0343114,-34.01,0.020754,-34.01,0.0319439,-34.01,5.96E-08,-34.01,0.00164349,-34.01,0.0321424,-34.01,6.69E-07,-34.01,0.104684,-34.01,0.000844358,-34.01,0.00215,-34.01,0.0147853,-34.01,0.00101083,-34.01,0.00619523,-34.01,0.0037677,-34.01,0.143856,-34.01,0.0207593,-34.01,5.34E-07,-34.01,0.0308249,-34.01,0.0241436,-34.01,0.0107781,-34.01,0.0197762,-34.01,0.171051
-32.01,0.0260655,-32.01,0.00491934,-32.01,0.262039,-32.01,9.03544E-05,-32.01,0.00074202,-32.01,0.0391913,-32.01,2.45286E-06,-32.01,0.0597962,-32.01,0.00871938,-32.01,0.044771,-32.01,0.0515299,-32.01,0.0263201,-32.01,0.0103996,-32.01,0.0468956,-32.01,0.0103226,-32.01,0.0393984,-32.01,0.00386732,-32.01,0.0130104,-32.01,0.00320958,-32.01,0.001486,-32.01,0.0482747,-32.01,0.0133511,-32.01,0.014355,-32.01,0.00722635,-32.01,0.00493783,-32.01,0.29787,-32.01,0.0265984,-32.01,0.0199232,-32.01,0.0658889,-32.01,0.632499,-32.01,0.0628539,-32.01,0.0670734,-32.01,0.0212059,-32.01,0.00150274,-32.01,0.0244856,-32.01,0.0352162,-32.01,0.0152506,-32.01,0.024926,-32.01,0.0456563,-32.01,0.0269193,-32.01,0.0412876,-32.01,7.85E-07,-32.01,0.0024356,-32.01,0.0408376,-32.01,2.63135E-06,-32.01,0.14058,-32.01,0.00135364,-32.01,0.00344136,-32.01,0.0201468,-32.01,0.00173922,-32.01,0.00805801,-32.01,0.00497166,-32.01,0.18195,-32.01,0.028905,-32.01,2.10036E-06,-32.01,0.0482707,-32.01,0.0352688,-32.01,0.0145528,-32.01,0.0265984,-32.01,0.224926
-30.01,0.0336621,-30.01,0.00644065,-30.01,0.289015,-30.01,0.000189707,-30.01,0.00105335,-30.01,0.0548871,-30.01,9.38336E-06,-30.01,0.0752537,-30.01,0.0107506,-30.01,0.0605598,-30.01,0.0720694,-30.01,0.0352323,-30.01,0.0145138,-30.01,0.063759,-30.01,0.0141219,-30.01,0.0526751,-30.01,0.00484506,-30.01,0.0173701,-30.01,0.00509307,-30.01,0.00444305,-30.01,0.0658936,-30.01,0.0180487,-30.01,0.0181968,-30.01,0.00926653,-30.01,0.00652556,-30.01,0.339047,-30.01,0.0356131,-30.01,0.0254243,-30.01,0.0942001,-30.01,0.654126,-30.01,0.0922528,-30.01,0.0999414,-30.01,0.0295946,-30.01,0.00240661,-30.01,0.0324056,-30.01,0.0507591,-30.01,0.0221569,-30.01,0.0342851,-30.01,0.060482,-30.01,0.0348482,-30.01,0.0532123,-30.01,6.97954E-06,-30.01,0.00360484,-30.01,0.0512419,-30.01,1.01558E-05,-30.01,0.185128,-30.01,0.00216911,-30.01,0.00549985,-30.01,0.027331,-30.01,0.00291615,-30.01,0.010471,-30.01,0.0065715,-30.01,0.227389,-30.01,0.0400414,-30.01,8.10811E-06,-30.01,0.0725434,-30.01,0.0507788,-30.01,0.0196424,-30.01,0.0356131,-30.01,0.27788
-28.01,0.0431852,-28.01,0.00842105,-28.01,0.316231,-28.01,0.000386111,-28.01,0.001495,-28.01,0.0763256,-28.01,3.49139E-05,-28.01,0.0942416,-28.01,0.0132458,-28.01,0.0813851,-28.01,0.0994501,-28.01,0.0469796,-28.01,0.0200194,-28.01,0.0862413,-28.01,0.0192642,-28.01,0.070408,-28.01,0.00608192,-28.01,0.0230897,-28.01,0.00793381,-28.01,0.0120819,-28.01,0.0892943,-28.01,0.0243083,-28.01,0.0229937,-28.01,0.0119077,-28.01,0.00861908,-28.01,0.383678,-28.01,0.0474299,-28.01,0.0323945,-28.01,0.129315,-28.01,0.67143,-28.01,0.132204,-28.01,0.144948,-28.01,0.0411179,-28.01,0.00385054,-28.01,0.042632,-28.01,0.0715605,-28.01,0.0316105,-28.01,0.0469198,-28.01,0.0797434,-28.01,0.045,-28.01,0.0683313,-28.01,4.43956E-05,-28.01,0.00532777,-28.01,0.0636212,-28.01,0.000038196,-28.01,0.238026,-28.01,0.00347342,-28.01,0.00876845,-28.01,0.0368983,-28.01,0.00473549,-28.01,0.0135897,-28.01,0.00869933,-28.01,0.28029,-28.01,0.0551179,-28.01,3.05023E-05,-28.01,0.104566,-28.01,0.0713953,-28.01,0.0264973,-28.01,0.0474299,-28.01,0.327137
-26.01,0.0548908,-26.01,0.0109879,-26.01,0.344144,-26.01,0.000780834,-26.01,0.00212124,-26.01,0.105164,-26.01,0.000125151,-26.01,0.117328,-26.01,0.0163039,-26.01,0.108533,-26.01,0.134951,-26.01,0.0623356,-26.01,0.0272742,-26.01,0.115746,-26.01,0.0261909,-26.01,0.093686,-26.01,0.00761801,-26.01,0.0305194,-26.01,0.0121174,-26.01,0.0294235,-26.01,0.119859,-26.01,0.0325643,-26.01,0.0289452,-26.01,0.0153374,-26.01,0.0113687,-26.01,0.431452,-26.01,0.0627678,-26.01,0.0411959,-26.01,0.170961,-26.01,0.685371,-26.01,0.184077,-26.01,0.203465,-26.01,0.0567808,-26.01,0.00615234,-26.01,0.0558504,-26.01,0.0977393,-26.01,0.0442158,-26.01,0.0637944,-26.01,0.104452,-26.01,0.0579239,-26.01,0.0873405,-26.01,0.000212686,-26.01,0.00786132,-26.01,0.0784358,-26.01,0.000138678,-26.01,0.298273,-26.01,0.00555605,-26.01,0.0139298,-26.01,0.0495479,-26.01,0.00740799,-26.01,0.0176089,-26.01,0.0115248,-26.01,0.340166,-26.01,0.0752141,-26.01,0.000110779,-26.01,0.144636,-26.01,0.0969471,-26.01,0.035708,-26.01,0.0627678,-26.01,0.372235
-24.01,0.068979,-24.01,0.0143017,-24.01,0.373285,-24.01,0.00163889,-24.01,0.00300865,-24.01,0.143144,-24.01,0.000427024,-24.01,0.145057,-24.01,0.0200393,-24.01,0.143423,-24.01,0.17919,-24.01,0.0822054,-24.01,0.0366805,-24.01,0.153601,-24.01,0.0354656,-24.01,0.123297,-24.01,0.0094823,-24.01,0.0400539,-24.01,0.0181247,-24.01,0.0634516,-24.01,0.15891,-24.01,0.0433066,-24.01,0.0362766,-24.01,0.0197928,-24.01,0.0149636,-24.01,0.48181,-24.01,0.0824341,-24.01,0.0522617,-24.01,0.218599,-24.01,0.696842,-24.01,0.247797,-24.01,0.274999,-24.01,0.0777673,-24.01,0.00981092,-24.01,0.0726968,-24.01,0.128471,-24.01,0.0605176,-24.01,0.0860279,-24.01,0.135551,-24.01,0.0742577,-24.01,0.110989,-24.01,0.000801196,-24.01,0.011577,-24.01,0.0964092,-24.01,0.00048026,-24.01,0.364149,-24.01,0.00887302,-24.01,0.0220209,-24.01,0.0661252,-24.01,0.0111261,-24.01,0.0227689,-24.01,0.0152687,-24.01,0.405789,-24.01,0.101374,-24.01,0.000383785,-24.01,0.192274,-24.01,0.126112,-24.01,0.0480335,-24.01,0.0824341,-24.01,0.413968
-22.01,0.0856186,-22.01,0.0185646,-22.01,0.404036,-22.01,0.00372889,-22.01,0.00426509,-22.01,0.191754,-22.01,0.00136718,-22.01,0.177887,-22.01,0.0245815,-22.01,0.187356,-22.01,0.231721,-22.01,0.107598,-22.01,0.0486712,-22.01,0.200738,-22.01,0.047789,-22.01,0.159485,-22.01,0.0116991,-22.01,0.052126,-22.01,0.0265236,-22.01,0.120594,-22.01,0.207404,-22.01,0.0570544,-22.01,0.0452387,-22.01,0.0255651,-22.01,0.0196386,-22.01,0.533889,-22.01,0.107272,-22.01,0.0660979,-22.01,0.271412,-22.01,0.706609,-22.01,0.321286,-22.01,0.356615,-22.01,0.105357,-22.01,0.0156027,-22.01,0.0908935,-22.01,0.162556,-22.01,0.080861,-22.01,0.114827,-22.01,0.173742,-22.01,0.0947124,-22.01,0.140021,-22.01,0.00246167,-22.01,0.0170075,-22.01,0.118524,-22.01,0.00156336,-22.01,0.433126,-22.01,0.0141363,-22.01,0.0345903,-22.01,0.087604,-22.01,0.0160326,-22.01,0.0293621,-22.01,0.0202157,-22.01,0.475178,-22.01,0.13419,-22.01,0.00124997,-22.01,0.246241,-22.01,0.157275,-22.01,0.0644231,-22.01,0.107272,-22.01,0.453303
-20.01,0.105026,-20.01,0.0240314,-20.01,0.436754,-20.01,0.00936816,-20.01,0.00604201,-20.01,0.251689,-20.01,0.00404177,-20.01,0.216115,-20.01,0.0300762,-20.01,0.241075,-20.01,0.29089,-20.01,0.139563,-20.01,0.0636887,-20.01,0.257889,-20.01,0.0640023,-20.01,0.201793,-20.01,0.0142875,-20.01,0.0672256,-20.01,0.0379437,-20.01,0.202663,-20.01,0.265521,-20.01,0.0743418,-20.01,0.0561072,-20.01,0.0330035,-20.01,0.0256817,-20.01,0.586529,-20.01,0.138067,-20.01,0.0832792,-20.01,0.32822,-20.01,0.715294,-20.01,0.400597,-20.01,0.44327,-20.01,0.140756,-20.01,0.0247214,-20.01,0.111804,-20.01,0.199188,-20.01,0.105243,-20.01,0.151347,-20.01,0.219278,-20.01,0.120035,-20.01,0.175083,-20.01,0.00636401,-20.01,0.024907,-20.01,0.145945,-20.01,0.00470394,-20.01,0.502045,-20.01,0.0224429,-20.01,0.0538908,-20.01,0.115026,-20.01,0.0222155,-20.01,0.0377352,-20.01,0.0267274,-20.01,0.545779,-20.01,0.172772,-20.01,0.00376419,-20.01,0.304718,-20.01,0.18974,-20.01,0.0860168,-20.01,0.138067,-20.01,0.490906
-18.01,0.127535,-18.01,0.0310239,-18.01,0.471487,-18.01,0.025117,-18.01,0.00855113,-18.01,0.322232,-18.01,0.010853,-18.01,0.259783,-18.01,0.0366977,-18.01,0.304284,-18.01,0.354079,-18.01,0.179066,-18.01,0.0821562,-18.01,0.324709,-18.01,0.0850648,-18.01,0.249059,-18.01,0.0172613,-18.01,0.0859753,-18.01,0.0530309,-18.01,0.304419,-18.01,0.332255,-18.01,0.0957548,-18.01,0.0691833,-18.01,0.0425143,-18.01,0.0334441,-18.01,0.638355,-18.01,0.175402,-18.01,0.104432,-18.01,0.38743,-18.01,0.723367,-18.01,0.480817,-18.01,0.529097,-18.01,0.184854,-18.01,0.0389642,-18.01,0.141205,-18.01,0.237772,-18.01,0.133274,-18.01,0.196451,-18.01,0.271754,-18.01,0.15094,-18.01,0.216585,-18.01,0.0142154,-18.01,0.0363232,-18.01,0.179882,-18.01,0.0128534,-18.01,0.56771,-18.01,0.035447,-18.01,0.0830433,-18.01,0.149377,-18.01,0.029739,-18.01,0.0482884,-18.01,0.0352581,-18.01,0.614813,-18.01,0.212875,-18.01,0.0103021,-18.01,0.3656,-18.01,0.223536,-18.01,0.114105,-18.01,0.175402,-18.01,0.527133
-16.01,0.15354,-16.01,0.0399474,-16.01,0.507632,-16.01,0.0655675,-16.01,0.0120867,-16.01,0.400827,-16.01,0.0260851,-16.01,0.308604,-16.01,0.0446709,-16.01,0.375317,-16.01,0.418264,-16.01,0.226809,-16.01,0.104443,-16.01,0.399511,-16.01,0.11199,-16.01,0.299603,-16.01,0.0206307,-16.01,0.109245,-16.01,0.0723838,-16.01,0.415291,-16.01,0.405225,-16.01,0.122041,-16.01,0.0847989,-16.01,0.0545487,-16.01,0.0433516,-16.01,0.687962,-16.01,0.219487,-16.01,0.130198,-16.01,0.447119,-16.01,0.731171,-16.01,0.557337,-16.01,0.60899,-16.01,0.237998,-16.01,0.0609408,-16.01,0.17713,-16.01,0.277238,-16.01,0.164431,-16.01,0.250405,-16.01,0.329992,-16.01,0.188011,-16.01,0.264544,-16.01,0.0280601,-16.01,0.0526714,-16.01,0.221395,-16.01,0.0313811,-16.01,0.627581,-16.01,0.0555544,-16.01,0.125999,-16.01,0.191395,-16.01,0.0387034,-16.01,0.0614666,-16.01,0.0463749,-16.01,0.679708,-16.01,0.247384,-16.01,0.0252308,-16.01,0.426794,-16.01,0.258298,-16.01,0.150016,-16.01,0.219487,-16.01,0.562154
-14.01,0.183263,-14.01,0.0513062,-14.01,0.544457,-14.01,0.147433,-14.01,0.0170542,-14.01,0.483209,-14.01,0.0555451,-14.01,0.361909,-14.01,0.0542831,-14.01,0.451161,-14.01,0.480652,-14.01,0.282983,-14.01,0.130829,-14.01,0.479385,-14.01,0.145721,-14.01,0.351536,-14.01,0.0244023,-14.01,0.138193,-14.01,0.0964784,-14.01,0.523874,-14.01,0.480931,-14.01,0.154215,-14.01,0.103316,-14.01,0.0695726,-14.01,0.0559148,-14.01,0.734099,-14.01,0.269984,-14.01,0.161184,-14.01,0.50525,-14.01,0.738938,-14.01,0.62683,-14.01,0.679646,-14.01,0.299898,-14.01,0.0942071,-14.01,0.220235,-14.01,0.315994,-14.01,0.198732,-14.01,0.312543,-14.01,0.392086,-14.01,0.231566,-14.01,0.31843,-14.01,0.0498841,-14.01,0.0757779,-14.01,0.271135,-14.01,0.0676457,-14.01,0.680189,-14.01,0.0860529,-14.01,0.18698,-14.01,0.241321,-14.01,0.049294,-14.01,0.0777428,-14.01,0.0607817,-14.01,0.738474,-14.01,0.277524,-14.01,0.0546965,-14.01,0.486462,-14.01,0.292944,-14.01,0.194914,-14.01,0.269984,-14.01,0.596059
-12.01,0.216489,-12.01,0.0657113,-12.01,0.581215,-12.01,0.264521,-12.01,0.0240055,-12.01,0.564241,-12.01,0.104423,-12.01,0.418642,-12.01,0.0658692,-12.01,0.527929,-12.01,0.539132,-12.01,0.347015,-12.01,0.161465,-12.01,0.560659,-12.01,0.186947,-12.01,0.403085,-12.01,0.028574,-12.01,0.174098,-12.01,0.125592,-12.01,0.621742,-12.01,0.555475,-12.01,0.193484,-12.01,0.125121,-12.01,0.0880153,-12.01,0.0717331,-12.01,0.775848,-12.01,0.325907,-12.01,0.197872,-12.01,0.559986,-12.01,0.746813,-12.01,0.687576,-12.01,0.739736,-12.01,0.369602,-12.01,0.143105,-12.01,0.270854,-12.01,0.352597,-12.01,0.237575,-12.01,0.381078,-12.01,0.455654,-12.01,0.281519,-12.01,0.377069,-12.01,0.0811548,-12.01,0.107832,-12.01,0.329061,-12.01,0.128135,-12.01,0.725152,-12.01,0.130977,-12.01,0.26903,-12.01,0.298649,-12.01,0.0617841,-12.01,0.097597,-12.01,0.0793348,-12.01,0.789901,-12.01,0.316698,-12.01,0.104553,-12.01,0.543165,-12.01,0.326308,-12.01,0.249482,-12.01,0.325907,-12.01,0.6289
-10.01,0.252459,-10.01,0.0838729,-10.01,0.617216,-10.01,0.392466,-10.01,0.0336796,-10.01,0.639159,-10.01,0.174085,-10.01,0.477424,-10.01,0.0797903,-10.01,0.601657,-10.01,0.592426,-10.01,0.417396,-10.01,0.196347,-10.01,0.639565,-10.01,0.235864,-10.01,0.452823,-10.01,0.0331245,-10.01,0.217968,-10.01,0.159743,-10.01,0.704715,-10.01,0.625462,-10.01,0.240921,-10.01,0.150606,-10.01,0.110196,-10.01,0.0914785,-10.01,0.812702,-10.01,0.385642,-10.01,0.240522,-10.01,0.609971,-10.01,0.754875,-10.01,0.739235,-10.01,0.78945,-10.01,0.445337,-10.01,0.211929,-10.01,0.328791,-10.01,0.386435,-10.01,0.284025,-10.01,0.453184,-10.01,0.518225,-10.01,0.337277,-10.01,0.438695,-10.01,0.122459,-10.01,0.151138,-10.01,0.394202,-10.01,0.214124,-10.01,0.762904,-10.01,0.194361,-10.01,0.371666,-10.01,0.361992,-10.01,0.0765076,-10.01,0.121499,-10.01,0.103033,-10.01,0.833571,-10.01,0.369361,-10.01,0.176948,-10.01,0.59591,-10.01,0.357868,-10.01,0.31355,-10.01,0.385642,-10.01,0.660691
-8.01,0.289999,-8.01,0.106561,-8.01,0.651881,-8.01,0.511036,-8.01,0.0470411,-8.01,0.704641,-8.01,0.260345,-8.01,0.536664,-8.01,0.0964226,-8.01,0.66911,-8.01,0.640013,-8.01,0.49168,-8.01,0.235294,-8.01,0.712826,-8.01,0.291953,-8.01,0.499762,-8.01,0.0380006,-8.01,0.270099,-8.01,0.198656,-8.01,0.772141,-8.01,0.688594,-8.01,0.296985,-8.01,0.180121,-8.01,0.136241,-8.01,0.115849,-8.01,0.84457,-8.01,0.447128,-8.01,0.28906,-8.01,0.654474,-8.01,0.763152,-8.01,0.782371,-8.01,0.829855,-8.01,0.524246,-8.01,0.303069,-8.01,0.393062,-8.01,0.417908,-8.01,0.341869,-8.01,0.52542,-8.01,0.577638,-8.01,0.397713,-8.01,0.501156,-8.01,0.173357,-8.01,0.207558,-8.01,0.464566,-8.01,0.31944,-8.01,0.794347,-8.01,0.278552,-8.01,0.488776,-8.01,0.42913,-8.01,0.0938346,-8.01,0.14991,-8.01,0.132957,-8.01,0.869712,-8.01,0.42951,-8.01,0.268095,-8.01,0.644123,-8.01,0.387975,-8.01,0.385777,-8.01,0.447128,-8.01,0.691394
-6.01,0.327794,-6.01,0.134526,-6.01,0.684765,-6.01,0.611854,-6.01,0.0653052,-6.01,0.759231,-6.01,0.354961,-6.01,0.594725,-6.01,0.116151,-6.01,0.728267,-6.01,0.681922,-6.01,0.56675,-6.01,0.277944,-6.01,0.777994,-6.01,0.353855,-6.01,0.54334,-6.01,0.0431075,-6.01,0.329778,-6.01,0.241762,-6.01,0.825478,-6.01,0.743736,-6.01,0.361102,-6.01,0.213912,-6.01,0.166011,-6.01,0.145474,-6.01,0.871692,-6.01,0.508163,-6.01,0.342977,-6.01,0.693372,-6.01,0.771642,-6.01,0.818004,-6.01,0.862361,-6.01,0.602518,-6.01,0.414407,-6.01,0.461634,-6.01,0.448115,-6.01,0.413618,-6.01,0.594389,-6.01,0.632318,-6.01,0.461262,-6.01,0.562284,-6.01,0.232464,-6.01,0.277629,-6.01,0.537315,-6.01,0.43277,-6.01,0.820543,-6.01,0.381844,-6.01,0.608926,-6.01,0.497313,-6.01,0.114154,-6.01,0.18331,-6.01,0.170132,-6.01,0.898987,-6.01,0.490863,-6.01,0.369309,-6.01,0.68758,-6.01,0.417601,-6.01,0.46355,-6.01,0.508163,-6.01,0.720902
-4.01,0.364682,-4.01,0.168372,-4.01,0.715558,-4.01,0.694299,-4.01,0.0899228,-4.01,0.803102,-4.01,0.449119,-4.01,0.650089,-4.01,0.139356,-4.01,0.778391,-4.01,0.718523,-4.01,0.639297,-4.01,0.323763,-4.01,0.833604,-4.01,0.419442,-4.01,0.583335,-4.01,0.048316,-4.01,0.395241,-4.01,0.288242,-4.01,0.867055,-4.01,0.790656,-4.01,0.431484,-4.01,0.25204,-4.01,0.199065,-4.01,0.18078,-4.01,0.894527,-4.01,0.566734,-4.01,0.401283,-4.01,0.727013,-4.01,0.780318,-4.01,0.847285,-4.01,0.88839,-4.01,0.676158,-4.01,0.537609,-4.01,0.53136,-4.01,0.47834,-4.01,0.498564,-4.01,0.657367,-4.01,0.681373,-4.01,0.526107,-4.01,0.620263,-4.01,0.297711,-4.01,0.359614,-4.01,0.609192,-4.01,0.542518,-4.01,0.842515,-4.01,0.496893,-4.01,0.719192,-4.01,0.563722,-4.01,0.137855,-4.01,0.222226,-4.01,0.215318,-4.01,0.922292,-4.01,0.549273,-4.01,0.470527,-4.01,0.72632,-4.01,0.447891,-4.01,0.543256,-4.01,0.566734,-4.01,0.74903
-2.01,0.399851,-2.01,0.208386,-2.01,0.744077,-2.01,0.760559,-2.01,0.122489,-2.01,0.837475,-2.01,0.536261,-2.01,0.701511,-2.01,0.166383,-2.01,0.819761,-2.01,0.750353,-2.01,0.706387,-2.01,0.372068,-2.01,0.879187,-2.01,0.486105,-2.01,0.619775,-2.01,0.053491,-2.01,0.463889,-2.01,0.337097,-2.01,0.899272,-2.01,0.829717,-2.01,0.505263,-2.01,0.294308,-2.01,0.23469,-2.01,0.221815,-2.01,0.913645,-2.01,0.621277,-2.01,0.462534,-2.01,0.756022,-2.01,0.78914,-2.01,0.871317,-2.01,0.909215,-2.01,0.741976,-2.01,0.659625,-2.01,0.598352,-2.01,0.509613,-2.01,0.592123,-2.01,0.712684,-2.01,0.724525,-2.01,0.590384,-2.01,0.673838,-2.01,0.366668,-2.01,0.449101,-2.01,0.677091,-2.01,0.640502,-2.01,0.861143,-2.01,0.61201,-2.01,0.810205,-2.01,0.625937,-2.01,0.165294,-2.01,0.267165,-2.01,0.268746,-2.01,0.940588,-2.01,0.602286,-2.01,0.56366,-2.01,0.760564,-2.01,0.479756,-2.01,0.620903,-2.01,0.621277,-2.01,0.775522
