environment | time (msec),interface | I_Ca | I_Catot (uA_per_uF),interface | membrane_potential | V_m (mV)
0,-6.28613e-5,-81.423
0.1,-6.28613e-5,-81.423
0.2,-6.28612e-5,-81.423
0.3,-6.2861e-5,-81.423
0.4,-6.28609e-5,-81.4231
0.5,-6.28607e-5,-81.4231
0.6,-6.28606e-5,-81.4231
0.7,-6.28604e-5,-81.4231
0.8,-6.28602e-5,-81.4232
0.9,-6.286e-5,-81.4232
1,-6.28598e-5,-81.4232
1.1,-6.28596e-5,-81.4232
1.2,-6.28594e-5,-81.4233
1.3,-6.28592e-5,-81.4233
1.4,-6.2859e-5,-81.4233
1.5,-6.28588e-5,-81.4233
1.6,-6.28586e-5,-81.4233
1.7,-6.28584e-5,-81.4234
1.8,-6.28583e-5,-81.4234
1.9,-6.28581e-5,-81.4234
2,-6.28579e-5,-81.4234
2.1,-6.28577e-5,-81.4234
2.2,-6.28575e-5,-81.4235
2.3,-6.28573e-5,-81.4235
2.4,-6.28572e-5,-81.4235
2.5,-6.2857e-5,-81.4235
2.6,-6.28568e-5,-81.4235
2.7,-6.28567e-5,-81.4235
2.8,-6.28565e-5,-81.4236
2.9,-6.28563e-5,-81.4236
3,-6.28562e-5,-81.4236
3.1,-6.2856e-5,-81.4236
3.2,-6.28559e-5,-81.4236
3.3,-6.28557e-5,-81.4236
3.4,-6.28555e-5,-81.4237
3.5,-6.28554e-5,-81.4237
3.6,-6.28553e-5,-81.4237
3.7,-6.28551e-5,-81.4237
3.8,-6.2855e-5,-81.4237
3.9,-6.28548e-5,-81.4237
4,-6.28547e-5,-81.4238
4.1,-6.28545e-5,-81.4238
4.2,-6.28544e-5,-81.4238
4.3,-6.28543e-5,-81.4238
4.4,-6.28541e-5,-81.4238
4.5,-6.2854e-5,-81.4238
4.6,-6.28539e-5,-81.4238
4.7,-6.28538e-5,-81.4239
4.8,-6.28536e-5,-81.4239
4.9,-6.28535e-5,-81.4239
5,-6.28534e-5,-81.4239
5.1,-6.28533e-5,-81.4239
5.2,-6.28531e-5,-81.4239
5.3,-6.2853e-5,-81.4239
5.4,-6.28529e-5,-81.424
5.5,-6.28528e-5,-81.424
5.6,-6.28527e-5,-81.424
5.7,-6.28526e-5,-81.424
5.8,-6.28525e-5,-81.424
5.9,-6.28523e-5,-81.424
6,-6.28522e-5,-81.424
6.1,-6.28521e-5,-81.424
6.2,-6.2852e-5,-81.424
6.3,-6.28519e-5,-81.4241
6.4,-6.28518e-5,-81.4241
6.5,-6.28517e-5,-81.4241
6.6,-6.28516e-5,-81.4241
6.7,-6.28515e-5,-81.4241
6.8,-6.28514e-5,-81.4241
6.9,-6.28513e-5,-81.4241
7,-6.28512e-5,-81.4241
7.1,-6.28511e-5,-81.4241
7.2,-6.28511e-5,-81.4242
7.3,-6.2851e-5,-81.4242
7.4,-6.28509e-5,-81.4242
7.5,-6.28508e-5,-81.4242
7.6,-6.28507e-5,-81.4242
7.7,-6.28506e-5,-81.4242
7.8,-6.28505e-5,-81.4242
7.9,-6.28504e-5,-81.4242
8,-6.28503e-5,-81.4242
8.1,-6.28503e-5,-81.4243
8.2,-6.28502e-5,-81.4243
8.3,-6.28501e-5,-81.4243
8.4,-6.285e-5,-81.4243
8.5,-6.28499e-5,-81.4243
8.6,-6.28499e-5,-81.4243
8.7,-6.28498e-5,-81.4243
8.8,-6.28497e-5,-81.4243
8.9,-6.28496e-5,-81.4243
9,-6.28495e-5,-81.4243
9.1,-6.28495e-5,-81.4243
9.2,-6.28494e-5,-81.4244
9.3,-6.28493e-5,-81.4244
9.4,-6.28492e-5,-81.4244
9.5,-6.28492e-5,-81.4244
9.6,-6.28491e-5,-81.4244
9.7,-6.2849e-5,-81.4244
9.8,-6.2849e-5,-81.4244
9.9,-6.28489e-5,-81.4244
10,-6.28488e-5,-81.4244
10.1,-6.28488e-5,-81.4244
10.2,-6.28487e-5,-81.4244
10.3,-6.28486e-5,-81.4244
10.4,-6.28486e-5,-81.4245
10.5,-6.28485e-5,-81.4245
10.6,-6.28484e-5,-81.4245
10.7,-6.28484e-5,-81.4245
