environment | time (msec),interface | I_Ca | I_Catot (uA_per_uF),interface | membrane_potential | V_m (mV)
0,-0.000188584,-81.423
0.1,-0.000188584,-81.423
0.2,-0.000188584,-81.423
0.3,-0.000188583,-81.423
0.4,-0.000188583,-81.423
0.5,-0.000188583,-81.423
0.6,-0.000188583,-81.423
0.7,-0.000188583,-81.4231
0.8,-0.000188582,-81.4231
0.9,-0.000188582,-81.4231
1,-0.000188582,-81.4231
1.1,-0.000188581,-81.4231
1.2,-0.000188581,-81.4231
1.3,-0.000188581,-81.4231
1.4,-0.000188581,-81.4231
1.5,-0.00018858,-81.4231
1.6,-0.00018858,-81.4231
1.7,-0.00018858,-81.4232
1.8,-0.00018858,-81.4232
1.9,-0.000188579,-81.4232
2,-0.000188579,-81.4232
2.1,-0.000188579,-81.4232
2.2,-0.000188579,-81.4232
2.3,-0.000188578,-81.4232
2.4,-0.000188578,-81.4232
2.5,-0.000188578,-81.4232
2.6,-0.000188578,-81.4232
2.7,-0.000188577,-81.4233
2.8,-0.000188577,-81.4233
2.9,-0.000188577,-81.4233
3,-0.000188577,-81.4233
3.1,-0.000188576,-81.4233
3.2,-0.000188576,-81.4233
3.3,-0.000188576,-81.4233
3.4,-0.000188576,-81.4233
3.5,-0.000188575,-81.4233
3.6,-0.000188575,-81.4233
3.7,-0.000188575,-81.4233
3.8,-0.000188575,-81.4234
3.9,-0.000188575,-81.4234
4,-0.000188574,-81.4234
4.1,-0.000188574,-81.4234
4.2,-0.000188574,-81.4234
4.3,-0.000188574,-81.4234
4.4,-0.000188573,-81.4234
4.5,-0.000188573,-81.4234
4.6,-0.000188573,-81.4234
4.7,-0.000188573,-81.4234
4.8,-0.000188573,-81.4234
4.9,-0.000188572,-81.4234
5,-0.000188572,-81.4235
5.1,-0.000188572,-81.4235
5.2,-0.000188572,-81.4235
5.3,-0.000188572,-81.4235
5.4,-0.000188571,-81.4235
5.5,-0.000188571,-81.4235
5.6,-0.000188571,-81.4235
5.7,-0.000188571,-81.4235
5.8,-0.000188571,-81.4235
5.9,-0.000188571,-81.4235
6,-0.00018857,-81.4235
6.1,-0.00018857,-81.4235
6.2,-0.00018857,-81.4235
6.3,-0.00018857,-81.4236
6.4,-0.00018857,-81.4236
6.5,-0.000188569,-81.4236
6.6,-0.000188569,-81.4236
6.7,-0.000188569,-81.4236
6.8,-0.000188569,-81.4236
6.9,-0.000188569,-81.4236
7,-0.000188569,-81.4236
7.1,-0.000188568,-81.4236
7.2,-0.000188568,-81.4236
7.3,-0.000188568,-81.4236
7.4,-0.000188568,-81.4236
7.5,-0.000188568,-81.4236
7.6,-0.000188568,-81.4236
7.7,-0.000188567,-81.4237
7.8,-0.000188567,-81.4237
7.9,-0.000188567,-81.4237
8,-0.000188567,-81.4237
8.1,-0.000188567,-81.4237
8.2,-0.000188567,-81.4237
8.3,-0.000188567,-81.4237
8.4,-0.000188566,-81.4237
8.5,-0.000188566,-81.4237
8.6,-0.000188566,-81.4237
8.7,-0.000188566,-81.4237
8.8,-0.000188566,-81.4237
8.9,-0.000188566,-81.4237
9,-0.000188565,-81.4237
9.1,-0.000188565,-81.4237
9.2,-0.000188565,-81.4238
9.3,-0.000188565,-81.4238
9.4,-0.000188565,-81.4238
9.5,-0.000188565,-81.4238
9.6,-0.000188565,-81.4238
9.7,-0.000188564,-81.4238
9.8,-0.000188564,-81.4238
9.9,-0.000188564,-81.4238
10,-0.000188564,-81.4238
10.1,-0.000188564,-81.4238
10.2,-0.000188564,-81.4238
10.3,-0.000188564,-81.4238
10.4,-0.000188563,-81.4238
10.5,-0.000188563,-81.4238
10.6,-0.000188563,-81.4238
10.7,-0.000188563,-81.4238
10.8,-0.000188563,-81.4239
10.9,-0.000188563,-81.4239
11,-0.000188563,-81.4239
11.1,-0.000188562,-81.4239
11.2,-0.000188562,-81.4239
11.3,-0.000188562,-81.4239
11.4,-0.000188562,-81.4239
11.5,-0.000188562,-81.4239
11.6,-0.000188562,-81.4239
11.7,-0.000188562,-81.4239
11.8,-0.000188562,-81.4239
11.9,-0.000188561,-81.4239
12,-0.000188561,-81.4239
12.1,-0.000188561,-81.4239
12.2,-0.000188561,-81.4239
12.3,-0.000188561,-81.4239
12.4,-0.000188561,-81.4239
12.5,-0.000188561,-81.424
12.6,-0.00018856,-81.424
12.7,-0.00018856,-81.424
12.8,-0.00018856,-81.424
12.9,-0.00018856,-81.424
13,-0.00018856,-81.424
13.1,-0.00018856,-81.424
13.2,-0.00018856,-81.424
13.3,-0.00018856,-81.424
13.4,-0.000188559,-81.424
13.5,-0.000188559,-81.424
13.6,-0.000188559,-81.424
13.7,-0.000188559,-81.424
13.8,-0.000188559,-81.424
13.9,-0.000188559,-81.424
14,-0.000188559,-81.424
14.1,-0.000188559,-81.424
14.2,-0.000188558,-81.424
14.3,-0.000188558,-81.4241
14.4,-0.000188558,-81.4241
14.5,-0.000188558,-81.4241
14.6,-0.000188558,-81.4241
14.7,-0.000188558,-81.4241
14.8,-0.000188558,-81.4241
14.9,-0.000188558,-81.4241
15,-0.000188558,-81.4241
15.1,-0.000188557,-81.4241
15.2,-0.000188557,-81.4241
15.3,-0.000188557,-81.4241
15.4,-0.000188557,-81.4241
15.5,-0.000188557,-81.4241
15.6,-0.000188557,-81.4241
15.7,-0.000188557,-81.4241
15.8,-0.000188557,-81.4241
15.9,-0.000188556,-81.4241
16,-0.000188556,-81.4241
16.1,-0.000188556,-81.4242
16.2,-0.000188556,-81.4242
16.3,-0.000188556,-81.4242
16.4,-0.000188556,-81.4242
16.5,-0.000188556,-81.4242
16.6,-0.000188556,-81.4242
16.7,-0.000188556,-81.4242
16.8,-0.000188555,-81.4242
16.9,-0.000188555,-81.4242
17,-0.000188555,-81.4242
17.1,-0.000188555,-81.4242
17.2,-0.000188555,-81.4242
17.3,-0.000188555,-81.4242
17.4,-0.000188555,-81.4242
17.5,-0.000188555,-81.4242
17.6,-0.000188554,-81.4242
17.7,-0.000188554,-81.4242
17.8,-0.000188554,-81.4242
17.9,-0.000188554,-81.4242
18,-0.000188554,-81.4243
18.1,-0.000188554,-81.4243
18.2,-0.000188554,-81.4243
18.3,-0.000188554,-81.4243
18.4,-0.000188554,-81.4243
18.5,-0.000188553,-81.4243
18.6,-0.000188553,-81.4243
18.7,-0.000188553,-81.4243
18.8,-0.000188553,-81.4243
18.9,-0.000188553,-81.4243
19,-0.000188553,-81.4243
19.1,-0.000188553,-81.4243
19.2,-0.000188553,-81.4243
19.3,-0.000188553,-81.4243
19.4,-0.000188552,-81.4243
19.5,-0.000188552,-81.4243
19.6,-0.000188552,-81.4243
19.7,-0.000188552,-81.4243
19.8,-0.000188552,-81.4243
19.9,-0.000188552,-81.4243
20,-0.000188552,-81.4244
20.1,-0.000188552,-81.4244
20.2,-0.000188552,-81.4244
20.3,-0.000188552,-81.4244
20.4,-0.000188551,-81.4244
20.5,-0.000188551,-81.4244
20.6,-0.000188551,-81.4244
20.7,-0.000188551,-81.4244
20.8,-0.000188551,-81.4244
20.9,-0.000188551,-81.4244
21,-0.000188551,-81.4244
21.1,-0.000188551,-81.4244
21.2,-0.000188551,-81.4244
21.3,-0.00018855,-81.4244
21.4,-0.00018855,-81.4244
21.5,-0.00018855,-81.4244
21.6,-0.00018855,-81.4244
21.7,-0.00018855,-81.4244
21.8,-0.00018855,-81.4244
21.9,-0.00018855,-81.4244
22,-0.00018855,-81.4245
22.1,-0.00018855,-81.4245
22.2,-0.000188549,-81.4245
22.3,-0.000188549,-81.4245
22.4,-0.000188549,-81.4245
22.5,-0.000188549,-81.4245
22.6,-0.000188549,-81.4245
22.7,-0.000188549,-81.4245
22.8,-0.000188549,-81.4245
22.9,-0.000188549,-81.4245
23,-0.000188549,-81.4245
23.1,-0.000188549,-81.4245
23.2,-0.000188548,-81.4245
23.3,-0.000188548,-81.4245
23.4,-0.000188548,-81.4245
23.5,-0.000188548,-81.4245
23.6,-0.000188548,-81.4245
23.7,-0.000188548,-81.4245
23.8,-0.000188548,-81.4245
23.9,-0.000188548,-81.4245
24,-0.000188548,-81.4245
24.1,-0.000188547,-81.4246
24.2,-0.000188547,-81.4246
24.3,-0.000188547,-81.4246
24.4,-0.000188547,-81.4246
24.5,-0.000188547,-81.4246
24.6,-0.000188547,-81.4246
24.7,-0.000188547,-81.4246
24.8,-0.000188547,-81.4246
24.9,-0.000188547,-81.4246
25,-0.000188547,-81.4246
25.1,-0.000188546,-81.4246
25.2,-0.000188546,-81.4246
25.3,-0.000188546,-81.4246
25.4,-0.000188546,-81.4246
25.5,-0.000188546,-81.4246
25.6,-0.000188546,-81.4246
25.7,-0.000188546,-81.4246
25.8,-0.000188546,-81.4246
25.9,-0.000188546,-81.4246
26,-0.000188546,-81.4246
26.1,-0.000188545,-81.4247
26.2,-0.000188545,-81.4247
26.3,-0.000188545,-81.4247
26.4,-0.000188545,-81.4247
26.5,-0.000188545,-81.4247
26.6,-0.000188545,-81.4247
26.7,-0.000188545,-81.4247
26.8,-0.000188545,-81.4247
26.9,-0.000188545,-81.4247
27,-0.000188545,-81.4247
27.1,-0.000188544,-81.4247
27.2,-0.000188544,-81.4247
27.3,-0.000188544,-81.4247
27.4,-0.000188544,-81.4247
27.5,-0.000188544,-81.4247
27.6,-0.000188544,-81.4247
27.7,-0.000188544,-81.4247
27.8,-0.000188544,-81.4247
27.9,-0.000188544,-81.4247
28,-0.000188544,-81.4247
28.1,-0.000188543,-81.4247
28.2,-0.000188543,-81.4247
28.3,-0.000188543,-81.4248
28.4,-0.000188543,-81.4248
28.5,-0.000188543,-81.4248
28.6,-0.000188543,-81.4248
28.7,-0.000188543,-81.4248
28.8,-0.000188543,-81.4248
28.9,-0.000188543,-81.4248
29,-0.000188543,-81.4248
29.1,-0.000188542,-81.4248
29.2,-0.000188542,-81.4248
29.3,-0.000188542,-81.4248
29.4,-0.000188542,-81.4248
29.5,-0.000188542,-81.4248
29.6,-0.000188542,-81.4248
29.7,-0.000188542,-81.4248
29.8,-0.000188542,-81.4248
29.9,-0.000188542,-81.4248
30,-0.000188542,-81.4248
30.1,-0.000188541,-81.4248
30.2,-0.000188541,-81.4248
30.3,-0.000188541,-81.4248
30.4,-0.000188541,-81.4249
30.5,-0.000188541,-81.4249
30.6,-0.000188541,-81.4249
30.7,-0.000188541,-81.4249
30.8,-0.000188541,-81.4249
30.9,-0.000188541,-81.4249
31,-0.000188541,-81.4249
31.1,-0.00018854,-81.4249
31.2,-0.00018854,-81.4249
31.3,-0.00018854,-81.4249
31.4,-0.00018854,-81.4249
31.5,-0.00018854,-81.4249
31.6,-0.00018854,-81.4249
31.7,-0.00018854,-81.4249
31.8,-0.00018854,-81.4249
31.9,-0.00018854,-81.4249
32,-0.00018854,-81.4249
32.1,-0.000188539,-81.4249
32.2,-0.000188539,-81.4249
32.3,-0.000188539,-81.4249
32.4,-0.000188539,-81.4249
32.5,-0.000188539,-81.4249
32.6,-0.000188539,-81.425
32.7,-0.000188539,-81.425
32.8,-0.000188539,-81.425
32.9,-0.000188539,-81.425
33,-0.000188539,-81.425
33.1,-0.000188538,-81.425
33.2,-0.000188538,-81.425
33.3,-0.000188538,-81.425
33.4,-0.000188538,-81.425
33.5,-0.000188538,-81.425
33.6,-0.000188538,-81.425
33.7,-0.000188538,-81.425
33.8,-0.000188538,-81.425
33.9,-0.000188538,-81.425
34,-0.000188538,-81.425
34.1,-0.000188538,-81.425
34.2,-0.000188537,-81.425
34.3,-0.000188537,-81.425
34.4,-0.000188537,-81.425
34.5,-0.000188537,-81.425
34.6,-0.000188537,-81.425
34.7,-0.000188537,-81.425
34.8,-0.000188537,-81.4251
34.9,-0.000188537,-81.4251
35,-0.000188537,-81.4251
35.1,-0.000188537,-81.4251
35.2,-0.000188536,-81.4251
35.3,-0.000188536,-81.4251
35.4,-0.000188536,-81.4251
