environment | time (msec),interface | I_Ca | I_Catot (uA_per_uF),interface | membrane_potential | V_m (mV)
0,-0.000125723,-81.423
0.1,-0.000125723,-81.423
0.2,-0.000125722,-81.423
0.3,-0.000125722,-81.423
0.4,-0.000125722,-81.423
0.5,-0.000125722,-81.4231
0.6,-0.000125721,-81.4231
0.7,-0.000125721,-81.4231
0.8,-0.000125721,-81.4231
0.9,-0.000125721,-81.4231
1,-0.00012572,-81.4231
1.1,-0.00012572,-81.4232
1.2,-0.00012572,-81.4232
1.3,-0.00012572,-81.4232
1.4,-0.000125719,-81.4232
1.5,-0.000125719,-81.4232
1.6,-0.000125719,-81.4232
1.7,-0.000125718,-81.4233
1.8,-0.000125718,-81.4233
1.9,-0.000125718,-81.4233
2,-0.000125718,-81.4233
2.1,-0.000125717,-81.4233
2.2,-0.000125717,-81.4233
2.3,-0.000125717,-81.4233
2.4,-0.000125717,-81.4234
2.5,-0.000125716,-81.4234
2.6,-0.000125716,-81.4234
2.7,-0.000125716,-81.4234
2.8,-0.000125716,-81.4234
2.9,-0.000125715,-81.4234
3,-0.000125715,-81.4234
3.1,-0.000125715,-81.4235
3.2,-0.000125715,-81.4235
3.3,-0.000125714,-81.4235
3.4,-0.000125714,-81.4235
3.5,-0.000125714,-81.4235
3.6,-0.000125714,-81.4235
3.7,-0.000125713,-81.4235
3.8,-0.000125713,-81.4235
3.9,-0.000125713,-81.4236
4,-0.000125713,-81.4236
4.1,-0.000125713,-81.4236
4.2,-0.000125712,-81.4236
4.3,-0.000125712,-81.4236
4.4,-0.000125712,-81.4236
4.5,-0.000125712,-81.4236
4.6,-0.000125712,-81.4236
4.7,-0.000125711,-81.4236
4.8,-0.000125711,-81.4237
4.9,-0.000125711,-81.4237
5,-0.000125711,-81.4237
5.1,-0.000125711,-81.4237
5.2,-0.00012571,-81.4237
5.3,-0.00012571,-81.4237
5.4,-0.00012571,-81.4237
5.5,-0.00012571,-81.4237
5.6,-0.00012571,-81.4237
5.7,-0.00012571,-81.4237
5.8,-0.000125709,-81.4238
5.9,-0.000125709,-81.4238
6,-0.000125709,-81.4238
6.1,-0.000125709,-81.4238
6.2,-0.000125709,-81.4238
6.3,-0.000125709,-81.4238
6.4,-0.000125708,-81.4238
6.5,-0.000125708,-81.4238
6.6,-0.000125708,-81.4238
6.7,-0.000125708,-81.4238
6.8,-0.000125708,-81.4239
6.9,-0.000125708,-81.4239
7,-0.000125707,-81.4239
7.1,-0.000125707,-81.4239
7.2,-0.000125707,-81.4239
7.3,-0.000125707,-81.4239
7.4,-0.000125707,-81.4239
7.5,-0.000125707,-81.4239
7.6,-0.000125707,-81.4239
7.7,-0.000125706,-81.4239
7.8,-0.000125706,-81.4239
7.9,-0.000125706,-81.4239
8,-0.000125706,-81.424
8.1,-0.000125706,-81.424
8.2,-0.000125706,-81.424
8.3,-0.000125706,-81.424
8.4,-0.000125706,-81.424
8.5,-0.000125705,-81.424
8.6,-0.000125705,-81.424
8.7,-0.000125705,-81.424
8.8,-0.000125705,-81.424
8.9,-0.000125705,-81.424
9,-0.000125705,-81.424
9.1,-0.000125705,-81.424
9.2,-0.000125704,-81.4241
9.3,-0.000125704,-81.4241
9.4,-0.000125704,-81.4241
9.5,-0.000125704,-81.4241
9.6,-0.000125704,-81.4241
9.7,-0.000125704,-81.4241
9.8,-0.000125704,-81.4241
9.9,-0.000125704,-81.4241
10,-0.000125704,-81.4241
10.1,-0.000125703,-81.4241
10.2,-0.000125703,-81.4241
10.3,-0.000125703,-81.4241
10.4,-0.000125703,-81.4241
10.5,-0.000125703,-81.4241
10.6,-0.000125703,-81.4242
10.7,-0.000125703,-81.4242
10.8,-0.000125703,-81.4242
10.9,-0.000125702,-81.4242
11,-0.000125702,-81.4242
11.1,-0.000125702,-81.4242
11.2,-0.000125702,-81.4242
11.3,-0.000125702,-81.4242
11.4,-0.000125702,-81.4242
11.5,-0.000125702,-81.4242
11.6,-0.000125702,-81.4242
11.7,-0.000125702,-81.4242
11.8,-0.000125702,-81.4242
11.9,-0.000125701,-81.4242
12,-0.000125701,-81.4242
12.1,-0.000125701,-81.4243
12.2,-0.000125701,-81.4243
12.3,-0.000125701,-81.4243
